data,age,gender
100,30,0
100,,
91,,
82,,
48,,
65,,
57,,
69,,
43,,
62,,
87,,
99,,
99,,
98,,
86,,
55,,
80,,
60,,
44,,
50,,
81,,
116,,
92,,
92,,
83,,
99,,
115,,
93,,
91,,
115,,
67,,
46,,
67,,
96,,
96,,
96,,
100,,
125,,
130,,
113,,
167,,
139,,
143,,
124,,
169,,
169,,
114,,
119,,
204,,
137,,
150,,
140,,
175,,
130,,
129,,
184,,
184,,
141,,
125,,
111,,
202,,
138,,
125,,
164,,
171,,
131,,
130,,
130,,
292,,
187,,
228,,
286,,
222,,
156,,
183,,
211,,
167,,
148,,
148,,
134,,
225,,
179,,
141,,
154,,
199,,
178,,
152,,
293,,
156,,
156,,
154,,
119,,
236,,
159,,
191,,
176,,
250,,
196,,
243,,
291,,
291,,
136,,
116,,
126,,
214,,
158,,
194,,
126,,
187,,
140,,
121,,
121,,
250,,
172,,
165,,
137,,
205,,
148,,
121,,
232,,
136,,
118,,
118,,
89,,
214,,
139,,
118,,
105,,
159,,
139,,
158,,
239,,
148,,
148,,
129,,
110,,
197,,
115,,
124,,
272,,
136,,
129,,
118,,
205,,
205,,
150,,
146,,
114,,
172,,
107,,
145,,
241,,
136,,
120,,
119,,
119,,
183,,
126,,
102,,
228,,
130,,
117,,
114,,
204,,
174,,
130,,
130,,
114,,
162,,
118,,
131,,
272,,
162,,
112,,
147,,
185,,
108,,
108,,
123,,
254,,
155,,
142,,
169,,
222,,
126,,
105,,
230,,
111,,
111,,
173,,
317,,
151,,
147,,
114,,
186,,
157,,
151,,
222,,
160,,
160,,
119,,
245,,
178,,
121,,
176,,
148,,
140,,
185,,
196,,
93,,
93,,
118,,
254,,
165,,
128,,
239,,
134,,
137,,
238,,
157,,
108,,
108,,
149,,
172,,
113,,
138,,
199,,
122,,
121,,
244,,
123,,
109,,
109,,
135,,
152,,
96,,
113,,
199,,
150,,
106,,
206,,
149,,
102,,
102,,
120,,
187,,
99,,
98,,
275,,
157,,
130,,
106,,
178,,
136,,
136,,
114,,
125,,
179,,
114,,
103,,
198,,
134,,
120,,
132,,
138,,
138,,
100,,
92,,
202,,
137,,
146,,
125,,
149,,
147,,
118,,
321,,
321,,
176,,
133,,
134,,
169,,
117,,
98,,
225,,
118,,
86,,
112,,
112,,
135,,
110,,
116,,
212,,
311,,
294,,
171,,
161,,
115,,
123,,
123,,
269,,
133,,
141,,
122,,
179,,
118,,
108,,
196,,
151,,
122,,
122,,
239,,
130,,
122,,
111,,
365,,
274,,
365,,
274,,
263,,
149,,
149,,
205,,
214,,
139,,
129,,
209,,
154,,
141,,
219,,
162,,
173,,
173,,
128,,
196,,
141,,
167,,
225,,
153,,
175,,
138,,
206,,
144,,
144,,
129,,
252,,
143,,
175,,
124,,
487,,
208,,
