data,age,gender
100,30,0
194,,
194,,
160,,
152,,
256,,
177,,
137,,
149,,
171,,
104,,
126,,
162,,
162,,
116,,
111,,
154,,
132,,
124,,
94,,
213,,
109,,
92,,
137,,
137,,
169,,
121,,
106,,
138,,
139,,
110,,
102,,
242,,
119,,
111,,
111,,
117,,
190,,
91,,
75,,
248,,
151,,
126,,
111,,
154,,
125,,
125,,
110,,
236,,
136,,
150,,
164,,
136,,
112,,
115,,
162,,
98,,
98,,
111,,
207,,
126,,
103,,
137,,
137,,
89,,
160,,
201,,
133,,
133,,
114,,
98,,
168,,
102,,
99,,
255,,
114,,
112,,
96,,
178,,
178,,
132,,
93,,
164,,
146,,
111,,
129,,
186,,
109,,
96,,
182,,
182,,
126,,
83,,
98,,
163,,
106,,
110,,
271,,
144,,
92,,
104,,
104,,
179,,
126,,
90,,
237,,
121,,
87,,
160,,
119,,
115,,
99,,
99,,
214,,
112,,
104,,
112,,
139,,
124,,
94,,
207,,
120,,
124,,
124,,
132,,
147,,
113,,
109,,
197,,
128,,
138,,
113,,
136,,
107,,
107,,
123,,
200,,
100,,
83,,
138,,
169,,
111,,
146,,
219,,
110,,
110,,
112,,
116,,
173,,
87,,
125,,
231,,
103,,
96,,
108,,
152,,
152,,
121,,
109,,
199,,
97,,
111,,
94,,
147,,
123,,
111,,
196,,
196,,
108,,
112,,
183,,
130,,
99,,
87,,
170,,
115,,
96,,
245,,
245,,
121,,
106,,
117,,
156,,
110,,
95,,
189,,
94,,
127,,
105,,
105,,
119,,
111,,
103,,
196,,
120,,
110,,
272,,
118,,
115,,
92,,
92,,
146,,
133,,
104,,
228,,
149,,
106,,
129,,
135,,
113,,
124,,
124,,
172,,
128,,
125,,
251,,
152,,
136,,
150,,
178,,
126,,
128,,
128,,
229,,
111,,
133,,
144,,
180,,
132,,
118,,
196,,
127,,
141,,
141,,
250,,
141,,
104,,
123,,
204,,
134,,
112,,
253,,
140,,
129,,
129,,
117,,
193,,
130,,
121,,
260,,
134,,
139,,
158,,
171,,
170,,
170,,
104,,
238,,
155,,
92,,
260,,
143,,
113,,
116,,
161,,
105,,
105,,
103,,
214,,
111,,
105,,
209,,
140,,
135,,
88,,
214,,
142,,
142,,
99,,
133,,
169,,
122,,
120,,
177,,
114,,
119,,
113,,
193,,
193,,
107,,
116,,
278,,
149,,
128,,
115,,
200,,
126,,
127,,
133,,
133,,
148,,
130,,
121,,
219,,
141,,
163,,
127,,
158,,
94,,
134,,
134,,
291,,
129,,
123,,
122,,
195,,
119,,
123,,
190,,
160,,
110,,
110,,
136,,
215,,
137,,
130,,
140,,
163,,
123,,
120,,
229,,
116,,
116,,
114,,
103,,
182,,
142,,
118,,
141,,
151,,
94,,
98,,
195,,
195,,
123,,
115,,
130,,
161,,
109,,
119,,
269,,
132,,
151,,
