data,age,gender
109,23,0
109,,
164,,
161,,
111,,
92,,
105,,
142,,
109,,
105,,
150,,
138,,
138,,
97,,
106,,
115,,
117,,
107,,
176,,
142,,
100,,
104,,
118,,
118,,
157,,
175,,
217,,
300,,
238,,
202,,
188,,
210,,
180,,
180,,
180,,
202,,
146,,
134,,
144,,
138,,
128,,
158,,
158,,
106,,
114,,
114,,
120,,
115,,
119,,
117,,
134,,
108,,
104,,
217,,
129,,
99,,
99,,
99,,
154,,
125,,
128,,
180,,
516,,
134,,
117,,
256,,
215,,
215,,
127,,
101,,
132,,
108,,
121,,
224,,
106,,
119,,
136,,
121,,
121,,
75,,
112,,
160,,
107,,
85,,
201,,
117,,
133,,
107,,
158,,
158,,
112,,
95,,
175,,
125,,
98,,
240,,
147,,
105,,
99,,
144,,
144,,
123,,
134,,
115,,
140,,
103,,
174,,
152,,
101,,
141,,
137,,
137,,
132,,
112,,
128,,
125,,
90,,
152,,
93,,
109,,
98,,
126,,
126,,
110,,
97,,
218,,
100,,
116,,
112,,
150,,
115,,
93,,
95,,
95,,
107,,
108,,
133,,
168,,
150,,
101,,
151,,
112,,
125,,
98,,
98,,
231,,
123,,
95,,
137,,
183,,
127,,
85,,
222,,
115,,
94,,
94,,
101,,
115,,
120,,
145,,
130,,
172,,
132,,
230,,
165,,
158,,
158,,
139,,
135,,
129,,
140,,
279,,
288,,
284,,
306,,
298,,
312,,
312,,
293,,
240,,
243,,
133,,
211,,
121,,
94,,
111,,
137,,
108,,
108,,
140,,
133,,
105,,
119,,
231,,
124,,
106,,
130,,
226,,
322,,
322,,
373,,
391,,
496,,
489,,
540,,
458,,
411,,
298,,
264,,
225,,
225,,
129,,
112,,
124,,
118,,
90,,
158,,
122,,
90,,
93,,
154,,
154,,
103,,
98,,
235,,
118,,
112,,
112,,
153,,
101,,
95,,
220,,
220,,
103,,
89,,
121,,
169,,
101,,
121,,
223,,
133,,
109,,
102,,
102,,
152,,
108,,
102,,
240,,
132,,
158,,
224,,
280,,
179,,
164,,
164,,
195,,
155,,
100,,
91,,
160,,
125,,
111,,
103,,
118,,
98,,
98,,
109,,
125,,
103,,
96,,
211,,
120,,
108,,
105,,
183,,
104,,
104,,
98,,
134,,
128,,
122,,
109,,
195,,
98,,
107,,
104,,
161,,
161,,
117,,
107,,
185,,
133,,
99,,
112,,
172,,
108,,
104,,
116,,
116,,
181,,
215,,
257,,
242,,
292,,
202,,
176,,
168,,
152,,
159,,
159,,
234,,
127,,
94,,
101,,
124,,
111,,
96,,
245,,
121,,
111,,
111,,
107,,
166,,
108,,
80,,
109,,
108,,
85,,
104,,
153,,
123,,
123,,
116,,
208,,
183,,
146,,
142,,
171,,
136,,
125,,
182,,
131,,
131,,
157,,
260,,
133,,
125,,
126,,
150,,
256,,
398,,
447,,
541,,
541,,
548,,
536,,
463,,
385,,
331,,
276,,
347,,
587,,
531,,
534,,
534,,
584,,
608,,
675,,
628,,
681,,
595,,
505,,
500,,
624,,
386,,
386,,
300,,
304,,
367,,
375,,
480,,
523,,
422,,
167,,
416,,
814,,
814,,
962,,
960,,
959,,
960,,
960,,
915,,
782,,
269,,
153,,
128,,
128,,
146,,
118,,
105,,
326,,
242,,
135,,
261,,
330,,
