data,age,gender
109,23,0
330,,
307,,
375,,
375,,
365,,
262,,
231,,
229,,
256,,
154,,
177,,
111,,
159,,
111,,
111,,
108,,
531,,
552,,
306,,
270,,
251,,
248,,
148,,
136,,
158,,
158,,
101,,
131,,
234,,
161,,
125,,
123,,
169,,
203,,
267,,
464,,
464,,
576,,
554,,
346,,
240,,
216,,
208,,
179,,
276,,
169,,
101,,
101,,
134,,
182,,
189,,
144,,
108,,
263,,
269,,
247,,
275,,
299,,
299,,
280,,
274,,
280,,
242,,
209,,
212,,
250,,
173,,
160,,
252,,
252,,
192,,
198,,
285,,
228,,
232,,
213,,
214,,
351,,
417,,
382,,
382,,
395,,
350,,
310,,
331,,
161,,
141,,
279,,
131,,
141,,
179,,
179,,
316,,
274,,
295,,
399,,
277,,
350,,
378,,
406,,
335,,
288,,
288,,
344,,
189,,
261,,
296,,
284,,
265,,
279,,
341,,
250,,
236,,
236,,
315,,
215,,
210,,
240,,
238,,
206,,
197,,
277,,
147,,
239,,
239,,
304,,
192,,
216,,
217,,
250,,
178,,
172,,
296,,
159,,
185,,
185,,
191,,
229,,
201,,
180,,
251,,
159,,
174,,
258,,
146,,
109,,
109,,
149,,
233,,
156,,
88,,
238,,
316,,
354,,
443,,
560,,
674,,
674,,
888,,
960,,
960,,
959,,
956,,
961,,
959,,
959,,
961,,
961,,
961,,
961,,
962,,
805,,
569,,
521,,
422,,
298,,
183,,
187,,
102,,
102,,
219,,
273,,
368,,
274,,
280,,
302,,
215,,
257,,
262,,
317,,
317,,
211,,
168,,
274,,
156,,
202,,
281,,
185,,
201,,
257,,
178,,
178,,
163,,
202,,
210,,
163,,
166,,
203,,
131,,
166,,
260,,
154,,
154,,
156,,
135,,
224,,
147,,
139,,
143,,
223,,
159,,
171,,
159,,
159,,
204,,
175,,
246,,
337,,
287,,
304,,
287,,
323,,
226,,
238,,
238,,
271,,
249,,
227,,
257,,
342,,
249,,
267,,
254,,
361,,
225,,
225,,
243,,
184,,
259,,
189,,
202,,
274,,
217,,
232,,
222,,
292,,
292,,
193,,
227,,
278,,
162,,
199,,
201,,
229,,
171,,
196,,
290,,
290,,
160,,
194,,
229,,
241,,
220,,
259,,
326,,
225,,
198,,
152,,
152,,
227,,
136,,
122,,
93,,
187,,
107,,
162,,
186,,
164,,
157,,
157,,
176,,
243,,
125,,
161,,
153,,
213,,
162,,
174,,
244,,
184,,
184,,
168,,
193,,
262,,
137,,
144,,
158,,
238,,
149,,
150,,
141,,
141,,
205,,
143,,
161,,
251,,
189,,
165,,
137,,
220,,
142,,
160,,
160,,
164,,
182,,
130,,
123,,
236,,
130,,
144,,
137,,
192,,
150,,
150,,
143,,
241,,
129,,
126,,
112,,
171,,
139,,
146,,
261,,
158,,
158,,
218,,
239,,
337,,
205,,
199,,
246,,
122,,
90,,
82,,
111,,
111,,
128,,
154,,
138,,
143,,
111,,
210,,
147,,
89,,
178,,
123,,
123,,
153,,
113,,
106,,
112,,
103,,
134,,
90,,
114,,
192,,
109,,
109,,
105,,
190,,
139,,
100,,
232,,
138,,
97,,
95,,
123,,
132,,
132,,
101,,
197,,
159,,
88,,
110,,
133,,
112,,
82,,
155,,
123,,
123,,
100,,
78,,
187,,
125,,
86,,
90,,
123,,
135,,
80,,
