data,age,gender
251,25,0
251,,
177,,
141,,
235,,
142,,
83,,
308,,
109,,
100,,
131,,
194,,
194,,
104,,
97,,
283,,
115,,
93,,
112,,
177,,
91,,
85,,
331,,
331,,
110,,
96,,
87,,
213,,
93,,
93,,
107,,
180,,
94,,
89,,
89,,
110,,
162,,
98,,
88,,
118,,
139,,
86,,
84,,
292,,
123,,
123,,
86,,
81,,
302,,
120,,
82,,
80,,
281,,
113,,
89,,
86,,
86,,
236,,
106,,
88,,
87,,
201,,
97,,
90,,
114,,
206,,
104,,
104,,
93,,
125,,
205,,
102,,
84,,
119,,
192,,
99,,
76,,
118,,
118,,
197,,
102,,
94,,
101,,
179,,
110,,
156,,
229,,
230,,
181,,
181,,
150,,
215,,
230,,
141,,
110,,
161,,
170,,
110,,
116,,
198,,
198,,
118,,
106,,
140,,
239,,
100,,
86,,
117,,
178,,
101,,
90,,
90,,
106,,
146,,
90,,
94,,
304,,
124,,
90,,
122,,
192,,
114,,
114,,
95,,
105,,
171,,
119,,
101,,
108,,
136,,
89,,
91,,
273,,
273,,
111,,
92,,
121,,
178,,
126,,
125,,
231,,
151,,
97,,
122,,
122,,
231,,
114,,
98,,
131,,
154,,
98,,
129,,
234,,
133,,
105,,
105,,
303,,
112,,
90,,
128,,
189,,
104,,
90,,
281,,
123,,
83,,
83,,
177,,
189,,
119,,
82,,
251,,
124,,
77,,
103,,
110,,
94,,
94,,
130,,
185,,
95,,
122,,
221,,
128,,
92,,
237,,
105,,
88,,
88,,
217,,
144,,
95,,
125,,
194,,
92,,
87,,
251,,
113,,
114,,
114,,
121,,
154,,
92,,
84,,
219,,
92,,
86,,
118,,
160,,
98,,
98,,
93,,
240,,
103,,
103,,
113,,
140,,
105,,
129,,
217,,
117,,
117,,
97,,
122,,
138,,
94,,
126,,
201,,
103,,
134,,
251,,
179,,
179,,
118,,
262,,
158,,
94,,
105,,
183,,
95,,
95,,
326,,
120,,
120,,
99,,
98,,
257,,
119,,
135,,
113,,
277,,
113,,
89,,
98,,
98,,
240,,
114,,
90,,
85,,
218,,
102,,
89,,
96,,
202,,
116,,
116,,
94,,
96,,
193,,
97,,
109,,
103,,
154,,
100,,
82,,
175,,
175,,
119,,
87,,
90,,
212,,
100,,
92,,
105,,
202,,
137,,
111,,
111,,
373,,
111,,
90,,
111,,
204,,
95,,
87,,
93,,
135,,
123,,
123,,
