data,age,gender
251,25,0
243,,
109,,
98,,
96,,
171,,
98,,
90,,
315,,
114,,
114,,
93,,
99,,
174,,
89,,
95,,
166,,
108,,
91,,
91,,
210,,
210,,
94,,
87,,
93,,
158,,
93,,
97,,
98,,
156,,
100,,
90,,
90,,
344,,
111,,
87,,
80,,
301,,
117,,
89,,
78,,
336,,
105,,
105,,
84,,
75,,
240,,
106,,
82,,
84,,
324,,
103,,
89,,
77,,
77,,
269,,
104,,
86,,
126,,
233,,
114,,
104,,
89,,
209,,
109,,
109,,
96,,
101,,
146,,
99,,
88,,
307,,
113,,
85,,
90,,
230,,
230,,
112,,
99,,
105,,
158,,
85,,
83,,
139,,
126,,
95,,
89,,
89,,
197,,
105,,
93,,
95,,
143,,
87,,
83,,
331,,
111,,
111,,
111,,
90,,
224,,
107,,
101,,
91,,
165,,
110,,
85,,
305,,
122,,
122,,
92,,
83,,
186,,
98,,
83,,
242,,
117,,
87,,
107,,
203,,
203,,
103,,
86,,
102,,
125,,
91,,
84,,
201,,
116,,
93,,
105,,
105,,
128,,
98,,
95,,
208,,
91,,
92,,
121,,
126,,
81,,
77,,
77,,
240,,
99,,
104,,
95,,
174,,
103,,
105,,
162,,
111,,
89,,
89,,
84,,
212,,
100,,
93,,
130,,
148,,
98,,
95,,
204,,
97,,
97,,
98,,
134,,
122,,
93,,
79,,
202,,
93,,
88,,
94,,
120,,
120,,
90,,
81,,
204,,
93,,
73,,
87,,
147,,
86,,
87,,
329,,
329,,
112,,
81,,
92,,
181,,
90,,
91,,
108,,
160,,
109,,
99,,
99,,
242,,
94,,
89,,
90,,
175,,
91,,
93,,
305,,
117,,
82,,
82,,
112,,
169,,
88,,
78,,
248,,
112,,
85,,
129,,
119,,
80,,
80,,
128,,
171,,
84,,
94,,
271,,
106,,
80,,
101,,
167,,
94,,
94,,
85,,
104,,
110,,
177,,
211,,
312,,
112,,
133,,
83,,
191,,
191,,
111,,
89,,
89,,
165,,
124,,
109,,
123,,
124,,
133,,
89,,
89,,
257,,
116,,
123,,
128,,
210,,
148,,
104,,
104,,
167,,
109,,
109,,
105,,
274,,
129,,
98,,
132,,
174,,
95,,
89,,
298,,
111,,
111,,
84,,
107,,
146,,
90,,
133,,
211,,
108,,
87,,
221,,
155,,
155,,
117,,
116,,
234,,
117,,
102,,
131,,
200,,
83,,
82,,
139,,
139,,
109,,
86,,
117,,
205,,
88,,
76,,
117,,
136,,
88,,
