data,age,gender
129,20,1
129,,
130,,
246,,
131,,
126,,
244,,
141,,
129,,
259,,
150,,
133,,
133,,
252,,
138,,
119,,
306,,
158,,
189,,
148,,
196,,
218,,
178,,
178,,
252,,
113,,
118,,
243,,
143,,
140,,
277,,
89,,
100,,
292,,
292,,
144,,
101,,
294,,
141,,
87,,
355,,
141,,
87,,
213,,
168,,
168,,
116,,
121,,
182,,
169,,
269,,
170,,
240,,
176,,
274,,
221,,
221,,
165,,
262,,
165,,
166,,
227,,
156,,
135,,
269,,
149,,
111,,
111,,
310,,
143,,
99,,
323,,
167,,
179,,
185,,
181,,
188,,
160,,
160,,
190,,
168,,
132,,
186,,
128,,
141,,
195,,
128,,
155,,
234,,
234,,
104,,
129,,
223,,
139,,
129,,
255,,
114,,
84,,
237,,
112,,
112,,
100,,
344,,
134,,
89,,
233,,
138,,
86,,
104,,
141,,
106,,
106,,
116,,
157,,
95,,
107,,
174,,
122,,
118,,
158,,
104,,
114,,
114,,
191,,
99,,
114,,
223,,
100,,
92,,
268,,
108,,
113,,
246,,
246,,
114,,
103,,
134,,
129,,
113,,
85,,
165,,
113,,
152,,
227,,
227,,
117,,
93,,
301,,
134,,
108,,
115,,
157,,
113,,
93,,
194,,
194,,
88,,
94,,
222,,
132,,
97,,
353,,
140,,
90,,
115,,
146,,
146,,
103,,
94,,
184,,
155,,
154,,
274,,
154,,
137,,
286,,
133,,
133,,
131,,
267,,
130,,
99,,
312,,
139,,
112,,
387,,
139,,
100,,
100,,
279,,
183,,
127,,
123,,
178,,
103,,
161,,
186,,
116,,
128,,
128,,
217,,
130,,
104,,
201,,
126,,
112,,
256,,
179,,
105,,
252,,
252,,
117,,
106,,
346,,
137,,
105,,
355,,
152,,
121,,
251,,
176,,
176,,
114,,
189,,
147,,
145,,
195,,
154,,
91,,
125,,
163,,
120,,
120,,
111,,
171,,
91,,
123,,
162,,
130,,
152,,
247,,
141,,
153,,
153,,
284,,
150,,
165,,
253,,
132,,
144,,
247,,
139,,
133,,
249,,
249,,
119,,
123,,
233,,
104,,
129,,
251,,
138,,
118,,
256,,
132,,
132,,
99,,
281,,
120,,
117,,
251,,
113,,
128,,
224,,
108,,
135,,
135,,
235,,
128,,
118,,
251,,
119,,
103,,
362,,
175,,
89,,
91,,
91,,
