data,age,gender
129,20,1
119,,
345,,
365,,
175,,
203,,
295,,
152,,
151,,
403,,
403,,
151,,
123,,
149,,
160,,
123,,
108,,
202,,
108,,
96,,
227,,
227,,
137,,
116,,
308,,
152,,
109,,
136,,
178,,
119,,
101,,
235,,
235,,
135,,
100,,
254,,
99,,
102,,
321,,
154,,
101,,
308,,
149,,
149,,
109,,
134,,
163,,
86,,
114,,
199,,
119,,
138,,
203,,
103,,
103,,
90,,
236,,
113,,
81,,
284,,
130,,
92,,
203,,
147,,
100,,
100,,
113,,
190,,
106,,
126,,
258,,
112,,
116,,
359,,
154,,
109,,
109,,
118,,
216,,
99,,
85,,
251,,
123,,
98,,
324,,
124,,
108,,
108,,
118,,
165,,
85,,
160,,
200,,
107,,
106,,
346,,
102,,
69,,
69,,
95,,
145,,
82,,
114,,
165,,
94,,
145,,
238,,
122,,
103,,
103,,
312,,
145,,
111,,
136,,
195,,
117,,
111,,
228,,
134,,
122,,
122,,
285,,
145,,
105,,
127,,
169,,
98,,
113,,
193,,
107,,
132,,
132,,
241,,
106,,
92,,
251,,
116,,
104,,
349,,
144,,
99,,
96,,
96,,
128,,
87,,
105,,
182,,
108,,
110,,
199,,
106,,
90,,
285,,
285,,
112,,
93,,
183,,
177,,
137,,
99,,
222,,
106,,
109,,
291,,
291,,
129,,
96,,
101,,
146,,
122,,
104,,
168,,
94,,
130,,
229,,
229,,
97,,
95,,
276,,
112,,
86,,
342,,
125,,
96,,
106,,
181,,
181,,
123,,
133,,
193,,
118,,
119,,
239,,
102,,
100,,
370,,
146,,
146,,
90,,
87,,
179,,
97,,
100,,
228,,
106,,
109,,
291,,
133,,
133,,
112,,
117,,
158,,
118,,
106,,
196,,
105,,
96,,
235,,
122,,
122,,
112,,
338,,
130,,
101,,
114,,
172,,
108,,
141,,
214,,
102,,
102,,
99,,
270,,
109,,
72,,
162,,
150,,
98,,
93,,
181,,
100,,
100,,
86,,
253,,
117,,
90,,
306,,
131,,
95,,
96,,
161,,
85,,
85,,
105,,
194,,
116,,
82,,
281,,
122,,
94,,
120,,
168,,
92,,
92,,
104,,
186,,
89,,
101,,
240,,
110,,
90,,
241,,
153,,
122,,
122,,
108,,
220,,
101,,
93,,
271,,
112,,
93,,
108,,
150,,
104,,
104,,
145,,
171,,
114,,
128,,
258,,
133,,
113,,
299,,
155,,
