data,age,gender
575,21,0
575,,
723,,
958,,
757,,
577,,
921,,
897,,
717,,
881,,
827,,
674,,
674,,
792,,
811,,
544,,
437,,
612,,
480,,
540,,
495,,
612,,
454,,
454,,
712,,
721,,
790,,
774,,
803,,
771,,
630,,
733,,
490,,
555,,
555,,
636,,
494,,
642,,
519,,
540,,
566,,
595,,
652,,
700,,
626,,
626,,
371,,
495,,
472,,
594,,
694,,
689,,
664,,
730,,
528,,
537,,
537,,
613,,
522,,
606,,
676,,
512,,
458,,
538,,
397,,
515,,
517,,
517,,
500,,
512,,
528,,
664,,
577,,
458,,
556,,
444,,
332,,
367,,
367,,
507,,
282,,
337,,
327,,
443,,
372,,
398,,
366,,
338,,
346,,
346,,
298,,
381,,
359,,
330,,
320,,
467,,
367,,
327,,
568,,
391,,
391,,
373,,
448,,
467,,
371,,
506,,
448,,
301,,
291,,
340,,
306,,
306,,
331,,
466,,
347,,
375,,
361,,
338,,
443,,
318,,
294,,
331,,
331,,
283,,
337,,
297,,
240,,
378,,
328,,
344,,
413,,
305,,
458,,
458,,
258,,
319,,
371,,
327,,
428,,
294,,
413,,
379,,
325,,
325,,
325,,
279,,
425,,
586,,
394,,
484,,
388,,
451,,
439,,
392,,
352,,
352,,
398,,
399,,
330,,
357,,
397,,
329,,
350,,
384,,
337,,
408,,
408,,
374,,
409,,
344,,
347,,
300,,
263,,
388,,
293,,
316,,
428,,
428,,
405,,
282,,
370,,
425,,
316,,
366,,
355,,
434,,
343,,
328,,
328,,
311,,
293,,
414,,
369,,
340,,
307,,
367,,
369,,
394,,
262,,
262,,
293,,
291,,
309,,
386,,
390,,
290,,
344,,
371,,
373,,
444,,
444,,
429,,
513,,
651,,
660,,
627,,
598,,
577,,
435,,
323,,
453,,
453,,
371,,
273,,
335,,
336,,
308,,
418,,
344,,
353,,
380,,
346,,
346,,
345,,
348,,
429,,
403,,
411,,
384,,
374,,
496,,
343,,
318,,
318,,
371,,
307,,
273,,
341,,
301,,
287,,
227,,
396,,
301,,
310,,
310,,
290,,
408,,
435,,
523,,
414,,
361,,
398,,
339,,
336,,
280,,
280,,
225,,
249,,
285,,
322,,
268,,
268,,
236,,
316,,
284,,
340,,
340,,
300,,
421,,
405,,
325,,
336,,
330,,
358,,
316,,
322,,
309,,
309,,
277,,
286,,
335,,
425,,
489,,
442,,
300,,
389,,
333,,
315,,
315,,
373,,
289,,
320,,
341,,
267,,
286,,
244,,
385,,
258,,
301,,
301,,
329,,
387,,
318,,
316,,
341,,
382,,
316,,
337,,
355,,
336,,
336,,
