data,age,gender
575,21,0
331,,
370,,
270,,
254,,
293,,
295,,
435,,
456,,
461,,
461,,
410,,
420,,
473,,
517,,
379,,
363,,
357,,
432,,
452,,
442,,
442,,
364,,
403,,
242,,
382,,
334,,
359,,
663,,
783,,
742,,
441,,
441,,
378,,
432,,
460,,
411,,
330,,
472,,
398,,
464,,
515,,
644,,
644,,
385,,
302,,
370,,
372,,
388,,
250,,
373,,
283,,
434,,
481,,
481,,
532,,
482,,
454,,
334,,
261,,
305,,
493,,
434,,
403,,
329,,
329,,
516,,
414,,
457,,
464,,
347,,
408,,
392,,
340,,
532,,
642,,
642,,
750,,
697,,
548,,
518,,
460,,
466,,
338,,
597,,
403,,
301,,
301,,
321,,
508,,
965,,
963,,
907,,
403,,
351,,
266,,
405,,
496,,
496,,
491,,
497,,
297,,
334,,
434,,
398,,
441,,
365,,
317,,
311,,
311,,
339,,
328,,
321,,
339,,
390,,
303,,
321,,
356,,
469,,
707,,
707,,
553,,
333,,
335,,
319,,
291,,
349,,
298,,
377,,
517,,
469,,
469,,
392,,
375,,
270,,
292,,
273,,
290,,
276,,
276,,
364,,
359,,
359,,
354,,
377,,
300,,
400,,
322,,
327,,
346,,
470,,
679,,
836,,
836,,
816,,
937,,
962,,
963,,
886,,
471,,
348,,
324,,
405,,
443,,
443,,
348,,
392,,
288,,
332,,
337,,
283,,
370,,
374,,
314,,
316,,
316,,
417,,
389,,
277,,
305,,
297,,
495,,
283,,
301,,
384,,
350,,
350,,
303,,
264,,
349,,
354,,
365,,
317,,
427,,
357,,
418,,
505,,
505,,
422,,
401,,
392,,
670,,
963,,
963,,
966,,
665,,
463,,
315,,
315,,
411,,
368,,
375,,
313,,
488,,
333,,
339,,
370,,
763,,
572,,
572,,
656,,
433,,
343,,
437,,
475,,
427,,
328,,
367,,
345,,
389,,
389,,
340,,
307,,
400,,
413,,
552,,
343,,
403,,
409,,
302,,
337,,
337,,
463,,
427,,
524,,
573,,
435,,
399,,
502,,
818,,
936,,
848,,
848,,
713,,
605,,
480,,
405,,
260,,
277,,
357,,
316,,
263,,
348,,
348,,
367,,
236,,
346,,
298,,
361,,
311,,
273,,
318,,
266,,
236,,
236,,
349,,
202,,
230,,
362,,
345,,
287,,
207,,
290,,
289,,
328,,
328,,
298,,
343,,
303,,
252,,
478,,
340,,
233,,
251,,
250,,
279,,
279,,
266,,
361,,
246,,
260,,
266,,
321,,
302,,
331,,
358,,
350,,
350,,
405,,
389,,
396,,
369,,
280,,
286,,
315,,
298,,
358,,
450,,
450,,
538,,
647,,
611,,
605,,
369,,
292,,
224,,
319,,
406,,
