data,age,gender
241,45,1
460,,
464,,
496,,
495,,
478,,
478,,
377,,
499,,
360,,
340,,
440,,
428,,
445,,
539,,
359,,
391,,
391,,
491,,
456,,
461,,
387,,
459,,
533,,
422,,
386,,
661,,
480,,
480,,
507,,
481,,
397,,
480,,
429,,
291,,
473,,
327,,
389,,
378,,
378,,
563,,
339,,
374,,
364,,
421,,
214,,
266,,
377,,
237,,
406,,
406,,
388,,
253,,
225,,
233,,
376,,
301,,
289,,
222,,
409,,
242,,
242,,
193,,
422,,
371,,
483,,
221,,
294,,
491,,
397,,
489,,
536,,
536,,
869,,
960,,
962,,
962,,
850,,
765,,
525,,
534,,
342,,
286,,
286,,
325,,
315,,
300,,
247,,
264,,
437,,
306,,
323,,
314,,
433,,
433,,
243,,
182,,
214,,
452,,
200,,
240,,
251,,
364,,
173,,
208,,
208,,
223,,
365,,
277,,
273,,
307,,
354,,
265,,
248,,
436,,
489,,
489,,
509,,
439,,
379,,
222,,
205,,
200,,
312,,
189,,
181,,
193,,
193,,
266,,
208,,
258,,
195,,
293,,
316,,
345,,
350,,
302,,
305,,
305,,
228,,
185,,
242,,
238,,
254,,
334,,
335,,
374,,
296,,
374,,
374,,
282,,
239,,
232,,
266,,
229,,
267,,
381,,
386,,
424,,
216,,
216,,
376,,
208,,
236,,
220,,
412,,
265,,
245,,
279,,
303,,
284,,
284,,
325,,
318,,
250,,
194,,
177,,
212,,
190,,
178,,
389,,
252,,
252,,
187,,
249,,
258,,
245,,
186,,
179,,
216,,
172,,
160,,
261,,
261,,
262,,
217,,
202,,
345,,
252,,
189,,
208,,
337,,
255,,
190,,
190,,
174,,
277,,
269,,
215,,
161,,
301,,
220,,
205,,
265,,
367,,
367,,
263,,
301,,
457,,
696,,
385,,
358,,
565,,
389,,
308,,
324,,
324,,
341,,
298,,
360,,
569,,
621,,
570,,
521,,
571,,
617,,
833,,
833,,
819,,
820,,
890,,
808,,
717,,
861,,
853,,
699,,
580,,
653,,
653,,
744,,
661,,
825,,
691,,
775,,
597,,
732,,
698,,
548,,
612,,
612,,
788,,
687,,
605,,
386,,
734,,
599,,
658,,
734,,
713,,
531,,
531,,
536,,
632,,
570,,
669,,
451,,
576,,
387,,
322,,
340,,
580,,
580,,
416,,
328,,
366,,
458,,
448,,
419,,
464,,
598,,
560,,
611,,
611,,
656,,
580,,
826,,
961,,
961,,
665,,
452,,
619,,
516,,
419,,
419,,
549,,
454,,
297,,
413,,
384,,
329,,
467,,
348,,
531,,
490,,
490,,
609,,
722,,
376,,
421,,
398,,
423,,
376,,
274,,
447,,
