data,age,gender
65,45,1
123,,
320,,
155,,
155,,
121,,
97,,
89,,
82,,
80,,
78,,
78,,
75,,
77,,
78,,
78,,
78,,
75,,
75,,
75,,
76,,
74,,
74,,
75,,
77,,
75,,
75,,
74,,
75,,
75,,
76,,
77,,
77,,
75,,
76,,
75,,
78,,
78,,
79,,
77,,
76,,
76,,
76,,
78,,
74,,
74,,
74,,
76,,
76,,
76,,
77,,
76,,
76,,
75,,
76,,
74,,
76,,
75,,
77,,
77,,
76,,
77,,
74,,
76,,
75,,
75,,
77,,
74,,
72,,
75,,
75,,
73,,
76,,
80,,
76,,
75,,
76,,
76,,
74,,
75,,
79,,
79,,
78,,
77,,
78,,
76,,
77,,
77,,
76,,
74,,
77,,
77,,
77,,
77,,
74,,
75,,
73,,
74,,
75,,
76,,
74,,
75,,
75,,
75,,
76,,
76,,
73,,
74,,
75,,
75,,
75,,
76,,
77,,
77,,
77,,
75,,
73,,
75,,
74,,
75,,
76,,
76,,
74,,
77,,
75,,
75,,
76,,
76,,
74,,
74,,
73,,
76,,
79,,
71,,
71,,
76,,
76,,
963,,
961,,
961,,
961,,
959,,
785,,
477,,
295,,
194,,
148,,
148,,
116,,
102,,
91,,
83,,
961,,
962,,
962,,
961,,
960,,
963,,
963,,
963,,
962,,
961,,
961,,
957,,
961,,
960,,
961,,
960,,
960,,
960,,
960,,
963,,
961,,
961,,
961,,
962,,
960,,
960,,
961,,
960,,
960,,
961,,
961,,
961,,
961,,
958,,
961,,
960,,
961,,
960,,
961,,
961,,
961,,
960,,
960,,
960,,
959,,
962,,
960,,
890,,
932,,
959,,
959,,
784,,
586,,
467,,
522,,
546,,
491,,
422,,
331,,
372,,
458,,
458,,
434,,
373,,
265,,
326,,
290,,
341,,
271,,
207,,
257,,
242,,
242,,
186,,
154,,
132,,
116,,
107,,
101,,
95,,
95,,
89,,
91,,
91,,
89,,
87,,
90,,
87,,
84,,
85,,
83,,
84,,
82,,
82,,
82,,
84,,
83,,
84,,
79,,
80,,
79,,
79,,
83,,
78,,
80,,
80,,
81,,
79,,
84,,
77,,
78,,
79,,
78,,
82,,
77,,
