data,age,gender
241,18,0
185,,
194,,
209,,
190,,
286,,
219,,
216,,
180,,
208,,
208,,
217,,
186,,
251,,
483,,
624,,
711,,
720,,
672,,
475,,
384,,
384,,
225,,
201,,
195,,
194,,
227,,
201,,
221,,
207,,
245,,
193,,
193,,
261,,
455,,
586,,
397,,
326,,
257,,
335,,
464,,
704,,
471,,
471,,
236,,
381,,
387,,
325,,
300,,
480,,
884,,
958,,
961,,
962,,
962,,
962,,
961,,
806,,
410,,
234,,
221,,
427,,
295,,
293,,
322,,
322,,
227,,
292,,
278,,
191,,
216,,
182,,
229,,
206,,
233,,
221,,
221,,
268,,
256,,
313,,
312,,
271,,
350,,
413,,
679,,
962,,
961,,
961,,
350,,
889,,
959,,
961,,
961,,
960,,
781,,
512,,
354,,
262,,
262,,
244,,
313,,
152,,
277,,
437,,
828,,
962,,
849,,
728,,
801,,
801,,
691,,
656,,
601,,
513,,
785,,
542,,
421,,
962,,
960,,
961,,
961,,
961,,
578,,
229,,
301,,
230,,
229,,
206,,
244,,
275,,
373,,
373,,
668,,
957,,
963,,
961,,
961,,
961,,
960,,
939,,
484,,
375,,
375,,
762,,
380,,
629,,
960,,
958,,
961,,
962,,
784,,
341,,
239,,
239,,
558,,
962,,
963,,
961,,
962,,
962,,
962,,
961,,
962,,
962,,
962,,
961,,
886,,
876,,
828,,
917,,
904,,
948,,
643,,
563,,
402,,
402,,
278,,
250,,
231,,
201,,
178,,
171,,
157,,
225,,
159,,
179,,
179,,
166,,
190,,
197,,
144,,
144,,
180,,
157,,
158,,
213,,
152,,
152,,
138,,
151,,
150,,
188,,
152,,
145,,
130,,
164,,
165,,
136,,
136,,
125,,
125,,
208,,
215,,
218,,
273,,
193,,
239,,
168,,
153,,
153,,
186,,
190,,
165,,
182,,
178,,
176,,
201,,
205,,
201,,
211,,
211,,
197,,
205,,
266,,
167,,
177,,
203,,
194,,
189,,
172,,
155,,
155,,
214,,
177,,
149,,
158,,
162,,
167,,
224,,
242,,
388,,
608,,
608,,
670,,
289,,
962,,
959,,
959,,
959,,
961,,
960,,
956,,
960,,
960,,
761,,
437,,
285,,
164,,
173,,
332,,
513,,
554,,
510,,
425,,
425,,
436,,
357,,
351,,
396,,
338,,
160,,
119,,
178,,
152,,
137,,
137,,
216,,
224,,
165,,
178,,
298,,
186,,
168,,
229,,
180,,
208,,
208,,
164,,
176,,
102,,
149,,
183,,
195,,
90,,
138,,
140,,
144,,
144,,
151,,
106,,
102,,
149,,
130,,
117,,
96,,
208,,
214,,
206,,
206,,
279,,
189,,
120,,
155,,
149,,
80,,
101,,
87,,
124,,
95,,
95,,
128,,
175,,
138,,
133,,
224,,
239,,
157,,
122,,
122,,
