data,age,gender
966,20,0
203,,
230,,
230,,
170,,
179,,
220,,
199,,
236,,
230,,
219,,
211,,
210,,
191,,
191,,
197,,
172,,
223,,
215,,
241,,
247,,
256,,
231,,
255,,
232,,
232,,
208,,
231,,
232,,
241,,
253,,
202,,
269,,
249,,
228,,
239,,
239,,
241,,
220,,
849,,
965,,
965,,
965,,
965,,
965,,
653,,
965,,
965,,
963,,
964,,
963,,
965,,
551,,
375,,
542,,
477,,
342,,
195,,
195,,
233,,
262,,
182,,
202,,
252,,
246,,
183,,
173,,
212,,
160,,
160,,
196,,
203,,
156,,
217,,
216,,
197,,
207,,
176,,
186,,
191,,
191,,
168,,
189,,
162,,
205,,
199,,
196,,
236,,
296,,
239,,
229,,
229,,
263,,
232,,
175,,
155,,
182,,
177,,
200,,
224,,
204,,
246,,
246,,
208,,
246,,
262,,
234,,
247,,
271,,
232,,
248,,
227,,
230,,
230,,
222,,
234,,
228,,
231,,
232,,
204,,
194,,
212,,
228,,
204,,
204,,
253,,
232,,
239,,
213,,
248,,
251,,
250,,
213,,
212,,
229,,
229,,
189,,
257,,
217,,
224,,
239,,
244,,
231,,
231,,
228,,
184,,
184,,
212,,
193,,
220,,
294,,
768,,
965,,
965,,
965,,
965,,
509,,
509,,
327,,
611,,
729,,
687,,
695,,
661,,
661,,
673,,
633,,
589,,
589,,
381,,
273,,
297,,
333,,
365,,
418,,
467,,
616,,
557,,
384,,
384,,
263,,
193,,
152,,
133,,
111,,
103,,
94,,
91,,
89,,
85,,
85,,
84,,
83,,
78,,
81,,
80,,
78,,
78,,
77,,
80,,
80,,
80,,
78,,
76,,
76,,
78,,
79,,
76,,
77,,
75,,
77,,
75,,
75,,
70,,
128,,
254,,
334,,
409,,
409,,
382,,
342,,
337,,
231,,
231,,
212,,
218,,
177,,
155,,
193,,
253,,
489,,
960,,
965,,
937,,
937,,
723,,
495,,
274,,
239,,
283,,
351,,
262,,
362,,
962,,
965,,
965,,
963,,
964,,
965,,
661,,
352,,
488,,
872,,
963,,
963,,
964,,
964,,
964,,
610,,
603,,
578,,
452,,
365,,
361,,
353,,
364,,
317,,
317,,
348,,
307,,
292,,
308,,
209,,
273,,
208,,
225,,
406,,
751,,
751,,
965,,
964,,
866,,
647,,
402,,
393,,
611,,
964,,
966,,
965,,
965,,
821,,
509,,
675,,
964,,
966,,
964,,
967,,
965,,
964,,
494,,
494,,
301,,
375,,
713,,
806,,
737,,
739,,
698,,
715,,
622,,
315,,
315,,
965,,
965,,
965,,
965,,
965,,
965,,
966,,
964,,
964,,
965,,
965,,
965,,
966,,
966,,
964,,
963,,
967,,
964,,
752,,
379,,
201,,
201,,
289,,
245,,
212,,
195,,
149,,
190,,
216,,
213,,
331,,
