data,age,gender
531,28,1
149,,
194,,
194,,
209,,
308,,
226,,
314,,
299,,
308,,
222,,
151,,
91,,
232,,
232,,
197,,
512,,
840,,
929,,
574,,
160,,
402,,
599,,
758,,
812,,
812,,
725,,
627,,
419,,
323,,
251,,
132,,
104,,
156,,
231,,
148,,
148,,
188,,
122,,
186,,
102,,
113,,
90,,
174,,
102,,
126,,
105,,
105,,
153,,
115,,
101,,
95,,
109,,
75,,
94,,
123,,
176,,
101,,
101,,
78,,
122,,
227,,
152,,
265,,
222,,
227,,
268,,
221,,
405,,
405,,
723,,
830,,
645,,
408,,
327,,
166,,
240,,
383,,
516,,
438,,
438,,
377,,
221,,
216,,
261,,
286,,
227,,
150,,
85,,
118,,
283,,
283,,
133,,
130,,
147,,
146,,
159,,
143,,
113,,
91,,
104,,
172,,
172,,
452,,
207,,
127,,
146,,
236,,
105,,
117,,
124,,
273,,
177,,
177,,
340,,
704,,
962,,
963,,
824,,
421,,
229,,
256,,
323,,
298,,
298,,
202,,
108,,
144,,
396,,
393,,
641,,
944,,
961,,
915,,
710,,
710,,
541,,
368,,
249,,
105,,
106,,
250,,
198,,
227,,
292,,
273,,
273,,
235,,
146,,
271,,
157,,
121,,
110,,
201,,
139,,
130,,
130,,
130,,
136,,
84,,
136,,
254,,
141,,
161,,
163,,
204,,
233,,
301,,
301,,
464,,
440,,
398,,
361,,
209,,
140,,
403,,
555,,
467,,
374,,
374,,
315,,
221,,
141,,
117,,
177,,
75,,
65,,
68,,
151,,
187,,
187,,
201,,
251,,
153,,
68,,
71,,
115,,
79,,
128,,
164,,
104,,
104,,
81,,
264,,
212,,
123,,
121,,
140,,
170,,
87,,
69,,
284,,
284,,
114,,
54,,
84,,
175,,
135,,
575,,
965,,
964,,
964,,
652,,
652,,
365,,
117,,
176,,
438,,
564,,
532,,
442,,
270,,
253,,
231,,
231,,
261,,
329,,
300,,
398,,
414,,
281,,
156,,
794,,
964,,
963,,
963,,
964,,
961,,
906,,
523,,
203,,
133,,
312,,
429,,
474,,
500,,
500,,
480,,
456,,
411,,
303,,
280,,
210,,
164,,
143,,
118,,
174,,
174,,
165,,
126,,
90,,
240,,
90,,
98,,
172,,
365,,
635,,
803,,
803,,
765,,
672,,
509,,
322,,
148,,
119,,
194,,
315,,
284,,
301,,
301,,
282,,
260,,
164,,
85,,
72,,
71,,
81,,
113,,
146,,
169,,
169,,
188,,
376,,
166,,
112,,
77,,
92,,
87,,
74,,
63,,
116,,
116,,
122,,
125,,
90,,
93,,
128,,
87,,
266,,
493,,
809,,
929,,
929,,
865,,
621,,
358,,
109,,
210,,
312,,
335,,
306,,
221,,
195,,
195,,
194,,
165,,
279,,
166,,
229,,
314,,
609,,
587,,
218,,
384,,
384,,
265,,
434,,
881,,
962,,
961,,
963,,
793,,
392,,
134,,
281,,
281,,
523,,
585,,
578,,
492,,
446,,
377,,
355,,
266,,
223,,
244,,
244,,
251,,
233,,
446,,
655,,
600,,
318,,
218,,
291,,
423,,
469,,
469,,
440,,
304,,
282,,
257,,
132,,
132,,
137,,
173,,
225,,
229,,
229,,
274,,
226,,
261,,
232,,
196,,
184,,
168,,
239,,
127,,
104,,
104,,
101,,
138,,
211,,
286,,
552,,
747,,
586,,
576,,
443,,
304,,
304,,
160,,
114,,
87,,
237,,
548,,
662,,
551,,
427,,
372,,
149,,
149,,
88,,
250,,
369,,
444,,
422,,
515,,
436,,
337,,
246,,
182,,
182,,
139,,
110,,
113,,
82,,
92,,
159,,
76,,
56,,
52,,
