data,age,gender
180,23,0
180,,
186,,
289,,
192,,
183,,
314,,
208,,
205,,
316,,
196,,
219,,
219,,
310,,
203,,
255,,
332,,
209,,
277,,
306,,
276,,
266,,
218,,
218,,
284,,
144,,
129,,
239,,
87,,
95,,
256,,
175,,
96,,
160,,
160,,
653,,
960,,
961,,
962,,
960,,
964,,
917,,
553,,
327,,
318,,
318,,
369,,
554,,
717,,
695,,
599,,
458,,
378,,
266,,
99,,
259,,
259,,
156,,
228,,
335,,
288,,
324,,
366,,
343,,
370,,
432,,
451,,
451,,
225,,
340,,
759,,
961,,
929,,
764,,
651,,
478,,
357,,
286,,
286,,
131,,
250,,
109,,
87,,
274,,
262,,
135,,
222,,
109,,
96,,
96,,
291,,
657,,
845,,
803,,
710,,
530,,
283,,
148,,
99,,
307,,
307,,
277,,
394,,
463,,
415,,
467,,
440,,
417,,
421,,
471,,
464,,
464,,
419,,
397,,
417,,
324,,
325,,
388,,
272,,
317,,
297,,
313,,
313,,
283,,
306,,
370,,
175,,
256,,
844,,
961,,
959,,
959,,
890,,
890,,
555,,
388,,
246,,
326,,
387,,
285,,
200,,
140,,
92,,
76,,
76,,
119,,
228,,
270,,
265,,
284,,
198,,
136,,
84,,
89,,
261,,
261,,
205,,
176,,
207,,
160,,
113,,
228,,
93,,
99,,
264,,
106,,
106,,
129,,
293,,
228,,
260,,
368,,
298,,
378,,
483,,
404,,
442,,
442,,
438,,
398,,
413,,
286,,
249,,
260,,
236,,
177,,
135,,
245,,
245,,
98,,
119,,
128,,
230,,
178,,
186,,
244,,
692,,
957,,
961,,
961,,
961,,
962,,
956,,
698,,
498,,
501,,
398,,
373,,
199,,
83,,
83,,
174,,
299,,
277,,
315,,
457,,
377,,
427,,
455,,
355,,
286,,
286,,
130,,
115,,
200,,
205,,
167,,
347,,
628,,
864,,
887,,
689,,
689,,
601,,
313,,
104,,
228,,
270,,
272,,
241,,
183,,
164,,
378,,
378,,
589,,
663,,
531,,
341,,
201,,
137,,
309,,
299,,
361,,
422,,
422,,
413,,
395,,
399,,
344,,
249,,
287,,
297,,
226,,
235,,
261,,
261,,
190,,
226,,
262,,
227,,
286,,
389,,
380,,
393,,
258,,
276,,
276,,
719,,
949,,
960,,
960,,
827,,
687,,
420,,
261,,
176,,
274,,
274,,
803,,
947,,
911,,
737,,
318,,
124,,
245,,
365,,
359,,
414,,
414,,
494,,
405,,
392,,
462,,
412,,
373,,
469,,
375,,
409,,
449,,
449,,
452,,
542,,
519,,
579,,
506,,
400,,
369,,
295,,
323,,
308,,
308,,
138,,
440,,
961,,
961,,
959,,
961,,
959,,
961,,
623,,
212,,
212,,
102,,
