data,age,gender
78,21,0
78,,
101,,
119,,
88,,
86,,
101,,
109,,
114,,
97,,
106,,
126,,
126,,
116,,
111,,
132,,
130,,
128,,
123,,
115,,
116,,
108,,
135,,
135,,
110,,
104,,
113,,
135,,
139,,
111,,
81,,
110,,
90,,
89,,
89,,
114,,
116,,
148,,
97,,
85,,
81,,
69,,
73,,
84,,
75,,
75,,
70,,
66,,
78,,
82,,
68,,
70,,
93,,
92,,
103,,
99,,
99,,
79,,
128,,
79,,
64,,
61,,
86,,
88,,
71,,
62,,
74,,
74,,
75,,
66,,
85,,
82,,
79,,
74,,
95,,
79,,
64,,
88,,
88,,
79,,
69,,
71,,
93,,
100,,
92,,
93,,
84,,
106,,
187,,
187,,
128,,
90,,
150,,
113,,
124,,
138,,
197,,
155,,
132,,
117,,
117,,
136,,
310,,
252,,
226,,
222,,
254,,
486,,
501,,
407,,
342,,
342,,
266,,
261,,
238,,
257,,
319,,
239,,
264,,
228,,
133,,
681,,
681,,
228,,
165,,
268,,
163,,
211,,
117,,
122,,
106,,
151,,
122,,
122,,
130,,
137,,
334,,
261,,
332,,
764,,
281,,
378,,
509,,
201,,
201,,
225,,
187,,
188,,
144,,
168,,
251,,
308,,
205,,
174,,
160,,
160,,
132,,
165,,
351,,
679,,
479,,
419,,
555,,
400,,
321,,
370,,
370,,
389,,
297,,
694,,
217,,
461,,
752,,
315,,
741,,
340,,
693,,
693,,
300,,
385,,
478,,
192,,
464,,
484,,
288,,
356,,
478,,
262,,
262,,
285,,
404,,
278,,
299,,
275,,
273,,
219,,
408,,
262,,
176,,
176,,
368,,
288,,
372,,
257,,
249,,
152,,
941,,
796,,
329,,
161,,
161,,
381,,
202,,
465,,
186,,
868,,
411,,
453,,
285,,
306,,
309,,
309,,
260,,
310,,
488,,
637,,
431,,
537,,
436,,
436,,
350,,
676,,
676,,
287,,
190,,
233,,
290,,
220,,
338,,
270,,
548,,
170,,
319,,
319,,
246,,
199,,
195,,
149,,
192,,
169,,
234,,
318,,
204,,
195,,
195,,
360,,
212,,
406,,
194,,
222,,
179,,
286,,
187,,
201,,
202,,
202,,
276,,
238,,
214,,
215,,
218,,
161,,
124,,
91,,
95,,
235,,
235,,
120,,
115,,
106,,
100,,
385,,
240,,
191,,
221,,
495,,
177,,
177,,
163,,
126,,
266,,
130,,
223,,
172,,
158,,
328,,
230,,
150,,
150,,
148,,
124,,
99,,
148,,
87,,
104,,
79,,
110,,
120,,
408,,
408,,
249,,
340,,
527,,
310,,
518,,
316,,
472,,
269,,
446,,
167,,
167,,
278,,
226,,
369,,
500,,
208,,
267,,
370,,
274,,
269,,
366,,
366,,
189,,
199,,
115,,
242,,
153,,
141,,
98,,
85,,
538,,
595,,
595,,
270,,
323,,
