data,age,gender
255,20,0
255,,
205,,
192,,
258,,
258,,
204,,
208,,
264,,
241,,
188,,
141,,
141,,
116,,
101,,
90,,
89,,
79,,
75,,
77,,
77,,
79,,
79,,
79,,
78,,
75,,
73,,
78,,
75,,
74,,
76,,
76,,
76,,
77,,
77,,
74,,
73,,
73,,
79,,
71,,
72,,
72,,
75,,
75,,
77,,
77,,
75,,
71,,
72,,
74,,
72,,
74,,
74,,
73,,
72,,
76,,
76,,
74,,
72,,
70,,
73,,
73,,
74,,
76,,
73,,
77,,
75,,
75,,
72,,
74,,
73,,
74,,
70,,
72,,
73,,
74,,
75,,
74,,
74,,
74,,
72,,
73,,
71,,
71,,
74,,
71,,
72,,
73,,
76,,
76,,
74,,
73,,
72,,
73,,
71,,
70,,
72,,
71,,
75,,
76,,
76,,
73,,
71,,
74,,
75,,
73,,
71,,
70,,
70,,
76,,
75,,
75,,
73,,
71,,
72,,
73,,
73,,
69,,
71,,
72,,
74,,
77,,
77,,
74,,
71,,
76,,
72,,
71,,
71,,
70,,
71,,
75,,
75,,
75,,
74,,
71,,
69,,
72,,
71,,
69,,
73,,
71,,
72,,
72,,
72,,
69,,
146,,
179,,
226,,
258,,
285,,
317,,
280,,
351,,
463,,
463,,
761,,
962,,
964,,
962,,
964,,
963,,
962,,
964,,
963,,
964,,
964,,
962,,
964,,
964,,
961,,
963,,
634,,
435,,
278,,
313,,
408,,
408,,
424,,
573,,
730,,
664,,
569,,
656,,
574,,
511,,
696,,
432,,
432,,
391,,
561,,
375,,
324,,
315,,
345,,
300,,
292,,
570,,
306,,
306,,
299,,
290,,
440,,
297,,
286,,
287,,
560,,
279,,
275,,
654,,
654,,
963,,
964,,
963,,
964,,
961,,
961,,
961,,
962,,
961,,
960,,
960,,
962,,
962,,
962,,
962,,
963,,
905,,
889,,
691,,
697,,
733,,
733,,
795,,
743,,
773,,
906,,
882,,
612,,
481,,
467,,
356,,
338,,
338,,
355,,
339,,
279,,
577,,
260,,
229,,
240,,
289,,
255,,
248,,
248,,
463,,
290,,
260,,
253,,
279,,
416,,
846,,
946,,
962,,
964,,
964,,
961,,
930,,
683,,
537,,
359,,
560,,
324,,
358,,
417,,
390,,
390,,
339,,
257,,
275,,
250,,
292,,
282,,
341,,
444,,
295,,
230,,
230,,
202,,
536,,
235,,
140,,
137,,
274,,
197,,
120,,
114,,
207,,
207,,
162,,
146,,
115,,
234,,
214,,
148,,
158,,
329,,
209,,
166,,
166,,
185,,
230,,
185,,
161,,
205,,
236,,
175,,
164,,
183,,
268,,
268,,
200,,
168,,
322,,
196,,
175,,
177,,
450,,
245,,
272,,
285,,
285,,
415,,
282,,
305,,
292,,
392,,
251,,
261,,
250,,
276,,
226,,
226,,
243,,
