data,age,gender
255,20,0
429,,
262,,
265,,
263,,
336,,
261,,
261,,
289,,
290,,
290,,
257,,
252,,
427,,
941,,
962,,
962,,
963,,
961,,
962,,
455,,
455,,
233,,
302,,
237,,
249,,
362,,
261,,
350,,
818,,
909,,
796,,
796,,
881,,
694,,
246,,
411,,
204,,
205,,
461,,
195,,
131,,
464,,
464,,
168,,
142,,
509,,
220,,
354,,
559,,
379,,
342,,
355,,
274,,
274,,
176,,
272,,
640,,
964,,
963,,
964,,
964,,
963,,
441,,
181,,
181,,
226,,
962,,
963,,
962,,
961,,
961,,
438,,
618,,
962,,
963,,
963,,
958,,
878,,
905,,
940,,
924,,
959,,
933,,
959,,
392,,
954,,
954,,
578,,
955,,
956,,
962,,
961,,
390,,
420,,
666,,
808,,
961,,
961,,
929,,
903,,
614,,
347,,
292,,
347,,
294,,
249,,
479,,
239,,
239,,
340,,
177,,
413,,
887,,
920,,
959,,
961,,
962,,
962,,
845,,
845,,
240,,
239,,
532,,
490,,
541,,
576,,
593,,
572,,
468,,
464,,
464,,
309,,
257,,
427,,
322,,
433,,
358,,
458,,
396,,
252,,
651,,
651,,
301,,
601,,
963,,
962,,
962,,
621,,
961,,
962,,
962,,
959,,
959,,
961,,
961,,
699,,
293,,
392,,
323,,
452,,
259,,
452,,
264,,
264,,
213,,
166,,
326,,
251,,
266,,
268,,
231,,
318,,
741,,
959,,
959,,
964,,
960,,
961,,
962,,
612,,
960,,
961,,
960,,
960,,
959,,
959,,
962,,
888,,
471,,
401,,
597,,
961,,
963,,
770,,
449,,
242,,
242,,
523,,
962,,
961,,
962,,
669,,
961,,
960,,
962,,
961,,
960,,
960,,
454,,
961,,
963,,
961,,
963,,
961,,
961,,
962,,
964,,
961,,
961,,
961,,
861,,
797,,
655,,
619,,
581,,
461,,
762,,
962,,
963,,
963,,
960,,
962,,
963,,
891,,
419,,
206,,
198,,
351,,
359,,
538,,
538,,
338,,
237,,
444,,
249,,
326,,
359,,
259,,
220,,
321,,
369,,
369,,
653,,
885,,
613,,
962,,
959,,
962,,
961,,
962,,
961,,
960,,
960,,
360,,
597,,
937,,
953,,
961,,
252,,
253,,
331,,
216,,
192,,
192,,
162,,
487,,
763,,
871,,
963,,
962,,
962,,
962,,
962,,
963,,
963,,
963,,
868,,
960,,
962,,
964,,
960,,
963,,
962,,
882,,
672,,
672,,
385,,
239,,
309,,
236,,
361,,
728,,
961,,
961,,
960,,
959,,
959,,
962,,
961,,
961,,
646,,
200,,
192,,
153,,
364,,
268,,
341,,
341,,
178,,
236,,
226,,
255,,
962,,
962,,
886,,
764,,
962,,
739,,
739,,
743,,
447,,
264,,
295,,
481,,
274,,
354,,
290,,
307,,
522,,
522,,
815,,
963,,
962,,
964,,
962,,
877,,
707,,
528,,
377,,
