data,age,gender
143,21,0
143,,
229,,
180,,
269,,
313,,
285,,
317,,
246,,
283,,
254,,
238,,
238,,
228,,
358,,
548,,
396,,
183,,
190,,
181,,
129,,
145,,
224,,
224,,
148,,
102,,
102,,
168,,
112,,
100,,
232,,
115,,
101,,
148,,
148,,
149,,
119,,
114,,
138,,
141,,
133,,
203,,
281,,
216,,
196,,
196,,
186,,
249,,
169,,
212,,
236,,
252,,
197,,
184,,
266,,
156,,
156,,
173,,
137,,
230,,
176,,
112,,
145,,
165,,
114,,
125,,
261,,
261,,
129,,
92,,
124,,
175,,
160,,
136,,
126,,
136,,
97,,
100,,
100,,
216,,
143,,
137,,
132,,
221,,
167,,
168,,
147,,
152,,
172,,
172,,
117,,
266,,
154,,
157,,
175,,
194,,
187,,
238,,
197,,
192,,
192,,
241,,
278,,
211,,
200,,
200,,
315,,
147,,
274,,
237,,
185,,
185,,
213,,
246,,
261,,
191,,
190,,
206,,
189,,
214,,
210,,
287,,
287,,
192,,
162,,
198,,
327,,
176,,
163,,
166,,
277,,
231,,
191,,
191,,
245,,
194,,
168,,
198,,
189,,
188,,
221,,
263,,
222,,
217,,
217,,
206,,
205,,
178,,
217,,
248,,
176,,
162,,
206,,
170,,
153,,
153,,
214,,
274,,
161,,
151,,
207,,
219,,
178,,
161,,
311,,
163,,
163,,
173,,
154,,
204,,
178,,
141,,
196,,
151,,
147,,
227,,
215,,
215,,
168,,
126,,
143,,
195,,
136,,
161,,
232,,
156,,
200,,
200,,
200,,
256,,
263,,
281,,
353,,
426,,
480,,
431,,
362,,
270,,
212,,
212,,
258,,
269,,
164,,
203,,
393,,
372,,
362,,
423,,
233,,
146,,
146,,
205,,
291,,
257,,
146,,
125,,
253,,
328,,
322,,
288,,
143,,
143,,
148,,
423,,
320,,
407,,
403,,
325,,
362,,
330,,
258,,
113,,
113,,
88,,
196,,
136,,
156,,
153,,
246,,
219,,
132,,
192,,
111,,
111,,
81,,
206,,
132,,
120,,
198,,
204,,
240,,
415,,
493,,
220,,
220,,
415,,
629,,
414,,
270,,
417,,
141,,
114,,
156,,
186,,
121,,
121,,
173,,
294,,
292,,
346,,
281,,
313,,
568,,
717,,
958,,
916,,
916,,
715,,
493,,
465,,
460,,
352,,
215,,
158,,
184,,
208,,
403,,
403,,
391,,
249,,
201,,
172,,
167,,
83,,
84,,
105,,
157,,
115,,
115,,
99,,
240,,
103,,
88,,
96,,
190,,
100,,
92,,
130,,
139,,
139,,
114,,
89,,
155,,
155,,
85,,
91,,
167,,
126,,
101,,
109,,
109,,
103,,
168,,
289,,
468,,
476,,
410,,
451,,
182,,
168,,
500,,
500,,
837,,
958,,
641,,
283,,
416,,
755,,
762,,
