data,age,gender
143,21,0
658,,
548,,
315,,
315,,
316,,
625,,
736,,
634,,
602,,
349,,
274,,
162,,
79,,
108,,
108,,
364,,
196,,
135,,
224,,
536,,
711,,
720,,
503,,
472,,
260,,
260,,
129,,
144,,
95,,
151,,
325,,
192,,
175,,
155,,
182,,
149,,
149,,
211,,
188,,
221,,
222,,
218,,
189,,
167,,
268,,
122,,
104,,
104,,
112,,
113,,
77,,
103,,
171,,
85,,
110,,
190,,
121,,
110,,
110,,
236,,
148,,
248,,
136,,
111,,
118,,
114,,
213,,
140,,
89,,
89,,
133,,
257,,
548,,
776,,
631,,
453,,
954,,
960,,
958,,
881,,
881,,
883,,
641,,
517,,
353,,
212,,
114,,
111,,
180,,
153,,
261,,
261,,
298,,
302,,
288,,
273,,
332,,
293,,
128,,
162,,
97,,
134,,
134,,
170,,
226,,
199,,
168,,
179,,
108,,
105,,
202,,
115,,
111,,
111,,
200,,
102,,
77,,
126,,
130,,
105,,
116,,
163,,
190,,
119,,
119,,
207,,
126,,
166,,
305,,
305,,
317,,
269,,
260,,
185,,
125,,
125,,
281,,
266,,
250,,
134,,
194,,
172,,
126,,
188,,
107,,
97,,
97,,
206,,
106,,
103,,
114,,
236,,
330,,
506,,
515,,
239,,
452,,
452,,
841,,
914,,
664,,
456,,
236,,
153,,
94,,
196,,
104,,
141,,
141,,
208,,
162,,
130,,
168,,
223,,
186,,
187,,
263,,
225,,
136,,
136,,
234,,
133,,
112,,
227,,
166,,
140,,
151,,
186,,
148,,
99,,
99,,
234,,
183,,
111,,
147,,
156,,
101,,
95,,
197,,
119,,
149,,
149,,
96,,
169,,
119,,
98,,
171,,
137,,
93,,
104,,
162,,
85,,
85,,
101,,
111,,
99,,
128,,
81,,
202,,
98,,
128,,
109,,
131,,
131,,
69,,
112,,
172,,
103,,
116,,
225,,
108,,
90,,
96,,
124,,
124,,
83,,
90,,
160,,
96,,
97,,
223,,
85,,
69,,
94,,
127,,
127,,
79,,
72,,
228,,
108,,
123,,
95,,
181,,
149,,
233,,
193,,
193,,
245,,
116,,
241,,
640,,
590,,
664,,
709,,
598,,
386,,
184,,
184,,
203,,
113,,
132,,
211,,
212,,
211,,
197,,
263,,
257,,
243,,
243,,
531,,
738,,
915,,
645,,
573,,
211,,
166,,
326,,
452,,
468,,
468,,
544,,
406,,
277,,
344,,
96,,
109,,
192,,
125,,
117,,
165,,
165,,
225,,
214,,
228,,
341,,
356,,
254,,
273,,
235,,
130,,
257,,
257,,
130,,
182,,
158,,
128,,
128,,
108,,
164,,
125,,
116,,
214,,
214,,
139,,
99,,
200,,
121,,
107,,
117,,
128,,
89,,
94,,
147,,
147,,
72,,
93,,
194,,
107,,
91,,
81,,
130,,
106,,
102,,
