data,age,gender
147,22,0
147,,
112,,
301,,
120,,
112,,
97,,
197,,
115,,
138,,
97,,
144,,
144,,
108,,
75,,
102,,
82,,
74,,
69,,
205,,
103,,
59,,
72,,
72,,
172,,
73,,
77,,
75,,
161,,
76,,
86,,
91,,
178,,
114,,
114,,
157,,
190,,
111,,
80,,
84,,
151,,
79,,
80,,
90,,
142,,
142,,
96,,
73,,
200,,
83,,
75,,
69,,
162,,
94,,
74,,
93,,
93,,
134,,
102,,
114,,
220,,
133,,
112,,
101,,
221,,
165,,
171,,
171,,
140,,
191,,
115,,
107,,
241,,
102,,
83,,
94,,
167,,
114,,
114,,
77,,
285,,
134,,
157,,
153,,
203,,
124,,
130,,
184,,
76,,
76,,
105,,
134,,
192,,
164,,
119,,
138,,
108,,
149,,
171,,
161,,
161,,
82,,
123,,
206,,
85,,
76,,
86,,
146,,
77,,
70,,
183,,
183,,
108,,
91,,
90,,
150,,
90,,
77,,
182,,
81,,
59,,
87,,
87,,
147,,
83,,
411,,
213,,
238,,
95,,
98,,
105,,
73,,
72,,
72,,
163,,
80,,
81,,
163,,
108,,
67,,
81,,
159,,
76,,
75,,
75,,
73,,
123,,
74,,
76,,
250,,
318,,
495,,
309,,
657,,
618,,
618,,
469,,
826,,
296,,
369,,
590,,
440,,
433,,
327,,
396,,
273,,
273,,
392,,
223,,
560,,
361,,
356,,
271,,
280,,
159,,
167,,
174,,
174,,
123,,
111,,
209,,
113,,
105,,
112,,
401,,
177,,
125,,
122,,
122,,
167,,
106,,
108,,
263,,
137,,
130,,
111,,
221,,
103,,
83,,
83,,
115,,
214,,
106,,
111,,
127,,
198,,
99,,
97,,
101,,
175,,
175,,
118,,
93,,
123,,
129,,
122,,
124,,
241,,
120,,
124,,
98,,
98,,
183,,
87,,
90,,
94,,
144,,
120,,
101,,
277,,
131,,
146,,
146,,
133,,
161,,
112,,
107,,
260,,
164,,
261,,
210,,
285,,
138,,
138,,
119,,
109,,
103,,
121,,
150,,
247,,
135,,
132,,
81,,
196,,
196,,
153,,
158,,
125,,
175,,
120,,
129,,
259,,
129,,
121,,
107,,
107,,
161,,
120,,
99,,
149,,
128,,
112,,
100,,
171,,
92,,
85,,
85,,
192,,
115,,
94,,
97,,
179,,
89,,
82,,
98,,
132,,
89,,
89,,
90,,
269,,
104,,
96,,
88,,
194,,
94,,
84,,
96,,
121,,
121,,
95,,
109,,
221,,
112,,
89,,
116,,
144,,
104,,
102,,
283,,
283,,
100,,
86,,
101,,
204,,
120,,
84,,
97,,
145,,
86,,
83,,
83,,
258,,
91,,
95,,
92,,
169,,
91,,
89,,
125,,
130,,
138,,
138,,
159,,
216,,
134,,
167,,
192,,
365,,
259,,
345,,
340,,
290,,
290,,
362,,
377,,
405,,
429,,
757,,
237,,
160,,
88,,
104,,
121,,
121,,
162,,
113,,
110,,
208,,
107,,
91,,
85,,
130,,
83,,
78,,
78,,
189,,
161,,
94,,
102,,
104,,
75,,
86,,
163,,
104,,
76,,
76,,
90,,
121,,
69,,
82,,
221,,
91,,
74,,
75,,
157,,
73,,
73,,
67,,
79,,
118,,
72,,
62,,
79,,
111,,
86,,
66,,
226,,
226,,
108,,
89,,
88,,
149,,
90,,
73,,
179,,
88,,
66,,
84,,
84,,
168,,
82,,
60,,
88,,
104,,
78,,
64,,
208,,
92,,
83,,
83,,
77,,
165,,
85,,
97,,
173,,
122,,
111,,
104,,
201,,
139,,
139,,
137,,
97,,
165,,
128,,
85,,
263,,
148,,
77,,
73,,
111,,
111,,
97,,
73,,
176,,
81,,
61,,
88,,
114,,
70,,
66,,
248,,
248,,
86,,
77,,
70,,
172,,
75,,
58,,
75,,
164,,
70,,
55,,
55,,
71,,
122,,
73,,
83,,
298,,
392,,
208,,
191,,
249,,
152,,
152,,
94,,
189,,
105,,
106,,
515,,
685,,
253,,
143,,
214,,
142,,
142,,
139,,
165,,
204,,
150,,
182,,
177,,
236,,
134,,
89,,
109,,
109,,
187,,
108,,
127,,
216,,
130,,
138,,
122,,
185,,
113,,
136,,
136,,
115,,
137,,
157,,
157,,
201,,
134,,
143,,
178,,
201,,
178,,
178,,
146,,
230,,
159,,
139,,
118,,
196,,
126,,
110,,
174,,
164,,
164,,
117,,
138,,
225,,
101,,
146,,
130,,
217,,
140,,
121,,
90,,
90,,
145,,
108,,
123,,
162,,
143,,
123,,
132,,
221,,
160,,
141,,
141,,
113,,
168,,
128,,
98,,
301,,
189,,
118,,
163,,
195,,
143,,
143,,
107,,
130,,
192,,
120,,
116,,
275,,
190,,
139,,
97,,
230,,
230,,
144,,
96,,
123,,
194,,
132,,
146,,
146,,
145,,
149,,
107,,
107,,
381,,
132,,
128,,
134,,
203,,
146,,
145,,
146,,
146,,
179,,
179,,
131,,
213,,
157,,
168,,
206,,
210,,
151,,
162,,
181,,
156,,
156,,
108,,
102,,
144,,
146,,
132,,
232,,
134,,
108,,
120,,
143,,
143,,
105,,
107,,
256,,
110,,
99,,
105,,
188,,
111,,
92,,
99,,
99,,
130,,
161,,
187,,
281,,
139,,
386,,
301,,
178,,
137,,
93,,
93,,
282,,
118,,
66,,
76,,
245,,
121,,
84,,
157,,
98,,
75,,
75,,
76,,
125,,
74,,
