data,age,gender
147,22,0
959,,
691,,
447,,
957,,
957,,
957,,
957,,
508,,
716,,
900,,
957,,
957,,
669,,
474,,
891,,
891,,
958,,
960,,
959,,
960,,
960,,
959,,
959,,
959,,
898,,
960,,
960,,
945,,
863,,
731,,
653,,
600,,
496,,
462,,
376,,
361,,
342,,
342,,
302,,
272,,
224,,
262,,
184,,
185,,
275,,
142,,
131,,
106,,
106,,
172,,
94,,
72,,
218,,
93,,
89,,
91,,
130,,
162,,
90,,
90,,
194,,
77,,
69,,
65,,
109,,
160,,
194,,
319,,
225,,
205,,
205,,
196,,
157,,
129,,
128,,
330,,
167,,
102,,
86,,
118,,
71,,
71,,
68,,
67,,
91,,
75,,
64,,
303,,
86,,
73,,
72,,
187,,
187,,
102,,
82,,
103,,
141,,
91,,
64,,
77,,
79,,
62,,
73,,
73,,
212,,
94,,
67,,
106,,
120,,
133,,
161,,
256,,
260,,
288,,
288,,
287,,
393,,
221,,
130,,
115,,
141,,
87,,
63,,
91,,
124,,
124,,
168,,
187,,
393,,
193,,
151,,
178,,
191,,
169,,
132,,
161,,
161,,
101,,
92,,
95,,
192,,
90,,
65,,
124,,
153,,
97,,
53,,
53,,
74,,
120,,
87,,
75,,
184,,
134,,
208,,
316,,
396,,
403,,
403,,
331,,
487,,
252,,
221,,
309,,
344,,
148,,
182,,
99,,
93,,
93,,
63,,
58,,
185,,
73,,
80,,
101,,
205,,
68,,
103,,
119,,
119,,
200,,
94,,
104,,
169,,
139,,
108,,
84,,
158,,
82,,
108,,
108,,
242,,
137,,
142,,
146,,
198,,
135,,
84,,
187,,
71,,
64,,
64,,
130,,
108,,
59,,
67,,
150,,
164,,
125,,
246,,
79,,
60,,
60,,
84,,
132,,
68,,
65,,
91,,
96,,
90,,
66,,
226,,
138,,
138,,
132,,
219,,
254,,
354,,
469,,
472,,
477,,
330,,
100,,
232,,
232,,
110,,
208,,
307,,
480,,
457,,
368,,
445,,
372,,
499,,
482,,
482,,
121,,
127,,
236,,
136,,
104,,
136,,
168,,
199,,
245,,
208,,
208,,
176,,
199,,
306,,
95,,
110,,
113,,
213,,
208,,
266,,
290,,
290,,
317,,
261,,
242,,
291,,
240,,
198,,
100,,
178,,
79,,
68,,
68,,
70,,
120,,
87,,
74,,
202,,
128,,
102,,
121,,
166,,
98,,
98,,
84,,
210,,
104,,
216,,
224,,
229,,
337,,
337,,
652,,
748,,
748,,
656,,
289,,
234,,
303,,
426,,
392,,
410,,
190,,
198,,
373,,
373,,
829,,
781,,
531,,
358,,
252,,
189,,
145,,
285,,
510,,
632,,
632,,
595,,
494,,
262,,
102,,
338,,
308,,
274,,
425,,
403,,
385,,
385,,
325,,
432,,
409,,
309,,
178,,
130,,
181,,
79,,
70,,
268,,
