data,age,gender
35,22,0
35,,
35,,
34,,
37,,
36,,
36,,
38,,
36,,
37,,
36,,
38,,
38,,
36,,
34,,
36,,
36,,
38,,
36,,
35,,
33,,
36,,
37,,
37,,
36,,
36,,
35,,
36,,
38,,
38,,
38,,
37,,
37,,
35,,
35,,
38,,
37,,
37,,
37,,
35,,
35,,
35,,
36,,
34,,
35,,
35,,
36,,
34,,
37,,
36,,
36,,
35,,
37,,
36,,
35,,
35,,
35,,
37,,
37,,
36,,
35,,
36,,
34,,
33,,
37,,
35,,
38,,
38,,
38,,
38,,
38,,
38,,
36,,
36,,
35,,
36,,
36,,
35,,
35,,
35,,
35,,
35,,
34,,
34,,
36,,
35,,
36,,
36,,
36,,
36,,
38,,
36,,
36,,
36,,
37,,
38,,
37,,
36,,
35,,
36,,
36,,
35,,
35,,
35,,
35,,
36,,
35,,
34,,
36,,
92,,
964,,
964,,
963,,
964,,
964,,
964,,
962,,
963,,
964,,
963,,
657,,
405,,
405,,
253,,
163,,
115,,
82,,
64,,
51,,
44,,
39,,
37,,
36,,
36,,
37,,
35,,
37,,
37,,
38,,
36,,
40,,
45,,
41,,
39,,
39,,
38,,
37,,
37,,
37,,
37,,
38,,
36,,
38,,
36,,
36,,
36,,
35,,
36,,
35,,
36,,
37,,
35,,
37,,
36,,
38,,
42,,
42,,
41,,
38,,
37,,
38,,
36,,
37,,
36,,
36,,
37,,
35,,
35,,
36,,
36,,
37,,
36,,
36,,
36,,
36,,
37,,
36,,
38,,
38,,
37,,
38,,
480,,
897,,
757,,
614,,
547,,
865,,
581,,
442,,
442,,
261,,
154,,
95,,
65,,
49,,
41,,
38,,
38,,
37,,
35,,
35,,
37,,
35,,
36,,
36,,
38,,
37,,
37,,
36,,
37,,
40,,
40,,
41,,
38,,
35,,
35,,
36,,
35,,
36,,
37,,
37,,
38,,
38,,
37,,
38,,
39,,
38,,
38,,
435,,
868,,
327,,
176,,
106,,
106,,
69,,
50,,
50,,
40,,
37,,
37,,
35,,
36,,
37,,
38,,
38,,
38,,
38,,
37,,
38,,
36,,
35,,
37,,
37,,
37,,
40,,
40,,
36,,
36,,
37,,
36,,
36,,
37,,
36,,
36,,
56,,
763,,
763,,
963,,
964,,
962,,
964,,
964,,
961,,
963,,
766,,
441,,
260,,
260,,
159,,
695,,
965,,
963,,
963,,
964,,
964,,
963,,
964,,
965,,
965,,
964,,
965,,
964,,
967,,
963,,
961,,
939,,
542,,
323,,
197,,
197,,
126,,
85,,
61,,
51,,
43,,
38,,
40,,
37,,
36,,
35,,
35,,
38,,
36,,
35,,
37,,
36,,
36,,
36,,
36,,
35,,
38,,
38,,
38,,
38,,
37,,
38,,
37,,
35,,
38,,
35,,
37,,
35,,
35,,
35,,
35,,
35,,
37,,
36,,
35,,
36,,
38,,
38,,
38,,
38,,
35,,
37,,
36,,
38,,
36,,
36,,
36,,
37,,
39,,
38,,
38,,
40,,
39,,
39,,
38,,
37,,
38,,
36,,
39,,
38,,
36,,
36,,
37,,
38,,
37,,
37,,
35,,
35,,
37,,
