data,age,gender
35,22,0
36,,
37,,
38,,
38,,
36,,
35,,
136,,
962,,
962,,
964,,
961,,
963,,
963,,
962,,
962,,
538,,
453,,
458,,
507,,
459,,
516,,
490,,
488,,
552,,
447,,
447,,
443,,
466,,
468,,
603,,
507,,
640,,
752,,
624,,
726,,
474,,
474,,
492,,
482,,
642,,
844,,
583,,
633,,
493,,
509,,
655,,
476,,
476,,
460,,
483,,
661,,
573,,
570,,
494,,
483,,
394,,
428,,
442,,
442,,
467,,
963,,
962,,
852,,
964,,
937,,
793,,
643,,
548,,
526,,
526,,
443,,
449,,
433,,
467,,
457,,
483,,
548,,
530,,
564,,
394,,
394,,
448,,
484,,
560,,
476,,
608,,
525,,
462,,
467,,
427,,
429,,
429,,
363,,
351,,
209,,
132,,
91,,
95,,
66,,
53,,
45,,
38,,
38,,
38,,
42,,
39,,
37,,
145,,
745,,
962,,
962,,
962,,
788,,
788,,
625,,
634,,
564,,
508,,
421,,
344,,
299,,
479,,
293,,
377,,
377,,
522,,
637,,
475,,
436,,
385,,
450,,
383,,
542,,
919,,
737,,
737,,
544,,
446,,
561,,
499,,
756,,
524,,
461,,
404,,
298,,
319,,
319,,
418,,
452,,
518,,
963,,
936,,
833,,
425,,
330,,
301,,
493,,
493,,
480,,
416,,
411,,
785,,
633,,
448,,
515,,
962,,
962,,
964,,
964,,
680,,
644,,
696,,
690,,
656,,
920,,
962,,
955,,
952,,
706,,
706,,
748,,
746,,
680,,
793,,
640,,
669,,
667,,
532,,
566,,
963,,
963,,
963,,
737,,
793,,
962,,
961,,
731,,
649,,
676,,
699,,
688,,
688,,
785,,
807,,
784,,
962,,
862,,
963,,
962,,
963,,
578,,
501,,
501,,
437,,
619,,
499,,
496,,
468,,
365,,
296,,
321,,
379,,
283,,
283,,
275,,
556,,
516,,
599,,
564,,
427,,
274,,
299,,
339,,
362,,
362,,
359,,
401,,
571,,
333,,
239,,
217,,
366,,
237,,
256,,
232,,
232,,
428,,
318,,
253,,
466,,
526,,
316,,
280,,
322,,
440,,
282,,
282,,
301,,
218,,
300,,
237,,
176,,
203,,
384,,
233,,
890,,
964,,
964,,
962,,
663,,
264,,
329,,
454,,
375,,
222,,
251,,
567,,
852,,
852,,
922,,
961,,
963,,
961,,
962,,
962,,
834,,
445,,
264,,
210,,
210,,
307,,
341,,
344,,
390,,
962,,
962,,
962,,
963,,
961,,
960,,
960,,
963,,
961,,
828,,
414,,
523,,
314,,
380,,
455,,
544,,
559,,
559,,
722,,
964,,
964,,
931,,
780,,
564,,
418,,
307,,
385,,
265,,
265,,
276,,
275,,
481,,
691,,
511,,
379,,
267,,
258,,
312,,
673,,
673,,
658,,
462,,
337,,
643,,
691,,
552,,
618,,
963,,
964,,
964,,
964,,
899,,
394,,
357,,
353,,
442,,
298,,
284,,
416,,
318,,
190,,
190,,
204,,
323,,
386,,
263,,
407,,
180,,
197,,
213,,
307,,
257,,
257,,
299,,
408,,
432,,
379,,
323,,
482,,
289,,
273,,
252,,
382,,
382,,
305,,
581,,
605,,
498,,
404,,
433,,
567,,
628,,
660,,
