data,age,gender
110,33,1
110,,
252,,
129,,
105,,
128,,
416,,
148,,
179,,
137,,
109,,
167,,
167,,
112,,
104,,
122,,
191,,
133,,
119,,
113,,
218,,
129,,
122,,
122,,
111,,
244,,
144,,
163,,
160,,
269,,
182,,
173,,
165,,
234,,
234,,
224,,
216,,
240,,
206,,
145,,
131,,
378,,
150,,
115,,
137,,
137,,
250,,
136,,
119,,
190,,
225,,
146,,
117,,
290,,
155,,
140,,
140,,
243,,
158,,
110,,
135,,
319,,
173,,
195,,
397,,
679,,
753,,
753,,
674,,
644,,
523,,
864,,
961,,
961,,
961,,
962,,
882,,
762,,
762,,
351,,
329,,
307,,
324,,
184,,
209,,
441,,
562,,
767,,
961,,
961,,
956,,
352,,
450,,
588,,
624,,
301,,
414,,
330,,
608,,
881,,
881,,
960,,
873,,
961,,
959,,
961,,
962,,
772,,
669,,
558,,
492,,
492,,
424,,
410,,
426,,
439,,
432,,
708,,
376,,
186,,
143,,
241,,
241,,
165,,
171,,
226,,
296,,
255,,
208,,
423,,
161,,
128,,
145,,
145,,
307,,
199,,
151,,
191,,
238,,
244,,
363,,
334,,
225,,
144,,
144,,
132,,
398,,
167,,
135,,
124,,
231,,
140,,
148,,
962,,
962,,
962,,
962,,
962,,
778,,
547,,
521,,
330,,
371,,
197,,
171,,
212,,
212,,
241,,
278,,
419,,
527,,
796,,
895,,
823,,
698,,
477,,
262,,
262,,
536,,
468,,
430,,
479,,
380,,
533,,
703,,
737,,
538,,
220,,
220,,
357,,
698,,
962,,
797,,
445,,
411,,
384,,
633,,
381,,
207,,
207,,
181,,
583,,
643,,
522,,
496,,
513,,
381,,
149,,
105,,
291,,
291,,
455,,
317,,
140,,
299,,
340,,
565,,
493,,
368,,
460,,
658,,
658,,
612,,
531,,
547,,
411,,
521,,
597,,
378,,
284,,
293,,
261,,
261,,
114,,
351,,
672,,
702,,
398,,
275,,
334,,
411,,
256,,
155,,
155,,
114,,
367,,
201,,
216,,
198,,
177,,
200,,
137,,
98,,
320,,
320,,
110,,
88,,
125,,
437,,
122,,
204,,
323,,
562,,
232,,
139,,
139,,
125,,
375,,
708,,
558,,
341,,
405,,
272,,
822,,
961,,
962,,
962,,
961,,
307,,
663,,
961,,
960,,
962,,
960,,
960,,
957,,
648,,
648,,
321,,
261,,
601,,
328,,
455,,
329,,
233,,
115,,
95,,
145,,
145,,
834,,
386,,
347,,
133,,
337,,
361,,
286,,
217,,
420,,
224,,
224,,
241,,
193,,
394,,
169,,
193,,
90,,
252,,
136,,
184,,
196,,
196,,
368,,
238,,
189,,
152,,
251,,
111,,
130,,
209,,
230,,
166,,
166,,
102,,
307,,
167,,
177,,
111,,
191,,
106,,
