data,age,gender
74,45,1
74,,
71,,
70,,
71,,
79,,
71,,
71,,
72,,
71,,
75,,
72,,
72,,
68,,
70,,
72,,
73,,
72,,
69,,
72,,
72,,
71,,
67,,
67,,
68,,
71,,
81,,
92,,
81,,
78,,
84,,
84,,
86,,
83,,
83,,
76,,
75,,
74,,
75,,
73,,
77,,
86,,
85,,
80,,
84,,
84,,
75,,
69,,
68,,
68,,
67,,
77,,
87,,
81,,
78,,
77,,
77,,
76,,
76,,
74,,
77,,
74,,
75,,
77,,
73,,
78,,
76,,
76,,
74,,
73,,
74,,
77,,
77,,
78,,
79,,
76,,
73,,
76,,
76,,
75,,
73,,
75,,
78,,
77,,
73,,
73,,
75,,
77,,
76,,
76,,
77,,
76,,
78,,
77,,
72,,
74,,
74,,
72,,
74,,
76,,
76,,
75,,
76,,
74,,
75,,
76,,
74,,
72,,
73,,
74,,
73,,
73,,
76,,
73,,
75,,
75,,
73,,
73,,
73,,
71,,
76,,
72,,
72,,
72,,
74,,
75,,
74,,
77,,
73,,
73,,
74,,
76,,
75,,
75,,
75,,
71,,
75,,
75,,
74,,
75,,
72,,
70,,
72,,
73,,
73,,
78,,
74,,
74,,
74,,
73,,
72,,
71,,
74,,
74,,
76,,
76,,
75,,
71,,
70,,
76,,
71,,
71,,
70,,
73,,
72,,
74,,
74,,
75,,
72,,
71,,
71,,
74,,
73,,
72,,
71,,
73,,
74,,
74,,
73,,
74,,
72,,
71,,
71,,
71,,
73,,
73,,
76,,
74,,
74,,
72,,
72,,
74,,
74,,
72,,
71,,
72,,
70,,
72,,
75,,
75,,
72,,
74,,
70,,
72,,
72,,
71,,
71,,
73,,
73,,
74,,
74,,
73,,
72,,
73,,
72,,
72,,
71,,
70,,
72,,
75,,
75,,
75,,
74,,
71,,
71,,
73,,
70,,
71,,
71,,
72,,
72,,
73,,
73,,
72,,
72,,
71,,
72,,
72,,
72,,
72,,
71,,
73,,
73,,
73,,
74,,
71,,
72,,
73,,
72,,
73,,
73,,
72,,
75,,
76,,
76,,
73,,
71,,
