data,age,gender
534,18,0
534,,
481,,
473,,
465,,
425,,
369,,
379,,
356,,
344,,
473,,
415,,
415,,
380,,
406,,
338,,
380,,
385,,
400,,
365,,
394,,
406,,
423,,
423,,
357,,
345,,
433,,
444,,
401,,
330,,
288,,
273,,
280,,
256,,
256,,
226,,
276,,
215,,
250,,
201,,
238,,
267,,
262,,
256,,
269,,
269,,
281,,
353,,
399,,
350,,
358,,
223,,
239,,
211,,
154,,
167,,
167,,
169,,
204,,
187,,
181,,
257,,
312,,
278,,
251,,
288,,
280,,
280,,
305,,
380,,
324,,
369,,
368,,
277,,
263,,
194,,
227,,
241,,
241,,
215,,
236,,
234,,
224,,
221,,
263,,
220,,
233,,
265,,
237,,
237,,
251,,
250,,
243,,
253,,
216,,
227,,
218,,
198,,
187,,
205,,
205,,
197,,
197,,
228,,
194,,
245,,
189,,
195,,
202,,
257,,
241,,
241,,
233,,
286,,
264,,
239,,
226,,
227,,
212,,
212,,
225,,
219,,
219,,
170,,
165,,
207,,
181,,
176,,
185,,
208,,
220,,
240,,
229,,
229,,
280,,
219,,
215,,
225,,
226,,
183,,
215,,
245,,
225,,
268,,
268,,
235,,
283,,
296,,
302,,
288,,
261,,
244,,
222,,
342,,
636,,
636,,
912,,
961,,
840,,
667,,
590,,
433,,
161,,
292,,
487,,
666,,
666,,
766,,
749,,
646,,
564,,
428,,
322,,
316,,
326,,
295,,
235,,
235,,
221,,
121,,
103,,
107,,
104,,
162,,
539,,
963,,
962,,
962,,
962,,
958,,
872,,
213,,
444,,
796,,
960,,
959,,
960,,
912,,
770,,
770,,
576,,
426,,
368,,
346,,
284,,
269,,
222,,
201,,
166,,
159,,
159,,
161,,
171,,
166,,
139,,
117,,
127,,
120,,
125,,
165,,
124,,
124,,
160,,
196,,
163,,
141,,
151,,
161,,
201,,
183,,
224,,
226,,
226,,
181,,
168,,
141,,
184,,
146,,
186,,
160,,
136,,
200,,
161,,
161,,
141,,
170,,
178,,
138,,
102,,
225,,
253,,
343,,
528,,
910,,
910,,
961,,
961,,
476,,
959,,
961,,
959,,
959,,
961,,
956,,
960,,
960,,
959,,
960,,
961,,
962,,
959,,
962,,
959,,
960,,
917,,
626,,
626,,
171,,
210,,
554,,
782,,
926,,
962,,
937,,
901,,
742,,
707,,
707,,
697,,
772,,
716,,
633,,
574,,
637,,
961,,
838,,
522,,
962,,
962,,
960,,
961,,
962,,
958,,
789,,
329,,
230,,
172,,
224,,
420,,
420,,
683,,
927,,
960,,
835,,
722,,
315,,
173,,
331,,
590,,
729,,
729,,
961,,
961,,
961,,
962,,
961,,
962,,
928,,
844,,
805,,
788,,
788,,
935,,
961,,
962,,
961,,
965,,
962,,
961,,
961,,
