data,age,gender
964,20,0
964,,
961,,
963,,
964,,
964,,
964,,
965,,
963,,
965,,
556,,
494,,
494,,
810,,
962,,
964,,
963,,
963,,
963,,
962,,
963,,
962,,
964,,
964,,
959,,
913,,
866,,
842,,
727,,
663,,
622,,
600,,
595,,
552,,
552,,
563,,
575,,
543,,
508,,
506,,
506,,
553,,
515,,
524,,
546,,
546,,
489,,
516,,
465,,
471,,
487,,
469,,
453,,
472,,
434,,
426,,
426,,
420,,
398,,
380,,
392,,
420,,
362,,
406,,
410,,
421,,
451,,
451,,
426,,
376,,
425,,
449,,
411,,
456,,
448,,
413,,
410,,
393,,
393,,
433,,
463,,
421,,
426,,
425,,
352,,
309,,
243,,
262,,
190,,
190,,
169,,
222,,
199,,
217,,
268,,
266,,
259,,
296,,
296,,
296,,
296,,
288,,
308,,
304,,
282,,
266,,
287,,
256,,
268,,
314,,
269,,
269,,
277,,
265,,
242,,
222,,
160,,
325,,
676,,
965,,
965,,
964,,
964,,
949,,
754,,
552,,
436,,
313,,
294,,
255,,
225,,
203,,
173,,
173,,
168,,
138,,
211,,
225,,
249,,
215,,
259,,
260,,
244,,
281,,
281,,
284,,
263,,
264,,
230,,
261,,
249,,
287,,
268,,
265,,
263,,
263,,
297,,
316,,
269,,
264,,
258,,
243,,
277,,
265,,
260,,
275,,
275,,
259,,
253,,
250,,
260,,
249,,
247,,
265,,
269,,
285,,
280,,
280,,
282,,
282,,
269,,
256,,
282,,
253,,
280,,
284,,
244,,
290,,
290,,
258,,
266,,
276,,
256,,
255,,
281,,
257,,
279,,
248,,
291,,
291,,
291,,
264,,
259,,
260,,
256,,
258,,
247,,
271,,
260,,
217,,
217,,
263,,
260,,
232,,
209,,
219,,
480,,
748,,
879,,
924,,
773,,
773,,
592,,
496,,
331,,
222,,
149,,
177,,
231,,
244,,
288,,
226,,
226,,
263,,
282,,
268,,
332,,
256,,
260,,
279,,
275,,
284,,
324,,
324,,
237,,
280,,
269,,
207,,
238,,
250,,
246,,
249,,
246,,
221,,
221,,
285,,
226,,
168,,
227,,
389,,
606,,
665,,
561,,
478,,
348,,
348,,
192,,
168,,
228,,
232,,
266,,
297,,
294,,
271,,
273,,
283,,
283,,
284,,
249,,
263,,
242,,
284,,
258,,
245,,
247,,
259,,
294,,
294,,
258,,
262,,
270,,
296,,
288,,
278,,
286,,
305,,
261,,
264,,
264,,
318,,
248,,
262,,
265,,
268,,
276,,
282,,
254,,
281,,
256,,
256,,
283,,
220,,
196,,
170,,
152,,
149,,
162,,
164,,
171,,
191,,
191,,
210,,
227,,
182,,
204,,
235,,
214,,
221,,
246,,
229,,
274,,
274,,
256,,
230,,
275,,
275,,
233,,
232,,
216,,
200,,
165,,
176,,
176,,
272,,
400,,
430,,
408,,
383,,
326,,
199,,
161,,
148,,
169,,
169,,
184,,
259,,
280,,
227,,
242,,
263,,
243,,
249,,
248,,
234,,
234,,
244,,
239,,
