data,age,gender
203,19,0
203,,
196,,
204,,
203,,
190,,
182,,
194,,
193,,
164,,
137,,
120,,
120,,
101,,
82,,
82,,
81,,
75,,
76,,
72,,
65,,
70,,
78,,
78,,
82,,
79,,
76,,
73,,
73,,
77,,
272,,
528,,
786,,
961,,
961,,
961,,
762,,
643,,
376,,
371,,
270,,
236,,
246,,
230,,
242,,
242,,
222,,
236,,
236,,
244,,
239,,
259,,
258,,
279,,
264,,
285,,
285,,
274,,
258,,
259,,
250,,
250,,
260,,
244,,
266,,
267,,
255,,
255,,
250,,
243,,
286,,
252,,
262,,
280,,
277,,
264,,
284,,
276,,
276,,
266,,
279,,
252,,
272,,
264,,
239,,
222,,
201,,
183,,
162,,
162,,
130,,
142,,
133,,
162,,
207,,
201,,
193,,
215,,
177,,
164,,
164,,
140,,
120,,
104,,
94,,
85,,
84,,
76,,
80,,
79,,
79,,
79,,
77,,
77,,
77,,
75,,
74,,
76,,
75,,
76,,
75,,
73,,
73,,
76,,
77,,
75,,
75,,
74,,
76,,
73,,
75,,
75,,
77,,
77,,
75,,
75,,
72,,
74,,
72,,
72,,
73,,
74,,
74,,
73,,
73,,
76,,
74,,
73,,
72,,
71,,
73,,
73,,
71,,
68,,
73,,
73,,
132,,
89,,
108,,
90,,
79,,
95,,
92,,
88,,
83,,
80,,
80,,
77,,
78,,
80,,
77,,
74,,
108,,
418,,
516,,
419,,
332,,
332,,
293,,
319,,
321,,
323,,
343,,
317,,
209,,
144,,
117,,
107,,
107,,
132,,
958,,
962,,
961,,
960,,
960,,
962,,
575,,
314,,
433,,
433,,
544,,
571,,
813,,
731,,
765,,
791,,
733,,
663,,
582,,
440,,
440,,
415,,
407,,
354,,
329,,
348,,
330,,
321,,
320,,
356,,
361,,
361,,
343,,
326,,
233,,
162,,
126,,
108,,
93,,
76,,
72,,
85,,
85,,
84,,
80,,
83,,
88,,
82,,
952,,
958,,
960,,
959,,
958,,
958,,
960,,
464,,
354,,
559,,
838,,
959,,
961,,
953,,
954,,
853,,
853,,
927,,
715,,
541,,
531,,
470,,
412,,
318,,
961,,
962,,
961,,
961,,
961,,
963,,
960,,
621,,
364,,
605,,
761,,
835,,
415,,
962,,
962,,
962,,
955,,
962,,
961,,
962,,
701,,
437,,
325,,
480,,
511,,
511,,
426,,
442,,
424,,
382,,
427,,
306,,
333,,
292,,
394,,
299,,
299,,
690,,
961,,
962,,
961,,
961,,
961,,
961,,
853,,
392,,
465,,
465,,
758,,
960,,
960,,
646,,
778,,
962,,
960,,
962,,
961,,
963,,
963,,
959,,
963,,
961,,
457,,
300,,
264,,
341,,
504,,
631,,
653,,
653,,
694,,
