data,age,gender
203,19,0
464,,
299,,
242,,
474,,
651,,
788,,
734,,
519,,
342,,
342,,
385,,
303,,
238,,
264,,
240,,
314,,
959,,
962,,
961,,
961,,
961,,
961,,
656,,
960,,
959,,
961,,
959,,
963,,
961,,
959,,
955,,
955,,
958,,
960,,
961,,
891,,
645,,
430,,
289,,
262,,
236,,
232,,
232,,
197,,
261,,
379,,
339,,
234,,
205,,
293,,
195,,
224,,
298,,
298,,
342,,
351,,
369,,
317,,
280,,
311,,
295,,
292,,
262,,
315,,
315,,
417,,
414,,
469,,
475,,
485,,
497,,
478,,
420,,
285,,
250,,
250,,
253,,
241,,
289,,
224,,
210,,
212,,
235,,
226,,
231,,
225,,
225,,
206,,
252,,
329,,
486,,
528,,
474,,
382,,
961,,
960,,
961,,
961,,
961,,
961,,
960,,
538,,
960,,
958,,
959,,
960,,
959,,
960,,
960,,
960,,
960,,
959,,
867,,
825,,
760,,
721,,
714,,
663,,
650,,
650,,
647,,
564,,
654,,
643,,
590,,
430,,
261,,
285,,
292,,
286,,
286,,
275,,
232,,
197,,
230,,
347,,
398,,
471,,
332,,
654,,
963,,
963,,
961,,
962,,
962,,
962,,
655,,
318,,
735,,
960,,
962,,
960,,
960,,
961,,
961,,
960,,
959,,
960,,
908,,
800,,
880,,
660,,
608,,
608,,
695,,
557,,
527,,
557,,
587,,
621,,
619,,
614,,
645,,
644,,
644,,
632,,
573,,
540,,
520,,
504,,
452,,
273,,
777,,
962,,
961,,
961,,
961,,
961,,
964,,
906,,
342,,
279,,
562,,
738,,
954,,
952,,
952,,
962,,
933,,
878,,
853,,
782,,
707,,
603,,
403,,
204,,
208,,
208,,
223,,
200,,
179,,
219,,
274,,
329,,
325,,
229,,
196,,
228,,
228,,
268,,
220,,
192,,
215,,
304,,
435,,
445,,
523,,
574,,
542,,
542,,
561,,
594,,
520,,
532,,
537,,
531,,
569,,
532,,
551,,
547,,
547,,
577,,
569,,
566,,
605,,
568,,
529,,
495,,
537,,
535,,
487,,
487,,
506,,
502,,
468,,
503,,
444,,
487,,
478,,
502,,
485,,
473,,
473,,
453,,
449,,
496,,
437,,
466,,
489,,
442,,
452,,
459,,
438,,
438,,
432,,
439,,
256,,
761,,
961,,
958,,
966,,
962,,
960,,
960,,
960,,
961,,
569,,
252,,
431,,
744,,
961,,
962,,
961,,
962,,
961,,
961,,
961,,
917,,
802,,
770,,
673,,
643,,
516,,
275,,
630,,
962,,
962,,
964,,
962,,
963,,
962,,
963,,
963,,
964,,
963,,
335,,
715,,
715,,
713,,
664,,
545,,
736,,
895,,
962,,
960,,
961,,
960,,
962,,
962,,
833,,
481,,
510,,
433,,
463,,
453,,
482,,
477,,
555,,
