data,age,gender
272,28,1
272,,
228,,
109,,
105,,
199,,
89,,
65,,
150,,
200,,
158,,
137,,
137,,
130,,
126,,
85,,
56,,
77,,
100,,
62,,
97,,
194,,
64,,
64,,
97,,
106,,
102,,
134,,
184,,
165,,
108,,
91,,
77,,
103,,
103,,
64,,
115,,
205,,
191,,
158,,
134,,
165,,
136,,
177,,
135,,
135,,
115,,
105,,
78,,
112,,
191,,
106,,
73,,
97,,
267,,
128,,
128,,
99,,
116,,
144,,
130,,
59,,
97,,
112,,
121,,
101,,
263,,
263,,
194,,
289,,
242,,
349,,
247,,
209,,
277,,
113,,
118,,
109,,
109,,
144,,
79,,
93,,
197,,
82,,
54,,
85,,
134,,
112,,
102,,
102,,
213,,
92,,
93,,
111,,
290,,
500,,
645,,
561,,
508,,
366,,
366,,
154,,
234,,
284,,
439,,
533,,
546,,
596,,
641,,
618,,
589,,
589,,
594,,
495,,
407,,
281,,
256,,
241,,
200,,
127,,
98,,
115,,
115,,
195,,
384,,
398,,
452,,
480,,
684,,
912,,
948,,
749,,
435,,
435,,
170,,
107,,
167,,
279,,
365,,
517,,
542,,
505,,
396,,
290,,
290,,
310,,
287,,
305,,
260,,
208,,
129,,
112,,
105,,
267,,
177,,
177,,
194,,
293,,
187,,
309,,
120,,
90,,
122,,
141,,
260,,
124,,
124,,
115,,
132,,
125,,
159,,
94,,
79,,
70,,
87,,
98,,
79,,
79,,
80,,
128,,
182,,
110,,
66,,
161,,
470,,
959,,
964,,
963,,
963,,
712,,
279,,
207,,
370,,
588,,
932,,
963,,
693,,
418,,
303,,
303,,
137,,
95,,
107,,
107,,
145,,
71,,
103,,
262,,
87,,
93,,
93,,
660,,
528,,
392,,
374,,
231,,
195,,
629,,
670,,
663,,
408,,
408,,
178,,
265,,
255,,
278,,
407,,
404,,
194,,
146,,
95,,
113,,
113,,
188,,
178,,
194,,
152,,
165,,
263,,
127,,
111,,
80,,
228,,
228,,
115,,
83,,
206,,
387,,
738,,
829,,
740,,
593,,
492,,
401,,
401,,
150,,
180,,
131,,
492,,
886,,
848,,
593,,
371,,
315,,
143,,
143,,
292,,
436,,
439,,
504,,
442,,
545,,
397,,
385,,
296,,
171,,
171,,
211,,
148,,
128,,
95,,
66,,
75,,
224,,
606,,
964,,
964,,
964,,
966,,
760,,
361,,
104,,
244,,
453,,
690,,
736,,
759,,
720,,
720,,
659,,
549,,
517,,
452,,
311,,
214,,
164,,
117,,
109,,
116,,
116,,
97,,
127,,
213,,
294,,
212,,
72,,
225,,
633,,
963,,
963,,
963,,
964,,
964,,
940,,
322,,
