data,age,gender
272,28,1
964,,
964,,
940,,
322,,
460,,
854,,
964,,
963,,
904,,
817,,
817,,
534,,
274,,
71,,
260,,
102,,
68,,
157,,
265,,
271,,
270,,
270,,
249,,
195,,
171,,
222,,
284,,
89,,
49,,
84,,
155,,
123,,
123,,
99,,
246,,
211,,
358,,
446,,
648,,
933,,
965,,
964,,
702,,
702,,
384,,
379,,
192,,
302,,
352,,
591,,
512,,
376,,
254,,
141,,
141,,
129,,
107,,
356,,
389,,
251,,
235,,
297,,
193,,
219,,
220,,
220,,
331,,
169,,
175,,
169,,
225,,
153,,
164,,
135,,
348,,
388,,
388,,
536,,
567,,
452,,
338,,
361,,
808,,
963,,
965,,
297,,
658,,
658,,
962,,
962,,
963,,
962,,
962,,
960,,
964,,
962,,
668,,
357,,
357,,
260,,
208,,
297,,
346,,
322,,
355,,
327,,
435,,
346,,
320,,
320,,
311,,
311,,
173,,
389,,
503,,
632,,
254,,
115,,
186,,
70,,
70,,
59,,
109,,
354,,
747,,
964,,
956,,
467,,
205,,
542,,
745,,
745,,
962,,
963,,
961,,
960,,
897,,
922,,
793,,
608,,
455,,
431,,
431,,
440,,
350,,
123,,
129,,
247,,
232,,
113,,
132,,
242,,
246,,
246,,
249,,
299,,
287,,
426,,
484,,
495,,
476,,
429,,
400,,
318,,
318,,
176,,
85,,
247,,
76,,
293,,
362,,
244,,
170,,
393,,
532,,
532,,
667,,
879,,
720,,
651,,
502,,
450,,
264,,
183,,
109,,
225,,
225,,
148,,
78,,
99,,
317,,
196,,
196,,
134,,
254,,
147,,
162,,
162,,
179,,
134,,
98,,
98,,
203,,
76,,
207,,
621,,
921,,
436,,
436,,
352,,
904,,
962,,
962,,
964,,
962,,
727,,
403,,
228,,
145,,
145,,
107,,
64,,
81,,
109,,
194,,
101,,
86,,
54,,
126,,
157,,
157,,
160,,
142,,
163,,
222,,
114,,
230,,
220,,
319,,
208,,
194,,
194,,
194,,
442,,
802,,
963,,
963,,
949,,
584,,
227,,
227,,
264,,
264,,
332,,
456,,
514,,
512,,
471,,
378,,
284,,
200,,
328,,
117,,
117,,
103,,
82,,
97,,
60,,
68,,
74,,
77,,
92,,
301,,
693,,
693,,
856,,
914,,
592,,
297,,
294,,
469,,
529,,
417,,
192,,
209,,
209,,
275,,
216,,
152,,
216,,
272,,
334,,
353,,
397,,
314,,
239,,
239,,
164,,
123,,
129,,
144,,
401,,
671,,
514,,
243,,
741,,
962,,
962,,
961,,
961,,
964,,
679,,
345,,
125,,
133,,
290,,
313,,
344,,
344,,
310,,
338,,
286,,
281,,
227,,
220,,
201,,
283,,
364,,
