data,age,gender
96,23,0
96,,
110,,
119,,
109,,
176,,
155,,
71,,
245,,
102,,
80,,
75,,
75,,
98,,
91,,
107,,
149,,
120,,
85,,
217,,
164,,
63,,
83,,
83,,
97,,
89,,
93,,
120,,
107,,
87,,
216,,
149,,
73,,
86,,
86,,
112,,
110,,
66,,
236,,
128,,
76,,
87,,
107,,
102,,
82,,
82,,
195,,
124,,
64,,
72,,
115,,
102,,
81,,
225,,
184,,
93,,
93,,
102,,
94,,
81,,
75,,
215,,
100,,
109,,
201,,
108,,
92,,
92,,
232,,
136,,
101,,
303,,
269,,
252,,
363,,
206,,
105,,
287,,
287,,
144,,
163,,
170,,
103,,
96,,
148,,
183,,
190,,
167,,
148,,
148,,
157,,
203,,
297,,
139,,
74,,
178,,
117,,
69,,
93,,
99,,
99,,
100,,
127,,
133,,
258,,
500,,
629,,
556,,
626,,
526,,
525,,
525,,
218,,
238,,
202,,
173,,
265,,
202,,
309,,
613,,
486,,
370,,
370,,
237,,
277,,
117,,
109,,
409,,
407,,
260,,
535,,
392,,
712,,
712,,
340,,
203,,
343,,
458,,
345,,
298,,
307,,
116,,
70,,
174,,
174,,
171,,
116,,
266,,
152,,
165,,
152,,
100,,
111,,
141,,
155,,
155,,
125,,
77,,
169,,
95,,
71,,
89,,
147,,
117,,
137,,
286,,
286,,
123,,
122,,
283,,
129,,
147,,
270,,
160,,
165,,
295,,
200,,
200,,
133,,
207,,
388,,
729,,
961,,
959,,
955,,
943,,
687,,
474,,
474,,
404,,
489,,
601,,
550,,
605,,
440,,
579,,
390,,
124,,
125,,
125,,
102,,
132,,
98,,
279,,
153,,
113,,
237,,
103,,
89,,
235,,
235,,
141,,
208,,
249,,
128,,
153,,
262,,
140,,
179,,
317,,
209,,
209,,
161,,
279,,
132,,
139,,
182,,
199,,
197,,
160,,
283,,
140,,
140,,
195,,
283,,
211,,
128,,
103,,
140,,
92,,
178,,
138,,
170,,
170,,
190,,
229,,
234,,
211,,
163,,
101,,
281,,
169,,
253,,
225,,
225,,
265,,
187,,
145,,
272,,
149,,
176,,
321,,
121,,
186,,
190,,
190,,
226,,
184,,
169,,
272,,
126,,
195,,
256,,
205,,
200,,
199,,
199,,
261,,
178,,
152,,
277,,
134,,
194,,
298,,
192,,
195,,
202,,
202,,
281,,
262,,
252,,
210,,
183,,
182,,
255,,
213,,
215,,
244,,
244,,
138,,
163,,
218,,
159,,
163,,
226,,
146,,
149,,
263,,
164,,
164,,
177,,
301,,
150,,
205,,
299,,
141,,
182,,
282,,
150,,
169,,
169,,
307,,
154,,
145,,
264,,
149,,
120,,
145,,
148,,
120,,
110,,
110,,
197,,
112,,
106,,
218,,
109,,
128,,
