data,age,gender
96,23,0
240,,
100,,
144,,
202,,
202,,
136,,
122,,
111,,
182,,
102,,
93,,
249,,
101,,
119,,
275,,
275,,
110,,
119,,
226,,
121,,
109,,
244,,
129,,
115,,
264,,
112,,
112,,
123,,
259,,
100,,
112,,
234,,
112,,
96,,
206,,
121,,
150,,
150,,
200,,
151,,
215,,
165,,
127,,
234,,
105,,
88,,
118,,
124,,
124,,
81,,
90,,
120,,
156,,
200,,
160,,
143,,
121,,
267,,
163,,
163,,
86,,
238,,
176,,
134,,
246,,
170,,
97,,
204,,
128,,
82,,
82,,
188,,
132,,
97,,
165,,
101,,
109,,
151,,
98,,
93,,
147,,
147,,
81,,
82,,
160,,
91,,
115,,
117,,
93,,
200,,
87,,
82,,
82,,
247,,
111,,
77,,
256,,
97,,
88,,
74,,
199,,
89,,
89,,
89,,
132,,
174,,
109,,
120,,
250,,
115,,
81,,
138,,
134,,
187,,
187,,
78,,
141,,
110,,
83,,
135,,
132,,
209,,
172,,
220,,
277,,
277,,
190,,
250,,
139,,
69,,
224,,
109,,
80,,
269,,
118,,
77,,
77,,
146,,
100,,
74,,
105,,
116,,
157,,
419,,
608,,
769,,
848,,
848,,
948,,
735,,
408,,
492,,
492,,
305,,
233,,
203,,
150,,
91,,
91,,
181,,
201,,
132,,
89,,
233,,
115,,
200,,
266,,
115,,
188,,
188,,
279,,
156,,
172,,
303,,
158,,
161,,
195,,
164,,
120,,
125,,
125,,
200,,
131,,
113,,
155,,
122,,
100,,
211,,
112,,
90,,
243,,
243,,
109,,
85,,
134,,
113,,
114,,
83,,
181,,
97,,
105,,
249,,
249,,
99,,
78,,
115,,
102,,
90,,
109,,
129,,
98,,
84,,
181,,
181,,
382,,
147,,
225,,
106,,
139,,
274,,
134,,
161,,
308,,
148,,
148,,
181,,
153,,
209,,
144,,
132,,
249,,
133,,
162,,
300,,
154,,
154,,
166,,
294,,
107,,
100,,
246,,
142,,
77,,
252,,
174,,
96,,
96,,
290,,
137,,
79,,
107,,
111,,
76,,
94,,
157,,
93,,
116,,
116,,
199,,
129,,
121,,
202,,
110,,
88,,
238,,
145,,
207,,
406,,
406,,
651,,
797,,
706,,
717,,
552,,
413,,
268,,
221,,
123,,
178,,
178,,
105,,
93,,
220,,
113,,
151,,
268,,
111,,
154,,
313,,
202,,
202,,
202,,
161,,
235,,
149,,
164,,
224,,
156,,
144,,
141,,
266,,
266,,
125,,
159,,
115,,
306,,
165,,
223,,
122,,
237,,
119,,
130,,
130,,
266,,
122,,
132,,
340,,
136,,
130,,
107,,
171,,
81,,
169,,
169,,
393,,
722,,
921,,
959,,
937,,
708,,
686,,
439,,
306,,
284,,
284,,
434,,
736,,
720,,
725,,
777,,
551,,
247,,
203,,
215,,
