data,age,gender
81,21,0
81,,
79,,
64,,
83,,
86,,
71,,
76,,
74,,
87,,
73,,
81,,
81,,
72,,
69,,
93,,
79,,
79,,
64,,
58,,
77,,
77,,
215,,
215,,
466,,
355,,
215,,
133,,
93,,
114,,
117,,
127,,
115,,
165,,
165,,
148,,
138,,
156,,
139,,
122,,
173,,
166,,
206,,
150,,
144,,
144,,
183,,
272,,
175,,
240,,
198,,
246,,
197,,
225,,
158,,
175,,
175,,
154,,
207,,
182,,
178,,
167,,
134,,
239,,
399,,
482,,
436,,
436,,
355,,
267,,
340,,
383,,
310,,
259,,
222,,
260,,
230,,
208,,
208,,
166,,
157,,
171,,
168,,
139,,
172,,
169,,
171,,
172,,
180,,
180,,
129,,
127,,
136,,
136,,
164,,
155,,
148,,
147,,
149,,
140,,
140,,
182,,
120,,
110,,
121,,
195,,
148,,
133,,
144,,
142,,
148,,
148,,
120,,
125,,
105,,
160,,
128,,
121,,
133,,
104,,
113,,
118,,
118,,
115,,
157,,
115,,
151,,
141,,
124,,
139,,
93,,
114,,
152,,
152,,
135,,
164,,
139,,
124,,
112,,
113,,
149,,
148,,
131,,
119,,
119,,
109,,
138,,
99,,
125,,
120,,
177,,
102,,
97,,
161,,
109,,
109,,
120,,
100,,
143,,
111,,
109,,
137,,
128,,
152,,
185,,
136,,
136,,
141,,
154,,
176,,
129,,
108,,
129,,
115,,
133,,
129,,
95,,
95,,
120,,
146,,
104,,
119,,
124,,
110,,
113,,
116,,
124,,
120,,
120,,
120,,
124,,
139,,
158,,
103,,
119,,
129,,
116,,
111,,
83,,
83,,
100,,
96,,
109,,
105,,
92,,
106,,
138,,
132,,
108,,
135,,
135,,
278,,
130,,
118,,
118,,
136,,
142,,
176,,
191,,
163,,
154,,
154,,
116,,
101,,
194,,
110,,
130,,
194,,
174,,
175,,
183,,
139,,
139,,
156,,
124,,
124,,
141,,
130,,
127,,
113,,
132,,
211,,
207,,
207,,
159,,
97,,
178,,
152,,
99,,
123,,
120,,
104,,
113,,
157,,
157,,
224,,
278,,
277,,
393,,
444,,
276,,
377,,
318,,
510,,
530,,
530,,
325,,
495,,
330,,
355,,
505,,
961,,
961,,
791,,
408,,
409,,
409,,
517,,
483,,
299,,
289,,
294,,
177,,
192,,
109,,
145,,
131,,
131,,
112,,
106,,
112,,
86,,
109,,
119,,
104,,
110,,
92,,
117,,
117,,
114,,
147,,
149,,
172,,
168,,
175,,
137,,
188,,
519,,
460,,
460,,
610,,
900,,
581,,
611,,
409,,
352,,
383,,
304,,
183,,
204,,
204,,
155,,
119,,
114,,
122,,
131,,
98,,
113,,
572,,
961,,
913,,
913,,
776,,
792,,
660,,
572,,
488,,
496,,
377,,
442,,
317,,
337,,
337,,
322,,
328,,
222,,
251,,
266,,
232,,
505,,
464,,
668,,
522,,
522,,
464,,
379,,
469,,
483,,
355,,
352,,
335,,
318,,
304,,
293,,
293,,
279,,
377,,
370,,
256,,
358,,
322,,
214,,
246,,
259,,
152,,
152,,
152,,
109,,
149,,
126,,
127,,
131,,
181,,
142,,
101,,
117,,
117,,
126,,
99,,
98,,
108,,
175,,
276,,
349,,
489,,
465,,
511,,
511,,
278,,
