data,age,gender
410,20,0
410,,
436,,
497,,
431,,
448,,
394,,
457,,
415,,
385,,
395,,
441,,
441,,
390,,
393,,
446,,
414,,
401,,
400,,
429,,
361,,
373,,
424,,
424,,
776,,
961,,
960,,
960,,
961,,
959,,
959,,
961,,
960,,
963,,
963,,
955,,
961,,
936,,
873,,
801,,
708,,
628,,
609,,
599,,
542,,
542,,
495,,
502,,
536,,
501,,
482,,
515,,
613,,
892,,
960,,
961,,
961,,
957,,
961,,
963,,
961,,
961,,
891,,
797,,
644,,
566,,
521,,
521,,
465,,
426,,
437,,
422,,
398,,
414,,
444,,
406,,
412,,
388,,
388,,
412,,
359,,
407,,
546,,
428,,
561,,
678,,
960,,
960,,
960,,
960,,
557,,
688,,
958,,
959,,
959,,
960,,
959,,
880,,
841,,
958,,
958,,
959,,
959,,
958,,
959,,
959,,
959,,
959,,
960,,
959,,
960,,
960,,
960,,
961,,
908,,
470,,
759,,
548,,
459,,
555,,
961,,
961,,
961,,
962,,
961,,
961,,
801,,
603,,
626,,
618,,
678,,
542,,
569,,
569,,
518,,
598,,
605,,
572,,
540,,
657,,
887,,
956,,
960,,
957,,
957,,
957,,
959,,
839,,
895,,
959,,
960,,
955,,
960,,
928,,
824,,
824,,
744,,
740,,
957,,
959,,
957,,
957,,
958,,
960,,
958,,
958,,
958,,
928,,
958,,
960,,
960,,
959,,
961,,
957,,
961,,
944,,
839,,
839,,
846,,
860,,
957,,
957,,
957,,
954,,
960,,
959,,
958,,
961,,
961,,
937,,
959,,
960,,
959,,
959,,
960,,
959,,
957,,
960,,
960,,
960,,
959,,
959,,
960,,
961,,
959,,
960,,
958,,
960,,
958,,
959,,
959,,
953,,
958,,
960,,
959,,
958,,
960,,
959,,
958,,
960,,
959,,
959,,
958,,
960,,
960,,
959,,
956,,
960,,
960,,
958,,
960,,
959,,
959,,
959,,
960,,
759,,
693,,
653,,
694,,
733,,
679,,
705,,
839,,
839,,
958,,
961,,
961,,
959,,
960,,
959,,
959,,
960,,
960,,
960,,
960,,
959,,
959,,
960,,
959,,
960,,
959,,
960,,
958,,
960,,
959,,
959,,
959,,
956,,
959,,
959,,
961,,
957,,
959,,
962,,
964,,
962,,
962,,
961,,
960,,
959,,
961,,
961,,
961,,
960,,
959,,
961,,
961,,
961,,
961,,
961,,
959,,
960,,
961,,
961,,
961,,
955,,
962,,
960,,
960,,
961,,
958,,
961,,
961,,
961,,
961,,
966,,
957,,
961,,
961,,
961,,
962,,
961,,
959,,
938,,
960,,
914,,
877,,
959,,
527,,
461,,
461,,
466,,
481,,
543,,
547,,
829,,
813,,
959,,
874,,
796,,
871,,
871,,
765,,
791,,
835,,
759,,
897,,
961,,
791,,
801,,
961,,
965,,
965,,
929,,
855,,
745,,
772,,
720,,
733,,
701,,
686,,
788,,
773,,
773,,
828,,
834,,
944,,
955,,
962,,
962,,
961,,
961,,
962,,
963,,
963,,
962,,
920,,
803,,
634,,
571,,
764,,
601,,
669,,
587,,
519,,
519,,
518,,
612,,
547,,
612,,
515,,
594,,
512,,
568,,
523,,
501,,
501,,
519,,
490,,
599,,
583,,
528,,
503,,
517,,
548,,
562,,
555,,
555,,
588,,
590,,
573,,
588,,
677,,
709,,
786,,
961,,
962,,
962,,
962,,
964,,
961,,
869,,
569,,
512,,
458,,
434,,
420,,
393,,
476,,
476,,
462,,
697,,
453,,
417,,
441,,
403,,
411,,
438,,
459,,
425,,
425,,
430,,
370,,
574,,
385,,
416,,
421,,
537,,
471,,
390,,
372,,
372,,
512,,
464,,
514,,
469,,
442,,
490,,
437,,
439,,
444,,
419,,
419,,
445,,
471,,
412,,
478,,
463,,
516,,
560,,
489,,
534,,
582,,
582,,
566,,
559,,
523,,
528,,
540,,
497,,
448,,
459,,
537,,
436,,
436,,
461,,
464,,
530,,
482,,
528,,
553,,
695,,
818,,
959,,
952,,
952,,
869,,
764,,
786,,
671,,
618,,
529,,
593,,
642,,
668,,
630,,
630,,
659,,
560,,
593,,
552,,
478,,
493,,
525,,
532,,
439,,
508,,
508,,
400,,
438,,
447,,
530,,
459,,
460,,
516,,
468,,
464,,
445,,
445,,
524,,
449,,
453,,
436,,
390,,
621,,
445,,
712,,
715,,
403,,
403,,
431,,
569,,
488,,
480,,
422,,
581,,
432,,
370,,
390,,
410,,
410,,
413,,
417,,
464,,
505,,
434,,
441,,
437,,
570,,
432,,
445,,
445,,
450,,
593,,
496,,
455,,
478,,
501,,
516,,
875,,
959,,
960,,
960,,
961,,
959,,
962,,
912,,
815,,
672,,
563,,
532,,
406,,
398,,
398,,
382,,
437,,
476,,
439,,
432,,
423,,
464,,
390,,
404,,
387,,
387,,
515,,
695,,
604,,
530,,
373,,
296,,
271,,
359,,
292,,
300,,
300,,
336,,
336,,
308,,
313,,
291,,
474,,
578,,
370,,
242,,
166,,
166,,
123,,
99,,
83,,
70,,
64,,
55,,
51,,
49,,
47,,
41,,
41,,
42,,
38,,
38,,
37,,
37,,
38,,
36,,
36,,
37,,
35,,
35,,
37,,
36,,
36,,
39,,
38,,
37,,
36,,
37,,
36,,
37,,
37,,
37,,
39,,
36,,
93,,
267,,
335,,
444,,
366,,
320,,
