data,age,gender
575,21,0
575,,
723,,
958,,
757,,
577,,
921,,
897,,
717,,
881,,
827,,
674,,
674,,
792,,
811,,
544,,
437,,
612,,
480,,
540,,
495,,
612,,
454,,
454,,
712,,
721,,
790,,
774,,
803,,
771,,
630,,
733,,
490,,
555,,
555,,
636,,
494,,
642,,
519,,
540,,
566,,
595,,
652,,
700,,
626,,
626,,
371,,
495,,
472,,
594,,
694,,
689,,
664,,
730,,
528,,
537,,
537,,
613,,
522,,
606,,
676,,
512,,
458,,
538,,
397,,
515,,
517,,
517,,
500,,
512,,
528,,
664,,
577,,
458,,
556,,
444,,
332,,
367,,
367,,
507,,
282,,
337,,
327,,
443,,
372,,
398,,
366,,
338,,
346,,
346,,
298,,
381,,
359,,
330,,
320,,
467,,
367,,
327,,
568,,
391,,
391,,
373,,
448,,
467,,
371,,
506,,
448,,
301,,
291,,
340,,
306,,
306,,
331,,
466,,
347,,
375,,
361,,
338,,
443,,
318,,
294,,
331,,
331,,
283,,
337,,
297,,
240,,
378,,
328,,
344,,
413,,
305,,
458,,
458,,
258,,
319,,
371,,
327,,
428,,
294,,
413,,
379,,
325,,
325,,
325,,
279,,
425,,
586,,
394,,
484,,
388,,
451,,
439,,
392,,
352,,
352,,
398,,
399,,
330,,
357,,
397,,
329,,
350,,
384,,
337,,
408,,
408,,
374,,
409,,
344,,
347,,
300,,
263,,
388,,
293,,
316,,
428,,
428,,
405,,
282,,
370,,
425,,
316,,
366,,
355,,
434,,
343,,
328,,
328,,
311,,
293,,
414,,
369,,
340,,
307,,
367,,
369,,
394,,
262,,
262,,
293,,
291,,
309,,
386,,
390,,
290,,
344,,
371,,
373,,
444,,
444,,
429,,
513,,
651,,
660,,
627,,
598,,
577,,
435,,
323,,
453,,
453,,
371,,
273,,
335,,
336,,
308,,
418,,
344,,
353,,
380,,
346,,
346,,
345,,
348,,
429,,
403,,
411,,
384,,
374,,
496,,
343,,
318,,
318,,
371,,
307,,
273,,
341,,
301,,
287,,
227,,
396,,
301,,
310,,
310,,
290,,
408,,
435,,
523,,
414,,
361,,
398,,
339,,
336,,
280,,
280,,
225,,
249,,
285,,
322,,
268,,
268,,
236,,
316,,
284,,
340,,
340,,
300,,
421,,
405,,
325,,
336,,
330,,
358,,
316,,
322,,
309,,
309,,
277,,
286,,
335,,
425,,
489,,
442,,
300,,
389,,
333,,
315,,
315,,
373,,
289,,
320,,
341,,
267,,
286,,
244,,
385,,
258,,
301,,
301,,
329,,
387,,
318,,
316,,
341,,
382,,
316,,
337,,
355,,
336,,
336,,
321,,
331,,
370,,
270,,
254,,
293,,
295,,
435,,
456,,
461,,
461,,
410,,
420,,
473,,
517,,
379,,
363,,
357,,
432,,
452,,
442,,
442,,
364,,
403,,
242,,
382,,
334,,
359,,
663,,
783,,
742,,
441,,
441,,
378,,
432,,
460,,
411,,
330,,
472,,
398,,
464,,
515,,
644,,
644,,
385,,
302,,
370,,
372,,
388,,
250,,
373,,
283,,
434,,
481,,
481,,
532,,
482,,
454,,
334,,
261,,
305,,
493,,
434,,
403,,
329,,
329,,
516,,
414,,
457,,
464,,
347,,
408,,
392,,
340,,
532,,
642,,
642,,
750,,
697,,
548,,
518,,
460,,
466,,
338,,
597,,
403,,
301,,
301,,
321,,
508,,
965,,
963,,
907,,
403,,
351,,
266,,
405,,
496,,
496,,
491,,
497,,
297,,
334,,
434,,
398,,
441,,
365,,
317,,
311,,
311,,
339,,
328,,
321,,
339,,
390,,
303,,
321,,
356,,
469,,
707,,
707,,
553,,
333,,
335,,
319,,
291,,
349,,
298,,
377,,
517,,
469,,
469,,
392,,
375,,
270,,
292,,
273,,
290,,
276,,
276,,
364,,
359,,
359,,
354,,
377,,
300,,
400,,
322,,
327,,
346,,
470,,
679,,
836,,
836,,
816,,
937,,
962,,
963,,
886,,
471,,
348,,
324,,
405,,
443,,
443,,
348,,
392,,
288,,
332,,
337,,
283,,
370,,
374,,
314,,
316,,
316,,
417,,
389,,
277,,
305,,
297,,
495,,
283,,
301,,
384,,
350,,
350,,
303,,
264,,
349,,
354,,
365,,
317,,
427,,
357,,
418,,
505,,
505,,
422,,
401,,
392,,
670,,
963,,
963,,
966,,
665,,
463,,
315,,
315,,
411,,
368,,
375,,
313,,
488,,
333,,
339,,
370,,
763,,
572,,
572,,
656,,
433,,
343,,
437,,
475,,
427,,
328,,
367,,
345,,
389,,
389,,
340,,
307,,
400,,
413,,
552,,
343,,
403,,
409,,
302,,
337,,
337,,
463,,
427,,
524,,
573,,
435,,
399,,
502,,
818,,
936,,
848,,
848,,
713,,
605,,
480,,
405,,
260,,
277,,
357,,
316,,
263,,
348,,
348,,
367,,
236,,
346,,
298,,
361,,
311,,
273,,
318,,
266,,
236,,
236,,
349,,
202,,
230,,
362,,
345,,
287,,
207,,
290,,
289,,
328,,
328,,
298,,
343,,
303,,
252,,
478,,
340,,
233,,
251,,
250,,
279,,
279,,
266,,
361,,
246,,
260,,
266,,
321,,
302,,
331,,
358,,
350,,
350,,
405,,
389,,
396,,
369,,
280,,
286,,
315,,
298,,
358,,
450,,
450,,
538,,
647,,
611,,
605,,
369,,
292,,
224,,
319,,
406,,
