data,age,gender
241,33,1
241,,
165,,
175,,
212,,
159,,
193,,
165,,
152,,
168,,
160,,
284,,
284,,
140,,
135,,
169,,
206,,
316,,
695,,
857,,
872,,
836,,
800,,
800,,
909,,
609,,
819,,
684,,
660,,
654,,
723,,
775,,
681,,
612,,
612,,
666,,
961,,
961,,
962,,
961,,
961,,
961,,
961,,
732,,
426,,
426,,
460,,
717,,
960,,
962,,
961,,
960,,
960,,
961,,
961,,
931,,
931,,
959,,
921,,
962,,
962,,
964,,
962,,
961,,
962,,
956,,
960,,
960,,
516,,
895,,
961,,
771,,
881,,
960,,
959,,
789,,
469,,
381,,
381,,
370,,
390,,
517,,
480,,
701,,
645,,
755,,
720,,
786,,
902,,
902,,
961,,
960,,
962,,
722,,
560,,
340,,
379,,
535,,
576,,
951,,
951,,
927,,
961,,
961,,
878,,
961,,
456,,
418,,
564,,
960,,
960,,
960,,
959,,
959,,
962,,
960,,
857,,
546,,
388,,
204,,
439,,
959,,
959,,
961,,
961,,
961,,
961,,
960,,
961,,
959,,
960,,
961,,
960,,
960,,
959,,
961,,
784,,
543,,
816,,
959,,
962,,
962,,
960,,
960,,
960,,
962,,
961,,
841,,
880,,
426,,
687,,
962,,
949,,
921,,
792,,
792,,
711,,
511,,
328,,
340,,
361,,
303,,
352,,
413,,
694,,
352,,
352,,
407,,
643,,
955,,
804,,
474,,
955,,
962,,
961,,
961,,
960,,
960,,
960,,
961,,
959,,
679,,
378,,
157,,
331,,
546,,
548,,
536,,
536,,
821,,
962,,
961,,
961,,
963,,
955,,
297,,
956,,
960,,
961,,
961,,
962,,
961,,
806,,
370,,
241,,
319,,
236,,
353,,
389,,
534,,
534,,
505,,
513,,
559,,
635,,
419,,
715,,
599,,
609,,
639,,
742,,
742,,
769,,
960,,
962,,
961,,
961,,
962,,
627,,
960,,
958,,
960,,
960,,
958,,
961,,
952,,
555,,
432,,
178,,
415,,
475,,
606,,
622,,
622,,
483,,
615,,
661,,
565,,
640,,
608,,
489,,
525,,
459,,
552,,
552,,
558,,
552,,
474,,
492,,
378,,
664,,
963,,
961,,
964,,
961,,
961,,
961,,
961,,
524,,
239,,
533,,
667,,
896,,
960,,
960,,
809,,
809,,
637,,
497,,
550,,
544,,
747,,
316,,
647,,
422,,
495,,
524,,
524,,
449,,
583,,
414,,
565,,
427,,
521,,
375,,
348,,
237,,
517,,
517,,
492,,
352,,
326,,
419,,
628,,
566,,
337,,
468,,
355,,
394,,
394,,
351,,
418,,
450,,
400,,
473,,
650,,
732,,
558,,
525,,
399,,
399,,
398,,
328,,
301,,
436,,
572,,
425,,
463,,
527,,
951,,
912,,
912,,
778,,
736,,
715,,
796,,
889,,
776,,
749,,
685,,
489,,
575,,
575,,
515,,
452,,
401,,
420,,
498,,
460,,
464,,
496,,
495,,
478,,
478,,
377,,
499,,
360,,
340,,
440,,
428,,
445,,
539,,
359,,
391,,
391,,
491,,
456,,
461,,
387,,
459,,
533,,
422,,
386,,
661,,
480,,
480,,
507,,
481,,
397,,
480,,
429,,
291,,
473,,
327,,
389,,
378,,
378,,
563,,
339,,
374,,
364,,
421,,
214,,
266,,
377,,
237,,
406,,
406,,
388,,
253,,
225,,
233,,
376,,
301,,
289,,
222,,
409,,
242,,
242,,
193,,
422,,
371,,
483,,
221,,
294,,
491,,
397,,
489,,
536,,
536,,
869,,
960,,
962,,
962,,
850,,
765,,
525,,
534,,
342,,
286,,
286,,
325,,
315,,
300,,
247,,
264,,
437,,
306,,
323,,
314,,
433,,
433,,
243,,
182,,
214,,
452,,
200,,
240,,
251,,
364,,
173,,
208,,
208,,
223,,
365,,
277,,
273,,
307,,
354,,
265,,
248,,
436,,
489,,
489,,
509,,
439,,
379,,
222,,
205,,
200,,
312,,
189,,
181,,
193,,
193,,
266,,
208,,
258,,
195,,
293,,
316,,
345,,
350,,
302,,
305,,
305,,
228,,
185,,
242,,
238,,
254,,
334,,
335,,
374,,
296,,
374,,
374,,
282,,
239,,
232,,
266,,
229,,
267,,
381,,
386,,
424,,
216,,
216,,
376,,
208,,
236,,
220,,
412,,
265,,
245,,
279,,
303,,
284,,
284,,
325,,
318,,
250,,
194,,
177,,
212,,
190,,
178,,
389,,
252,,
252,,
187,,
249,,
258,,
245,,
186,,
179,,
216,,
172,,
160,,
261,,
261,,
262,,
217,,
202,,
345,,
252,,
189,,
208,,
337,,
255,,
190,,
190,,
174,,
277,,
269,,
215,,
161,,
301,,
220,,
205,,
265,,
367,,
367,,
263,,
301,,
457,,
696,,
385,,
358,,
565,,
389,,
308,,
324,,
324,,
341,,
298,,
360,,
569,,
621,,
570,,
521,,
571,,
617,,
833,,
833,,
819,,
820,,
890,,
808,,
717,,
861,,
853,,
699,,
580,,
653,,
653,,
744,,
661,,
825,,
691,,
775,,
597,,
732,,
698,,
548,,
612,,
612,,
788,,
687,,
605,,
386,,
734,,
599,,
658,,
734,,
713,,
531,,
531,,
536,,
632,,
570,,
669,,
451,,
576,,
387,,
322,,
340,,
580,,
580,,
416,,
328,,
366,,
458,,
448,,
419,,
464,,
598,,
560,,
611,,
611,,
656,,
580,,
826,,
961,,
961,,
665,,
452,,
619,,
516,,
419,,
419,,
549,,
454,,
297,,
413,,
384,,
329,,
467,,
348,,
531,,
490,,
490,,
609,,
722,,
376,,
421,,
398,,
423,,
376,,
274,,
447,,
