data,age,gender
966,20,0
966,,
967,,
966,,
965,,
965,,
965,,
799,,
481,,
264,,
202,,
228,,
228,,
186,,
229,,
210,,
187,,
185,,
195,,
199,,
179,,
201,,
220,,
220,,
162,,
192,,
196,,
181,,
133,,
214,,
194,,
136,,
237,,
223,,
223,,
326,,
534,,
965,,
966,,
965,,
964,,
965,,
966,,
964,,
792,,
792,,
419,,
259,,
177,,
219,,
239,,
279,,
315,,
250,,
251,,
211,,
211,,
249,,
207,,
209,,
224,,
245,,
169,,
224,,
222,,
177,,
204,,
204,,
205,,
193,,
220,,
202,,
178,,
212,,
197,,
193,,
195,,
195,,
195,,
173,,
210,,
186,,
200,,
172,,
162,,
180,,
213,,
172,,
159,,
159,,
212,,
254,,
306,,
304,,
295,,
212,,
167,,
200,,
161,,
205,,
205,,
221,,
200,,
213,,
227,,
174,,
240,,
195,,
194,,
246,,
208,,
208,,
257,,
225,,
258,,
214,,
255,,
269,,
248,,
252,,
223,,
277,,
277,,
272,,
216,,
232,,
270,,
269,,
288,,
278,,
284,,
267,,
251,,
251,,
266,,
350,,
298,,
253,,
322,,
312,,
302,,
286,,
320,,
246,,
246,,
258,,
262,,
289,,
326,,
296,,
326,,
316,,
282,,
294,,
301,,
301,,
322,,
322,,
270,,
278,,
271,,
249,,
237,,
224,,
209,,
220,,
220,,
521,,
773,,
965,,
965,,
964,,
855,,
614,,
405,,
282,,
207,,
207,,
188,,
162,,
166,,
191,,
220,,
215,,
224,,
205,,
215,,
230,,
230,,
172,,
220,,
217,,
214,,
214,,
221,,
240,,
212,,
176,,
171,,
171,,
218,,
231,,
256,,
237,,
234,,
274,,
241,,
203,,
244,,
223,,
223,,
218,,
229,,
298,,
291,,
293,,
236,,
269,,
296,,
256,,
250,,
250,,
229,,
278,,
222,,
274,,
289,,
264,,
216,,
227,,
235,,
279,,
279,,
234,,
264,,
261,,
271,,
254,,
256,,
210,,
212,,
179,,
239,,
239,,
361,,
518,,
613,,
640,,
520,,
430,,
329,,
266,,
212,,
224,,
224,,
228,,
275,,
237,,
244,,
270,,
244,,
202,,
217,,
197,,
211,,
211,,
232,,
227,,
216,,
240,,
230,,
258,,
205,,
211,,
240,,
238,,
238,,
255,,
236,,
243,,
224,,
288,,
252,,
263,,
245,,
241,,
247,,
247,,
245,,
228,,
229,,
247,,
258,,
240,,
241,,
267,,
240,,
262,,
262,,
279,,
259,,
265,,
248,,
224,,
277,,
281,,
260,,
289,,
242,,
242,,
227,,
236,,
265,,
191,,
203,,
225,,
195,,
205,,
259,,
243,,
243,,
263,,
227,,
239,,
272,,
225,,
250,,
259,,
218,,
272,,
229,,
229,,
241,,
266,,
246,,
199,,
223,,
258,,
219,,
230,,
203,,
230,,
230,,
170,,
179,,
220,,
199,,
236,,
230,,
219,,
211,,
210,,
191,,
191,,
197,,
172,,
223,,
215,,
241,,
247,,
256,,
231,,
255,,
232,,
232,,
208,,
231,,
232,,
241,,
253,,
202,,
269,,
249,,
228,,
239,,
239,,
241,,
220,,
849,,
965,,
965,,
965,,
965,,
965,,
653,,
965,,
965,,
963,,
964,,
963,,
965,,
551,,
375,,
542,,
477,,
342,,
195,,
195,,
233,,
262,,
182,,
202,,
252,,
246,,
183,,
173,,
212,,
160,,
160,,
196,,
203,,
156,,
217,,
216,,
197,,
207,,
176,,
186,,
191,,
191,,
168,,
189,,
162,,
205,,
199,,
196,,
236,,
296,,
239,,
229,,
229,,
263,,
232,,
175,,
155,,
182,,
177,,
200,,
224,,
204,,
246,,
246,,
208,,
246,,
262,,
234,,
247,,
271,,
232,,
248,,
227,,
230,,
230,,
222,,
234,,
228,,
231,,
232,,
204,,
194,,
212,,
228,,
204,,
204,,
253,,
232,,
239,,
213,,
248,,
251,,
250,,
213,,
212,,
229,,
229,,
189,,
257,,
217,,
224,,
239,,
244,,
231,,
231,,
228,,
184,,
184,,
212,,
193,,
220,,
294,,
768,,
965,,
965,,
965,,
965,,
509,,
509,,
327,,
611,,
729,,
687,,
695,,
661,,
661,,
673,,
633,,
589,,
589,,
381,,
273,,
297,,
333,,
365,,
418,,
467,,
616,,
557,,
384,,
384,,
263,,
193,,
152,,
133,,
111,,
103,,
94,,
91,,
89,,
85,,
85,,
84,,
83,,
78,,
81,,
80,,
78,,
78,,
77,,
80,,
80,,
80,,
78,,
76,,
76,,
78,,
79,,
76,,
77,,
75,,
77,,
75,,
75,,
70,,
128,,
254,,
334,,
409,,
409,,
382,,
342,,
337,,
231,,
231,,
212,,
218,,
177,,
155,,
193,,
253,,
489,,
960,,
965,,
937,,
937,,
723,,
495,,
274,,
239,,
283,,
351,,
262,,
362,,
962,,
965,,
965,,
963,,
964,,
965,,
661,,
352,,
488,,
872,,
963,,
963,,
964,,
964,,
964,,
610,,
603,,
578,,
452,,
365,,
361,,
353,,
364,,
317,,
317,,
348,,
307,,
292,,
308,,
209,,
273,,
208,,
225,,
406,,
751,,
751,,
965,,
964,,
866,,
647,,
402,,
393,,
611,,
964,,
966,,
965,,
965,,
821,,
509,,
675,,
964,,
966,,
964,,
967,,
965,,
964,,
494,,
494,,
301,,
375,,
713,,
806,,
737,,
739,,
698,,
715,,
622,,
315,,
315,,
965,,
965,,
965,,
965,,
965,,
965,,
966,,
964,,
964,,
965,,
965,,
965,,
966,,
966,,
964,,
963,,
967,,
964,,
752,,
379,,
201,,
201,,
289,,
245,,
212,,
195,,
149,,
190,,
216,,
213,,
331,,
