data,age,gender
180,23,0
180,,
186,,
289,,
192,,
183,,
314,,
208,,
205,,
316,,
196,,
219,,
219,,
310,,
203,,
255,,
332,,
209,,
277,,
306,,
276,,
266,,
218,,
218,,
284,,
144,,
129,,
239,,
87,,
95,,
256,,
175,,
96,,
160,,
160,,
653,,
960,,
961,,
962,,
960,,
964,,
917,,
553,,
327,,
318,,
318,,
369,,
554,,
717,,
695,,
599,,
458,,
378,,
266,,
99,,
259,,
259,,
156,,
228,,
335,,
288,,
324,,
366,,
343,,
370,,
432,,
451,,
451,,
225,,
340,,
759,,
961,,
929,,
764,,
651,,
478,,
357,,
286,,
286,,
131,,
250,,
109,,
87,,
274,,
262,,
135,,
222,,
109,,
96,,
96,,
291,,
657,,
845,,
803,,
710,,
530,,
283,,
148,,
99,,
307,,
307,,
277,,
394,,
463,,
415,,
467,,
440,,
417,,
421,,
471,,
464,,
464,,
419,,
397,,
417,,
324,,
325,,
388,,
272,,
317,,
297,,
313,,
313,,
283,,
306,,
370,,
175,,
256,,
844,,
961,,
959,,
959,,
890,,
890,,
555,,
388,,
246,,
326,,
387,,
285,,
200,,
140,,
92,,
76,,
76,,
119,,
228,,
270,,
265,,
284,,
198,,
136,,
84,,
89,,
261,,
261,,
205,,
176,,
207,,
160,,
113,,
228,,
93,,
99,,
264,,
106,,
106,,
129,,
293,,
228,,
260,,
368,,
298,,
378,,
483,,
404,,
442,,
442,,
438,,
398,,
413,,
286,,
249,,
260,,
236,,
177,,
135,,
245,,
245,,
98,,
119,,
128,,
230,,
178,,
186,,
244,,
692,,
957,,
961,,
961,,
961,,
962,,
956,,
698,,
498,,
501,,
398,,
373,,
199,,
83,,
83,,
174,,
299,,
277,,
315,,
457,,
377,,
427,,
455,,
355,,
286,,
286,,
130,,
115,,
200,,
205,,
167,,
347,,
628,,
864,,
887,,
689,,
689,,
601,,
313,,
104,,
228,,
270,,
272,,
241,,
183,,
164,,
378,,
378,,
589,,
663,,
531,,
341,,
201,,
137,,
309,,
299,,
361,,
422,,
422,,
413,,
395,,
399,,
344,,
249,,
287,,
297,,
226,,
235,,
261,,
261,,
190,,
226,,
262,,
227,,
286,,
389,,
380,,
393,,
258,,
276,,
276,,
719,,
949,,
960,,
960,,
827,,
687,,
420,,
261,,
176,,
274,,
274,,
803,,
947,,
911,,
737,,
318,,
124,,
245,,
365,,
359,,
414,,
414,,
494,,
405,,
392,,
462,,
412,,
373,,
469,,
375,,
409,,
449,,
449,,
452,,
542,,
519,,
579,,
506,,
400,,
369,,
295,,
323,,
308,,
308,,
138,,
440,,
961,,
961,,
959,,
961,,
959,,
961,,
623,,
212,,
212,,
102,,
139,,
268,,
183,,
135,,
109,,
122,,
260,,
263,,
327,,
327,,
417,,
303,,
300,,
348,,
299,,
302,,
549,,
631,,
620,,
319,,
319,,
592,,
959,,
961,,
959,,
634,,
413,,
288,,
211,,
167,,
138,,
138,,
120,,
105,,
157,,
417,,
444,,
516,,
393,,
420,,
402,,
332,,
332,,
318,,
255,,
365,,
219,,
232,,
325,,
231,,
279,,
289,,
331,,
331,,
298,,
273,,
382,,
283,,
361,,
357,,
182,,
123,,
488,,
945,,
945,,
960,,
960,,
838,,
598,,
288,,
224,,
102,,
242,,
337,,
343,,
343,,
263,,
166,,
228,,
104,,
198,,
288,,
228,,
264,,
310,,
243,,
243,,
192,,
483,,
644,,
599,,
367,,
307,,
102,,
115,,
206,,
402,,
402,,
381,,
391,,
523,,
470,,
441,,
499,,
432,,
453,,
516,,
426,,
426,,
374,,
376,,
146,,
109,,
196,,
87,,
101,,
234,,
163,,
153,,
153,,
354,,
960,,
960,,
961,,
956,,
906,,
413,,
216,,
178,,
347,,
347,,
492,,
558,,
578,,
530,,
369,,
154,,
98,,
104,,
129,,
107,,
107,,
142,,
306,,
257,,
356,,
401,,
458,,
397,,
408,,
463,,
353,,
353,,
402,,
432,,
368,,
283,,
258,,
395,,
334,,
225,,
215,,
367,,
367,,
413,,
397,,
364,,
261,,
114,,
173,,
558,,
961,,
962,,
961,,
961,,
939,,
671,,
313,,
159,,
149,,
365,,
336,,
441,,
539,,
398,,
398,,
296,,
227,,
156,,
94,,
278,,
131,,
145,,
292,,
281,,
331,,
331,,
422,,
405,,
413,,
417,,
428,,
409,,
398,,
435,,
392,,
387,,
387,,
429,,
414,,
455,,
582,,
442,,
411,,
463,,
378,,
367,,
368,,
368,,
256,,
290,,
360,,
288,,
304,,
404,,
287,,
313,,
963,,
961,,
961,,
961,,
962,,
961,,
960,,
917,,
457,,
156,,
287,,
448,,
459,,
459,,
481,,
416,,
350,,
338,,
356,,
340,,
338,,
345,,
391,,
352,,
352,,
321,,
442,,
367,,
370,,
424,,
333,,
388,,
417,,
309,,
334,,
334,,
383,,
257,,
277,,
362,,
344,,
417,,
379,,
205,,
897,,
960,,
960,,
962,,
957,,
961,,
960,,
600,,
382,,
199,,
194,,
163,,
135,,
135,,
118,,
102,,
96,,
88,,
85,,
84,,
77,,
238,,
276,,
361,,
361,,
297,,
242,,
375,,
253,,
171,,
132,,
107,,
93,,
87,,
82,,
82,,
257,,
99,,
158,,
130,,
104,,
91,,
85,,
79,,
75,,
78,,
78,,
74,,
75,,
72,,
74,,
71,,
69,,
70,,
72,,
222,,
263,,
263,,
289,,
299,,
353,,
301,,
205,,
363,,
255,,
240,,
307,,
