data,age,gender
120,21,0
120,,
110,,
139,,
185,,
142,,
139,,
133,,
144,,
203,,
138,,
150,,
150,,
169,,
144,,
166,,
143,,
184,,
148,,
180,,
171,,
152,,
115,,
115,,
106,,
164,,
142,,
128,,
148,,
197,,
140,,
124,,
221,,
200,,
200,,
170,,
133,,
209,,
235,,
129,,
118,,
258,,
334,,
279,,
131,,
131,,
133,,
171,,
277,,
320,,
225,,
259,,
180,,
180,,
218,,
233,,
233,,
199,,
163,,
238,,
168,,
119,,
141,,
119,,
122,,
194,,
223,,
223,,
185,,
196,,
225,,
210,,
181,,
170,,
243,,
202,,
168,,
184,,
184,,
257,,
169,,
178,,
225,,
441,,
162,,
112,,
232,,
184,,
176,,
176,,
319,,
278,,
217,,
275,,
282,,
250,,
225,,
217,,
198,,
192,,
192,,
236,,
167,,
144,,
124,,
135,,
116,,
107,,
154,,
329,,
402,,
402,,
352,,
186,,
378,,
315,,
282,,
310,,
332,,
349,,
185,,
646,,
646,,
943,,
939,,
945,,
947,,
693,,
715,,
898,,
338,,
500,,
355,,
355,,
562,,
472,,
878,,
544,,
730,,
948,,
480,,
941,,
539,,
403,,
403,,
457,,
498,,
285,,
951,,
674,,
952,,
773,,
624,,
244,,
385,,
385,,
556,,
345,,
590,,
471,,
644,,
950,,
949,,
950,,
871,,
627,,
627,,
667,,
742,,
951,,
433,,
565,,
894,,
733,,
959,,
960,,
624,,
624,,
780,,
651,,
862,,
593,,
825,,
935,,
378,,
411,,
757,,
535,,
535,,
361,,
267,,
191,,
362,,
464,,
294,,
499,,
283,,
961,,
461,,
461,,
878,,
960,,
962,,
961,,
960,,
797,,
961,,
961,,
960,,
960,,
960,,
961,,
960,,
961,,
961,,
840,,
627,,
552,,
443,,
338,,
468,,
468,,
839,,
671,,
747,,
761,,
961,,
960,,
962,,
962,,
964,,
964,,
964,,
960,,
963,,
961,,
963,,
962,,
898,,
962,,
961,,
963,,
961,,
961,,
961,,
961,,
961,,
961,,
961,,
961,,
962,,
960,,
962,,
576,,
576,,
359,,
175,,
383,,
609,,
962,,
961,,
380,,
226,,
329,,
307,,
307,,
615,,
519,,
332,,
828,,
598,,
355,,
916,,
951,,
961,,
955,,
955,,
947,,
961,,
957,,
565,,
321,,
777,,
380,,
672,,
724,,
580,,
580,,
763,,
962,,
961,,
961,,
846,,
964,,
958,,
961,,
960,,
960,,
960,,
961,,
962,,
959,,
959,,
962,,
961,,
667,,
701,,
692,,
680,,
680,,
522,,
659,,
530,,
813,,
823,,
791,,
728,,
548,,
684,,
683,,
683,,
600,,
381,,
427,,
449,,
486,,
422,,
452,,
464,,
535,,
390,,
390,,
