data,age,gender
120,21,0
289,,
376,,
366,,
301,,
574,,
576,,
474,,
477,,
448,,
369,,
369,,
250,,
215,,
178,,
343,,
427,,
497,,
522,,
390,,
301,,
252,,
252,,
302,,
343,,
385,,
355,,
424,,
408,,
354,,
390,,
425,,
525,,
525,,
621,,
469,,
413,,
653,,
540,,
514,,
501,,
517,,
413,,
472,,
472,,
457,,
432,,
400,,
502,,
508,,
536,,
508,,
579,,
601,,
610,,
610,,
651,,
853,,
874,,
838,,
810,,
704,,
743,,
704,,
700,,
685,,
685,,
611,,
594,,
578,,
530,,
506,,
465,,
481,,
489,,
446,,
388,,
388,,
415,,
385,,
355,,
327,,
309,,
306,,
352,,
331,,
327,,
306,,
306,,
261,,
297,,
286,,
286,,
241,,
219,,
209,,
210,,
193,,
153,,
153,,
152,,
177,,
186,,
205,,
202,,
200,,
961,,
651,,
630,,
401,,
401,,
377,,
261,,
237,,
129,,
157,,
240,,
196,,
167,,
178,,
196,,
196,,
324,,
307,,
291,,
256,,
174,,
150,,
114,,
130,,
128,,
116,,
116,,
305,,
251,,
228,,
352,,
302,,
399,,
417,,
548,,
433,,
581,,
581,,
428,,
297,,
951,,
963,,
622,,
609,,
333,,
518,,
402,,
321,,
321,,
618,,
927,,
320,,
265,,
741,,
960,,
963,,
961,,
872,,
389,,
389,,
292,,
388,,
484,,
251,,
244,,
240,,
271,,
162,,
180,,
573,,
573,,
625,,
440,,
296,,
265,,
175,,
145,,
210,,
234,,
373,,
307,,
307,,
286,,
347,,
272,,
233,,
169,,
156,,
190,,
204,,
203,,
168,,
168,,
139,,
125,,
103,,
120,,
144,,
97,,
101,,
219,,
229,,
145,,
145,,
354,,
180,,
423,,
324,,
301,,
385,,
257,,
354,,
436,,
487,,
487,,
519,,
544,,
963,,
961,,
963,,
949,,
963,,
960,,
964,,
962,,
962,,
851,,
964,,
963,,
963,,
961,,
962,,
962,,
763,,
965,,
962,,
962,,
771,,
668,,
963,,
961,,
959,,
961,,
698,,
931,,
515,,
210,,
210,,
161,,
540,,
958,,
653,,
336,,
272,,
136,,
155,,
201,,
268,,
268,,
302,,
313,,
340,,
216,,
240,,
305,,
426,,
230,,
271,,
494,,
494,,
226,,
409,,
242,,
754,,
233,,
338,,
220,,
333,,
605,,
374,,
374,,
300,,
250,,
408,,
239,,
457,,
215,,
286,,
190,,
148,,
122,,
122,,
151,,
267,,
362,,
527,,
242,,
390,,
553,,
494,,
438,,
305,,
305,,
956,,
461,,
509,,
341,,
260,,
144,,
421,,
201,,
277,,
210,,
210,,
228,,
170,,
192,,
186,,
193,,
389,,
316,,
295,,
173,,
400,,
400,,
204,,
118,,
230,,
282,,
590,,
375,,
684,,
950,,
468,,
