data,age,gender
885,24,0
885,,
571,,
946,,
956,,
956,,
956,,
955,,
797,,
478,,
321,,
239,,
239,,
217,,
364,,
354,,
320,,
384,,
333,,
211,,
278,,
176,,
204,,
204,,
218,,
240,,
270,,
271,,
760,,
783,,
957,,
957,,
956,,
956,,
956,,
957,,
681,,
244,,
353,,
955,,
954,,
954,,
871,,
768,,
562,,
562,,
364,,
416,,
394,,
258,,
444,,
955,,
958,,
955,,
957,,
957,,
957,,
957,,
956,,
953,,
957,,
958,,
763,,
956,,
706,,
560,,
769,,
769,,
958,,
955,,
956,,
953,,
956,,
956,,
956,,
955,,
951,,
862,,
862,,
538,,
346,,
251,,
574,,
423,,
666,,
788,,
662,,
411,,
277,,
277,,
443,,
449,,
345,,
322,,
528,,
890,,
955,,
956,,
955,,
957,,
957,,
956,,
956,,
955,,
957,,
955,,
955,,
956,,
912,,
378,,
346,,
346,,
549,,
434,,
380,,
379,,
394,,
298,,
334,,
332,,
502,,
587,,
587,,
634,,
761,,
790,,
851,,
715,,
718,,
708,,
808,,
882,,
870,,
870,,
509,,
817,,
956,,
956,,
955,,
955,,
544,,
315,,
573,,
763,,
763,,
699,,
666,,
412,,
475,,
841,,
957,,
954,,
956,,
860,,
954,,
954,,
953,,
954,,
954,,
953,,
957,,
954,,
930,,
917,,
882,,
955,,
955,,
677,,
522,,
421,,
535,,
538,,
500,,
535,,
584,,
513,,
834,,
834,,
957,,
950,,
956,,
951,,
943,,
810,,
949,,
952,,
943,,
943,,
865,,
726,,
750,,
603,,
348,,
228,,
290,,
608,,
760,,
351,,
351,,
296,,
851,,
955,,
956,,
954,,
955,,
953,,
951,,
952,,
1023,,
1023,,
959,,
998,,
1009,,
1015,,
954,,
941,,
814,,
979,,
960,,
958,,
958,,
792,,
868,,
936,,
633,,
528,,
957,,
957,,
949,,
997,,
1008,,
1008,,
959,,
956,,
931,,
288,,
289,,
739,,
958,,
958,,
532,,
301,,
301,,
517,,
777,,
912,,
953,,
939,,
956,,
955,,
751,,
599,,
571,,
571,,
426,,
518,,
772,,
869,,
640,,
727,,
758,,
473,,
482,,
384,,
384,,
581,,
957,,
957,,
959,,
955,,
395,,
903,,
955,,
956,,
916,,
916,,
865,,
940,,
747,,
515,,
320,,
377,,
348,,
326,,
452,,
448,,
448,,
548,,
550,,
514,,
283,,
225,,
257,,
264,,
549,,
959,,
957,,
957,,
956,,
958,,
957,,
950,,
343,,
244,,
594,,
713,,
555,,
501,,
501,,
528,,
477,,
550,,
483,,
475,,
516,,
573,,
543,,
595,,
554,,
554,,
674,,
646,,
590,,
588,,
464,,
461,,
493,,
427,,
587,,
578,,
578,,
495,,
465,,
539,,
762,,
766,,
596,,
