data,age,gender
885,24,0
484,,
345,,
302,,
302,,
328,,
285,,
287,,
455,,
669,,
758,,
617,,
622,,
608,,
499,,
499,,
364,,
288,,
269,,
321,,
375,,
321,,
284,,
271,,
282,,
256,,
256,,
267,,
356,,
319,,
308,,
249,,
340,,
386,,
368,,
435,,
403,,
403,,
278,,
255,,
287,,
229,,
254,,
252,,
311,,
330,,
306,,
274,,
274,,
244,,
210,,
328,,
256,,
221,,
217,,
321,,
376,,
271,,
334,,
334,,
330,,
362,,
415,,
510,,
511,,
518,,
509,,
553,,
534,,
404,,
404,,
400,,
320,,
359,,
311,,
374,,
351,,
391,,
369,,
217,,
199,,
199,,
209,,
226,,
228,,
248,,
275,,
289,,
252,,
235,,
220,,
218,,
218,,
213,,
225,,
221,,
204,,
281,,
222,,
199,,
227,,
268,,
392,,
392,,
593,,
703,,
509,,
536,,
651,,
365,,
202,,
235,,
449,,
693,,
693,,
932,,
949,,
951,,
830,,
729,,
547,,
437,,
290,,
296,,
311,,
311,,
271,,
314,,
313,,
408,,
419,,
459,,
388,,
199,,
222,,
231,,
231,,
257,,
248,,
315,,
258,,
206,,
255,,
193,,
202,,
302,,
263,,
263,,
303,,
340,,
362,,
468,,
435,,
330,,
249,,
258,,
356,,
310,,
310,,
382,,
405,,
313,,
308,,
223,,
221,,
218,,
210,,
210,,
238,,
238,,
213,,
260,,
289,,
206,,
252,,
253,,
251,,
226,,
263,,
290,,
290,,
216,,
242,,
267,,
355,,
353,,
348,,
367,,
321,,
385,,
377,,
377,,
433,,
352,,
328,,
356,,
263,,
252,,
276,,
197,,
247,,
258,,
258,,
206,,
262,,
309,,
276,,
305,,
332,,
275,,
283,,
315,,
243,,
243,,
284,,
325,,
244,,
285,,
371,,
209,,
301,,
354,,
309,,
245,,
245,,
244,,
220,,
210,,
314,,
292,,
231,,
224,,
245,,
197,,
275,,
275,,
216,,
200,,
275,,
201,,
250,,
311,,
456,,
617,,
748,,
946,,
946,,
955,,
957,,
957,,
903,,
704,,
428,,
208,,
235,,
205,,
214,,
214,,
206,,
214,,
187,,
208,,
189,,
187,,
263,,
281,,
289,,
255,,
255,,
248,,
196,,
237,,
266,,
230,,
231,,
246,,
205,,
196,,
289,,
289,,
194,,
264,,
267,,
183,,
191,,
181,,
202,,
201,,
268,,
351,,
351,,
421,,
431,,
366,,
290,,
260,,
279,,
317,,
474,,
511,,
629,,
629,,
592,,
397,,
385,,
351,,
293,,
338,,
295,,
314,,
285,,
230,,
230,,
366,,
329,,
279,,
327,,
298,,
270,,
241,,
286,,
224,,
196,,
196,,
211,,
252,,
277,,
246,,
349,,
415,,
481,,
566,,
662,,
942,,
942,,
939,,
818,,
858,,
633,,
267,,
298,,
362,,
859,,
911,,
