data,age,gender
142,23,0
793,,
354,,
399,,
409,,
409,,
402,,
449,,
263,,
357,,
575,,
576,,
290,,
956,,
516,,
379,,
379,,
296,,
253,,
209,,
236,,
170,,
186,,
246,,
166,,
209,,
271,,
271,,
269,,
171,,
204,,
235,,
268,,
188,,
177,,
203,,
183,,
188,,
188,,
195,,
175,,
164,,
175,,
208,,
155,,
193,,
173,,
142,,
230,,
230,,
184,,
133,,
237,,
153,,
158,,
214,,
121,,
179,,
183,,
144,,
144,,
178,,
200,,
169,,
246,,
184,,
181,,
277,,
194,,
178,,
226,,
226,,
186,,
180,,
214,,
224,,
265,,
247,,
172,,
180,,
240,,
161,,
161,,
152,,
218,,
138,,
165,,
202,,
165,,
223,,
227,,
184,,
183,,
183,,
197,,
234,,
217,,
205,,
160,,
157,,
231,,
155,,
129,,
254,,
254,,
166,,
157,,
174,,
128,,
177,,
154,,
142,,
173,,
153,,
126,,
126,,
197,,
144,,
155,,
195,,
191,,
174,,
210,,
144,,
134,,
174,,
174,,
131,,
158,,
216,,
163,,
134,,
287,,
156,,
155,,
234,,
204,,
204,,
126,,
209,,
139,,
155,,
213,,
140,,
135,,
199,,
170,,
205,,
205,,
217,,
160,,
199,,
147,,
168,,
200,,
169,,
200,,
140,,
132,,
132,,
201,,
152,,
160,,
166,,
147,,
131,,
183,,
189,,
193,,
252,,
252,,
149,,
136,,
157,,
157,,
156,,
166,,
168,,
187,,
145,,
194,,
194,,
188,,
160,,
251,,
202,,
166,,
170,,
128,,
251,,
149,,
136,,
136,,
229,,
143,,
165,,
245,,
183,,
233,,
201,,
118,,
132,,
164,,
164,,
124,,
139,,
162,,
106,,
210,,
172,,
138,,
252,,
549,,
930,,
930,,
885,,
689,,
957,,
814,,
750,,
621,,
645,,
735,,
470,,
519,,
519,,
433,,
401,,
415,,
354,,
307,,
342,,
383,,
374,,
131,,
280,,
280,,
373,,
190,,
280,,
109,,
104,,
122,,
132,,
125,,
117,,
148,,
148,,
131,,
155,,
150,,
168,,
160,,
208,,
140,,
211,,
296,,
181,,
181,,
202,,
144,,
201,,
209,,
197,,
179,,
332,,
168,,
140,,
228,,
228,,
146,,
162,,
188,,
167,,
156,,
204,,
147,,
176,,
178,,
165,,
165,,
167,,
187,,
157,,
148,,
180,,
113,,
151,,
174,,
173,,
160,,
160,,
177,,
147,,
202,,
134,,
251,,
259,,
153,,
146,,
200,,
147,,
147,,
156,,
148,,
141,,
171,,
157,,
167,,
187,,
153,,
155,,
147,,
147,,
141,,
177,,
150,,
192,,
107,,
143,,
209,,
169,,
129,,
232,,
232,,
168,,
122,,
143,,
151,,
155,,
153,,
179,,
150,,
149,,
184,,
184,,
144,,
129,,
187,,
142,,
179,,
251,,
156,,
132,,
229,,
137,,
137,,
121,,
129,,
141,,
135,,
179,,
175,,
143,,
135,,
214,,
155,,
155,,
169,,
184,,
123,,
173,,
193,,
174,,
184,,
164,,
132,,
249,,
249,,
181,,
137,,
200,,
138,,
173,,
195,,
169,,
205,,
169,,
144,,
144,,
241,,
211,,
174,,
217,,
188,,
168,,
193,,
185,,
168,,
176,,
176,,
245,,
146,,
191,,
168,,
217,,
156,,
161,,
299,,
199,,
174,,
174,,
201,,
214,,
194,,
158,,
214,,
189,,
161,,
197,,
211,,
187,,
187,,
146,,
186,,
181,,
185,,
188,,
220,,
195,,
200,,
220,,
193,,
193,,
215,,
160,,
226,,
234,,
207,,
163,,
239,,
266,,
221,,
227,,
227,,
137,,
221,,
216,,
252,,
324,,
251,,
202,,
251,,
303,,
251,,
251,,
208,,
184,,
162,,
181,,
162,,
257,,
194,,
203,,
208,,
154,,
154,,
237,,
199,,
212,,
250,,
157,,
164,,
216,,
228,,
211,,
211,,
211,,
173,,
164,,
222,,
240,,
230,,
182,,
197,,
184,,
213,,
236,,
236,,
273,,
190,,
214,,
240,,
282,,
300,,
418,,
365,,
464,,
448,,
448,,
290,,
211,,
219,,
214,,
201,,
172,,
199,,
165,,
192,,
235,,
235,,
203,,
213,,
250,,
191,,
176,,
251,,
208,,
191,,
249,,
208,,
208,,
211,,
230,,
179,,
205,,
230,,
163,,
218,,
185,,
174,,
269,,
269,,
234,,
177,,
258,,
196,,
189,,
223,,
202,,
235,,
189,,
140,,
140,,
193,,
233,,
209,,
