data,age,gender
73,20,0
964,,
963,,
963,,
962,,
963,,
962,,
962,,
878,,
936,,
963,,
963,,
963,,
962,,
962,,
961,,
961,,
964,,
964,,
957,,
964,,
748,,
771,,
962,,
858,,
956,,
806,,
886,,
962,,
962,,
964,,
962,,
652,,
723,,
800,,
735,,
962,,
961,,
962,,
962,,
962,,
963,,
961,,
860,,
707,,
590,,
542,,
688,,
558,,
528,,
601,,
601,,
759,,
591,,
621,,
628,,
781,,
680,,
680,,
675,,
759,,
624,,
624,,
649,,
644,,
726,,
670,,
625,,
627,,
713,,
683,,
790,,
887,,
887,,
851,,
708,,
700,,
645,,
624,,
641,,
694,,
665,,
619,,
657,,
657,,
569,,
572,,
544,,
561,,
563,,
559,,
550,,
556,,
682,,
504,,
504,,
491,,
472,,
611,,
482,,
488,,
541,,
593,,
599,,
585,,
594,,
594,,
659,,
642,,
590,,
581,,
591,,
618,,
578,,
650,,
802,,
963,,
963,,
962,,
895,,
588,,
514,,
540,,
544,,
584,,
618,,
646,,
677,,
677,,
636,,
644,,
662,,
551,,
563,,
552,,
646,,
544,,
629,,
596,,
596,,
610,,
595,,
569,,
535,,
553,,
482,,
480,,
512,,
556,,
492,,
492,,
493,,
500,,
595,,
529,,
515,,
482,,
583,,
474,,
535,,
558,,
558,,
656,,
568,,
544,,
540,,
547,,
568,,
525,,
492,,
536,,
559,,
559,,
518,,
484,,
690,,
512,,
494,,
506,,
621,,
531,,
495,,
506,,
506,,
526,,
530,,
524,,
663,,
711,,
675,,
624,,
642,,
620,,
560,,
560,,
508,,
545,,
517,,
501,,
473,,
491,,
512,,
541,,
390,,
377,,
377,,
405,,
403,,
360,,
353,,
368,,
421,,
371,,
372,,
368,,
466,,
466,,
368,,
348,,
353,,
408,,
360,,
373,,
365,,
417,,
370,,
375,,
375,,
551,,
386,,
365,,
369,,
429,,
367,,
391,,
558,,
696,,
653,,
653,,
620,,
609,,
624,,
484,,
392,,
373,,
428,,
502,,
602,,
603,,
603,,
606,,
577,,
540,,
512,,
509,,
494,,
491,,
521,,
666,,
573,,
573,,
584,,
588,,
636,,
588,,
590,,
615,,
602,,
603,,
598,,
611,,
611,,
644,,
623,,
604,,
605,,
679,,
619,,
626,,
626,,
650,,
626,,
626,,
634,,
654,,
680,,
651,,
642,,
614,,
662,,
617,,
614,,
588,,
588,,
625,,
603,,
602,,
590,,
629,,
583,,
611,,
606,,
667,,
640,,
640,,
606,,
598,,
667,,
643,,
673,,
713,,
627,,
533,,
406,,
309,,
309,,
233,,
180,,
148,,
122,,
111,,
102,,
95,,
93,,
89,,
91,,
91,,
86,,
84,,
83,,
83,,
82,,
84,,
80,,
81,,
80,,
81,,
81,,
79,,
78,,
79,,
78,,
80,,
79,,
77,,
79,,
79,,
83,,
83,,
81,,
79,,
96,,
175,,
241,,
150,,
118,,
105,,
94,,
