data,age,gender
180,21,0
180,,
272,,
209,,
337,,
319,,
226,,
203,,
212,,
208,,
126,,
171,,
171,,
223,,
215,,
269,,
241,,
254,,
247,,
303,,
432,,
559,,
737,,
737,,
963,,
963,,
963,,
960,,
458,,
316,,
833,,
961,,
964,,
963,,
963,,
958,,
827,,
640,,
434,,
264,,
483,,
963,,
960,,
962,,
962,,
962,,
962,,
389,,
229,,
329,,
520,,
599,,
677,,
750,,
764,,
923,,
923,,
687,,
604,,
318,,
962,,
962,,
858,,
487,,
961,,
962,,
962,,
962,,
963,,
919,,
864,,
856,,
964,,
963,,
949,,
934,,
928,,
747,,
747,,
720,,
761,,
496,,
229,,
169,,
370,,
907,,
964,,
962,,
963,,
963,,
959,,
616,,
354,,
193,,
435,,
299,,
393,,
382,,
314,,
390,,
390,,
453,,
636,,
431,,
246,,
195,,
240,,
234,,
226,,
348,,
871,,
871,,
963,,
961,,
964,,
961,,
965,,
422,,
209,,
278,,
454,,
596,,
596,,
486,,
405,,
417,,
360,,
351,,
270,,
424,,
256,,
233,,
199,,
199,,
199,,
206,,
225,,
257,,
198,,
168,,
314,,
190,,
428,,
620,,
620,,
700,,
737,,
700,,
635,,
420,,
318,,
269,,
235,,
168,,
166,,
166,,
179,,
197,,
230,,
211,,
205,,
240,,
236,,
229,,
330,,
235,,
235,,
265,,
240,,
256,,
227,,
217,,
290,,
189,,
157,,
180,,
212,,
212,,
172,,
156,,
193,,
246,,
247,,
434,,
744,,
809,,
321,,
961,,
961,,
961,,
961,,
961,,
961,,
807,,
596,,
408,,
445,,
213,,
188,,
188,,
196,,
331,,
367,,
455,,
452,,
521,,
520,,
461,,
374,,
390,,
390,,
399,,
357,,
370,,
270,,
254,,
236,,
247,,
207,,
203,,
244,,
244,,
207,,
171,,
171,,
212,,
179,,
152,,
175,,
193,,
184,,
177,,
177,,
149,,
171,,
163,,
166,,
254,,
270,,
291,,
323,,
394,,
365,,
365,,
333,,
265,,
260,,
205,,
223,,
257,,
210,,
227,,
186,,
239,,
239,,
169,,
192,,
189,,
215,,
221,,
273,,
357,,
191,,
451,,
957,,
957,,
961,,
961,,
960,,
919,,
695,,
423,,
278,,
203,,
223,,
217,,
217,,
250,,
221,,
243,,
238,,
209,,
275,,
476,,
838,,
949,,
827,,
827,,
408,,
216,,
290,,
368,,
356,,
340,,
198,,
204,,
239,,
254,,
254,,
192,,
176,,
227,,
163,,
164,,
250,,
185,,
192,,
162,,
177,,
177,,
157,,
176,,
232,,
181,,
181,,
266,,
178,,
165,,
197,,
229,,
229,,
162,,
165,,
162,,
215,,
151,,
167,,
176,,
345,,
688,,
959,,
959,,
961,,
961,,
961,,
962,,
700,,
741,,
964,,
963,,
963,,
833,,
833,,
521,,
442,,
412,,
393,,
323,,
349,,
368,,
581,,
857,,
856,,
856,,
325,,
348,,
418,,
373,,
270,,
463,,
291,,
250,,
206,,
222,,
222,,
308,,
410,,
366,,
288,,
212,,
157,,
190,,
165,,
159,,
290,,
290,,
214,,
216,,
233,,
308,,
239,,
234,,
240,,
311,,
244,,
222,,
222,,
272,,
270,,
225,,
207,,
277,,
943,,
965,,
357,,
244,,
220,,
220,,
173,,
189,,
224,,
212,,
197,,
276,,
176,,
192,,
188,,
196,,
196,,
196,,
385,,
423,,
273,,
537,,
961,,
960,,
962,,
886,,
886,,
886,,
633,,
589,,
479,,
246,,
180,,
193,,
212,,
239,,
223,,
223,,
223,,
220,,
259,,
180,,
250,,
483,,
441,,
369,,
203,,
539,,
575,,
575,,
496,,
380,,
467,,
495,,
508,,
515,,
427,,
421,,
334,,
411,,
411,,
310,,
247,,
445,,
900,,
959,,
966,,
859,,
472,,
961,,
962,,
962,,
958,,
961,,
866,,
576,,
444,,
352,,
227,,
164,,
150,,
231,,
231,,
178,,
192,,
199,,
222,,
434,,
963,,
961,,
962,,
963,,
963,,
963,,
355,,
837,,
909,,
690,,
320,,
182,,
186,,
182,,
223,,
274,,
274,,
324,,
276,,
289,,
265,,
380,,
276,,
348,,
370,,
302,,
191,,
191,,
217,,
361,,
561,,
522,,
449,,
297,,
300,,
396,,
452,,
311,,
311,,
325,,
253,,
174,,
185,,
192,,
225,,
182,,
188,,
217,,
