data,age,gender
241,50,1
241,,
344,,
265,,
295,,
326,,
431,,
449,,
294,,
317,,
382,,
311,,
311,,
316,,
313,,
377,,
308,,
343,,
511,,
353,,
309,,
305,,
713,,
713,,
429,,
363,,
291,,
346,,
308,,
326,,
286,,
347,,
300,,
299,,
299,,
297,,
325,,
299,,
311,,
452,,
296,,
279,,
308,,
421,,
302,,
302,,
278,,
295,,
392,,
303,,
300,,
265,,
393,,
267,,
300,,
296,,
296,,
404,,
309,,
299,,
283,,
366,,
308,,
293,,
319,,
342,,
285,,
285,,
292,,
304,,
338,,
304,,
315,,
305,,
343,,
290,,
295,,
281,,
281,,
360,,
302,,
316,,
272,,
371,,
391,,
389,,
283,,
532,,
321,,
321,,
316,,
346,,
313,,
317,,
315,,
413,,
300,,
301,,
298,,
433,,
433,,
315,,
261,,
266,,
424,,
285,,
272,,
310,,
369,,
298,,
283,,
283,,
253,,
322,,
273,,
302,,
283,,
298,,
272,,
305,,
289,,
288,,
288,,
273,,
286,,
283,,
341,,
294,,
273,,
306,,
338,,
298,,
295,,
295,,
313,,
309,,
282,,
323,,
467,,
304,,
297,,
270,,
390,,
302,,
302,,
291,,
276,,
454,,
330,,
293,,
293,,
385,,
304,,
311,,
287,,
287,,
410,,
276,,
296,,
315,,
310,,
310,,
323,,
287,,
328,,
319,,
319,,
298,,
427,,
320,,
293,,
247,,
446,,
328,,
269,,
293,,
314,,
314,,
298,,
288,,
293,,
475,,
302,,
280,,
288,,
420,,
298,,
289,,
289,,
314,,
360,,
281,,
258,,
297,,
366,,
290,,
283,,
275,,
391,,
391,,
303,,
290,,
282,,
329,,
299,,
297,,
275,,
356,,
302,,
302,,
302,,
328,,
333,,
268,,
294,,
461,,
306,,
244,,
257,,
338,,
298,,
298,,
264,,
308,,
284,,
261,,
277,,
375,,
320,,
290,,
333,,
296,,
296,,
273,,
280,,
350,,
265,,
252,,
250,,
292,,
278,,
265,,
390,,
390,,
283,,
273,,
280,,
342,,
258,,
287,,
276,,
305,,
299,,
266,,
266,,
386,,
304,,
292,,
292,,
407,,
272,,
265,,
259,,
342,,
271,,
271,,
251,,
259,,
302,,
321,,
284,,
390,,
260,,
286,,
265,,
322,,
322,,
275,,
297,,
278,,
311,,
288,,
269,,
432,,
320,,
257,,
298,,
298,,
355,,
298,,
259,,
258,,
336,,
250,,
288,,
425,,
264,,
257,,
257,,
276,,
350,,
307,,
275,,
265,,
317,,
256,,
313,,
475,,
279,,
279,,
288,,
259,,
362,,
272,,
261,,
283,,
336,,
290,,
270,,
389,,
389,,
247,,
280,,
298,,
323,,
295,,
245,,
367,,
273,,
249,,
290,,
290,,
292,,
281,,
258,,
343,,
240,,
269,,
283,,
255,,
217,,
228,,
228,,
466,,
298,,
248,,
249,,
486,,
283,,
290,,
280,,
442,,
309,,
309,,
