data,age,gender
241,50,1
289,,
280,,
401,,
279,,
258,,
282,,
324,,
272,,
261,,
427,,
427,,
293,,
215,,
256,,
341,,
292,,
302,,
427,,
283,,
285,,
308,,
308,,
317,,
286,,
242,,
446,,
296,,
261,,
293,,
334,,
262,,
261,,
261,,
320,,
315,,
257,,
283,,
359,,
282,,
279,,
263,,
312,,
246,,
246,,
257,,
404,,
293,,
245,,
269,,
307,,
293,,
264,,
268,,
323,,
323,,
268,,
284,,
492,,
260,,
306,,
290,,
422,,
292,,
286,,
271,,
271,,
384,,
286,,
292,,
252,,
314,,
300,,
289,,
407,,
275,,
272,,
272,,
273,,
296,,
271,,
262,,
346,,
283,,
286,,
353,,
289,,
275,,
275,,
427,,
306,,
235,,
273,,
448,,
328,,
292,,
366,,
276,,
247,,
247,,
233,,
290,,
257,,
249,,
392,,
251,,
232,,
260,,
387,,
267,,
267,,
232,,
248,,
331,,
280,,
303,,
249,,
379,,
280,,
292,,
313,,
313,,
308,,
298,,
271,,
316,,
418,,
303,,
284,,
315,,
272,,
379,,
379,,
299,,
383,,
298,,
304,,
317,,
234,,
284,,
311,,
347,,
258,,
258,,
299,,
278,,
271,,
226,,
269,,
377,,
305,,
229,,
311,,
324,,
324,,
338,,
337,,
513,,
389,,
322,,
331,,
365,,
284,,
278,,
332,,
332,,
275,,
279,,
284,,
423,,
273,,
352,,
482,,
471,,
468,,
471,,
471,,
375,,
247,,
268,,
749,,
962,,
928,,
787,,
827,,
964,,
960,,
960,,
962,,
746,,
635,,
617,,
727,,
671,,
582,,
546,,
455,,
533,,
533,,
408,,
581,,
335,,
392,,
263,,
423,,
437,,
285,,
452,,
418,,
418,,
784,,
945,,
523,,
534,,
448,,
458,,
380,,
354,,
368,,
455,,
455,,
328,,
322,,
389,,
307,,
346,,
324,,
491,,
351,,
314,,
500,,
500,,
358,,
301,,
339,,
393,,
305,,
277,,
381,,
319,,
281,,
285,,
285,,
371,,
266,,
239,,
273,,
280,,
258,,
258,,
393,,
287,,
263,,
263,,
266,,
322,,
262,,
260,,
336,,
307,,
230,,
276,,
360,,
255,,
255,,
432,,
362,,
401,,
536,,
334,,
433,,
422,,
341,,
302,,
425,,
425,,
374,,
266,,
263,,
305,,
277,,
271,,
419,,
288,,
288,,
237,,
237,,
331,,
267,,
310,,
222,,
346,,
301,,
481,,
478,,
459,,
405,,
405,,
357,,
418,,
299,,
279,,
262,,
357,,
252,,
234,,
500,,
560,,
560,,
346,,
294,,
359,,
209,,
249,,
274,,
338,,
243,,
243,,
282,,
282,,
259,,
264,,
265,,
294,,
316,,
273,,
263,,
231,,
247,,
281,,
281,,
330,,
380,,
271,,
235,,
422,,
355,,
260,,
256,,
292,,
216,,
216,,
261,,
463,,
228,,
251,,
278,,
319,,
288,,
233,,
222,,
318,,
318,,
231,,
232,,
266,,
276,,
260,,
247,,
320,,
351,,
307,,
