data,age,gender
233,17,1
233,,
184,,
265,,
303,,
169,,
279,,
193,,
212,,
250,,
127,,
204,,
204,,
179,,
186,,
157,,
170,,
186,,
183,,
157,,
255,,
224,,
183,,
183,,
186,,
231,,
211,,
164,,
237,,
216,,
150,,
348,,
386,,
285,,
285,,
321,,
300,,
279,,
269,,
191,,
234,,
166,,
164,,
251,,
182,,
182,,
170,,
264,,
189,,
171,,
279,,
148,,
206,,
247,,
169,,
171,,
171,,
226,,
169,,
153,,
245,,
175,,
181,,
237,,
167,,
165,,
242,,
242,,
193,,
185,,
236,,
180,,
169,,
245,,
175,,
163,,
226,,
202,,
202,,
181,,
164,,
194,,
170,,
206,,
205,,
158,,
169,,
183,,
172,,
172,,
172,,
207,,
179,,
174,,
259,,
182,,
183,,
256,,
163,,
190,,
190,,
269,,
207,,
214,,
315,,
248,,
461,,
813,,
500,,
555,,
427,,
427,,
478,,
344,,
337,,
342,,
437,,
343,,
279,,
204,,
355,,
226,,
226,,
240,,
274,,
218,,
270,,
256,,
251,,
213,,
350,,
246,,
222,,
222,,
224,,
241,,
185,,
199,,
573,,
373,,
370,,
320,,
263,,
286,,
286,,
255,,
361,,
216,,
343,,
225,,
189,,
173,,
223,,
200,,
224,,
224,,
398,,
336,,
432,,
471,,
315,,
344,,
497,,
366,,
350,,
388,,
388,,
343,,
352,,
406,,
378,,
289,,
414,,
273,,
267,,
275,,
291,,
291,,
266,,
301,,
230,,
243,,
275,,
275,,
220,,
220,,
208,,
208,,
208,,
234,,
262,,
191,,
196,,
215,,
238,,
258,,
203,,
296,,
219,,
219,,
219,,
285,,
196,,
224,,
262,,
209,,
170,,
237,,
217,,
202,,
202,,
236,,
188,,
226,,
266,,
215,,
202,,
325,,
193,,
247,,
187,,
187,,
189,,
209,,
224,,
229,,
195,,
194,,
187,,
302,,
169,,
197,,
197,,
283,,
189,,
211,,
296,,
167,,
173,,
248,,
199,,
187,,
299,,
299,,
200,,
192,,
214,,
191,,
195,,
157,,
225,,
165,,
184,,
272,,
272,,
211,,
192,,
212,,
173,,
202,,
278,,
200,,
199,,
178,,
171,,
171,,
156,,
216,,
207,,
155,,
152,,
182,,
180,,
183,,
177,,
177,,
177,,
198,,
180,,
179,,
216,,
208,,
173,,
234,,
227,,
191,,
175,,
175,,
226,,
207,,
216,,
288,,
200,,
179,,
245,,
193,,
161,,
250,,
250,,
164,,
173,,
185,,
176,,
161,,
168,,
166,,
166,,
141,,
205,,
205,,
273,,
346,,
247,,
401,,
293,,
579,,
427,,
488,,
704,,
602,,
602,,
527,,
408,,
389,,
290,,
338,,
520,,
579,,
283,,
257,,
221,,
221,,
207,,
188,,
190,,
217,,
181,,
187,,
270,,
213,,
199,,
196,,
196,,
230,,
185,,
218,,
202,,
177,,
236,,
218,,
185,,
243,,
202,,
202,,
190,,
245,,
195,,
167,,
298,,
202,,
157,,
187,,
175,,
171,,
171,,
160,,
215,,
190,,
173,,
244,,
153,,
160,,
305,,
197,,
160,,
160,,
206,,
181,,
163,,
207,,
219,,
155,,
185,,
222,,
193,,
173,,
173,,
196,,
182,,
170,,
278,,
190,,
168,,
240,,
166,,
185,,
272,,
272,,
195,,
208,,
274,,
195,,
151,,
250,,
206,,
166,,
274,,
178,,
178,,
198,,
231,,
206,,
187,,
257,,
238,,
199,,
232,,
197,,
196,,
196,,
192,,
197,,
213,,
210,,
176,,
197,,
209,,
163,,
172,,
170,,
170,,
155,,
161,,
191,,
154,,
182,,
184,,
176,,
185,,
183,,
163,,
163,,
188,,
173,,
179,,
161,,
171,,
178,,
251,,
151,,
192,,
272,,
272,,
223,,
175,,
274,,
178,,
165,,
