data,age,gender
233,17,1
172,,
164,,
164,,
207,,
207,,
161,,
164,,
261,,
160,,
155,,
185,,
177,,
177,,
180,,
204,,
204,,
178,,
168,,
258,,
169,,
276,,
232,,
242,,
301,,
342,,
267,,
267,,
291,,
247,,
258,,
280,,
345,,
349,,
341,,
381,,
348,,
314,,
314,,
412,,
529,,
445,,
588,,
450,,
433,,
357,,
348,,
279,,
369,,
369,,
404,,
286,,
469,,
338,,
284,,
251,,
394,,
659,,
558,,
458,,
458,,
463,,
462,,
601,,
467,,
408,,
418,,
389,,
293,,
360,,
320,,
320,,
307,,
278,,
207,,
305,,
242,,
208,,
286,,
251,,
208,,
306,,
306,,
240,,
196,,
267,,
259,,
205,,
272,,
205,,
205,,
316,,
223,,
223,,
184,,
277,,
174,,
168,,
226,,
195,,
186,,
189,,
185,,
156,,
156,,
186,,
233,,
261,,
171,,
167,,
260,,
189,,
166,,
248,,
180,,
180,,
298,,
224,,
222,,
280,,
170,,
162,,
217,,
174,,
160,,
174,,
174,,
171,,
148,,
199,,
189,,
164,,
200,,
156,,
166,,
206,,
167,,
167,,
199,,
198,,
182,,
176,,
169,,
163,,
208,,
234,,
178,,
289,,
289,,
199,,
196,,
308,,
203,,
451,,
284,,
172,,
290,,
231,,
193,,
193,,
189,,
192,,
156,,
153,,
185,,
165,,
180,,
185,,
164,,
162,,
162,,
226,,
182,,
167,,
224,,
178,,
179,,
220,,
166,,
192,,
217,,
217,,
173,,
188,,
242,,
190,,
172,,
268,,
194,,
172,,
271,,
228,,
228,,
242,,
270,,
363,,
411,,
310,,
328,,
395,,
528,,
433,,
260,,
260,,
408,,
293,,
260,,
288,,
286,,
300,,
255,,
182,,
267,,
195,,
195,,
182,,
218,,
232,,
201,,
224,,
253,,
296,,
280,,
197,,
219,,
219,,
209,,
297,,
190,,
203,,
193,,
165,,
200,,
218,,
178,,
273,,
273,,
203,,
171,,
203,,
164,,
220,,
211,,
176,,
185,,
207,,
186,,
186,,
183,,
193,,
160,,
182,,
228,,
183,,
179,,
270,,
146,,
152,,
152,,
185,,
211,,
187,,
172,,
238,,
219,,
181,,
308,,
184,,
199,,
199,,
248,,
176,,
177,,
162,,
220,,
162,,
201,,
215,,
197,,
208,,
208,,
212,,
271,,
197,,
231,,
216,,
290,,
219,,
156,,
236,,
191,,
191,,
186,,
202,,
234,,
226,,
228,,
191,,
215,,
224,,
220,,
202,,
202,,
194,,
240,,
184,,
188,,
274,,
218,,
233,,
179,,
208,,
199,,
199,,
185,,
239,,
196,,
215,,
228,,
165,,
182,,
297,,
201,,
215,,
215,,
277,,
199,,
171,,
237,,
202,,
180,,
339,,
179,,
190,,
279,,
279,,
211,,
194,,
263,,
181,,
206,,
242,,
204,,
180,,
233,,
204,,
204,,
198,,
267,,
184,,
193,,
235,,
164,,
194,,
187,,
173,,
160,,
160,,
210,,
197,,
190,,
229,,
233,,
186,,
230,,
169,,
163,,
256,,
256,,
180,,
182,,
294,,
164,,
194,,
259,,
219,,
210,,
187,,
179,,
179,,
203,,
181,,
216,,
170,,
194,,
225,,
191,,
208,,
225,,
207,,
207,,
163,,
270,,
165,,
157,,
276,,
210,,
194,,
238,,
202,,
182,,
182,,
179,,
229,,
195,,
210,,
250,,
184,,
199,,
230,,
248,,
230,,
230,,
330,,
297,,
190,,
205,,
202,,
176,,
179,,
212,,
217,,
240,,
240,,
271,,
184,,
235,,
237,,
172,,
208,,
303,,
210,,
194,,
243,,
243,,
198,,
224,,
180,,
225,,
238,,
211,,
259,,
196,,
196,,
330,,
330,,
219,,
168,,
180,,
201,,
199,,
169,,
216,,
228,,
192,,
217,,
217,,
169,,
171,,
251,,
175,,
198,,
178,,
192,,
188,,
180,,
