data,age,gender
333,33,1
333,,
306,,
353,,
263,,
464,,
418,,
365,,
400,,
557,,
463,,
707,,
707,,
501,,
484,,
436,,
389,,
569,,
435,,
379,,
466,,
569,,
391,,
391,,
244,,
282,,
508,,
410,,
327,,
464,,
446,,
468,,
509,,
430,,
430,,
537,,
536,,
364,,
366,,
416,,
328,,
357,,
534,,
433,,
434,,
434,,
481,,
548,,
614,,
539,,
720,,
497,,
485,,
436,,
443,,
545,,
545,,
547,,
470,,
704,,
485,,
565,,
405,,
510,,
459,,
544,,
500,,
500,,
661,,
426,,
484,,
472,,
488,,
375,,
441,,
352,,
444,,
339,,
339,,
407,,
481,,
580,,
493,,
723,,
724,,
666,,
536,,
542,,
572,,
572,,
532,,
451,,
352,,
279,,
408,,
424,,
434,,
462,,
355,,
395,,
395,,
290,,
437,,
362,,
390,,
458,,
484,,
549,,
553,,
388,,
460,,
460,,
470,,
593,,
425,,
450,,
408,,
456,,
391,,
353,,
403,,
371,,
371,,
371,,
351,,
309,,
402,,
419,,
397,,
403,,
570,,
450,,
345,,
345,,
444,,
442,,
474,,
320,,
463,,
425,,
369,,
438,,
480,,
364,,
364,,
342,,
481,,
429,,
568,,
338,,
312,,
376,,
546,,
333,,
408,,
408,,
436,,
400,,
370,,
397,,
374,,
331,,
644,,
505,,
526,,
471,,
471,,
426,,
372,,
359,,
308,,
468,,
442,,
350,,
300,,
304,,
592,,
592,,
371,,
406,,
437,,
430,,
424,,
386,,
404,,
506,,
547,,
493,,
493,,
342,,
397,,
335,,
576,,
564,,
280,,
390,,
352,,
553,,
398,,
398,,
362,,
442,,
695,,
642,,
569,,
374,,
559,,
446,,
437,,
411,,
411,,
374,,
605,,
334,,
394,,
469,,
462,,
412,,
337,,
414,,
435,,
435,,
491,,
420,,
421,,
444,,
407,,
502,,
540,,
529,,
546,,
741,,
741,,
699,,
738,,
757,,
625,,
802,,
652,,
914,,
554,,
494,,
509,,
509,,
653,,
638,,
593,,
557,,
612,,
632,,
959,,
739,,
959,,
642,,
642,,
625,,
602,,
509,,
649,,
613,,
561,,
595,,
667,,
496,,
617,,
617,,
525,,
597,,
499,,
401,,
604,,
605,,
449,,
502,,
511,,
390,,
390,,
491,,
481,,
508,,
562,,
500,,
442,,
589,,
376,,
360,,
489,,
489,,
541,,
553,,
402,,
505,,
425,,
395,,
450,,
500,,
420,,
486,,
486,,
484,,
659,,
370,,
525,,
722,,
523,,
468,,
331,,
353,,
510,,
510,,
440,,
310,,
381,,
424,,
408,,
507,,
474,,
416,,
351,,
362,,
362,,
421,,
389,,
400,,
275,,
251,,
467,,
343,,
273,,
500,,
491,,
491,,
433,,
400,,
365,,
627,,
388,,
496,,
357,,
547,,
398,,
426,,
426,,
366,,
447,,
340,,
412,,
315,,
