data,age,gender
142,30,1
142,,
145,,
126,,
119,,
104,,
192,,
113,,
84,,
99,,
199,,
105,,
105,,
108,,
94,,
192,,
98,,
166,,
326,,
596,,
638,,
576,,
504,,
504,,
526,,
281,,
460,,
243,,
263,,
139,,
126,,
264,,
173,,
129,,
129,,
135,,
264,,
134,,
117,,
190,,
325,,
172,,
130,,
219,,
153,,
153,,
115,,
101,,
336,,
109,,
88,,
99,,
282,,
129,,
96,,
113,,
113,,
239,,
129,,
118,,
211,,
524,,
336,,
286,,
370,,
341,,
278,,
278,,
341,,
261,,
436,,
863,,
657,,
550,,
429,,
549,,
530,,
474,,
474,,
214,,
210,,
208,,
277,,
193,,
225,,
317,,
222,,
188,,
200,,
200,,
217,,
190,,
193,,
345,,
225,,
173,,
204,,
258,,
194,,
167,,
167,,
322,,
163,,
175,,
171,,
256,,
155,,
153,,
165,,
228,,
171,,
171,,
157,,
206,,
178,,
310,,
655,,
666,,
383,,
541,,
359,,
551,,
551,,
872,,
862,,
713,,
299,,
233,,
203,,
332,,
244,,
207,,
209,,
209,,
240,,
190,,
173,,
376,,
204,,
189,,
177,,
338,,
237,,
204,,
204,,
186,,
261,,
180,,
171,,
312,,
194,,
152,,
158,,
296,,
155,,
155,,
141,,
188,,
189,,
170,,
142,,
333,,
170,,
160,,
185,,
253,,
253,,
187,,
171,,
153,,
245,,
178,,
142,,
186,,
182,,
145,,
151,,
151,,
372,,
210,,
297,,
453,,
365,,
341,,
331,,
375,,
345,,
302,,
302,,
223,,
355,,
219,,
177,,
243,,
298,,
173,,
181,,
240,,
226,,
226,,
219,,
188,,
414,,
218,,
163,,
203,,
275,,
170,,
162,,
185,,
185,,
224,,
142,,
136,,
393,,
411,,
467,,
407,,
514,,
541,,
564,,
564,,
416,,
422,,
331,,
303,,
472,,
303,,
234,,
244,,
341,,
188,,
188,,
212,,
280,,
295,,
246,,
251,,
305,,
233,,
320,,
611,,
510,,
510,,
326,,
731,,
324,,
377,,
322,,
377,,
526,,
369,,
350,,
244,,
244,,
246,,
226,,
271,,
191,,
231,,
382,,
606,,
952,,
508,,
554,,
554,,
935,,
625,,
848,,
661,,
950,,
951,,
669,,
857,,
648,,
600,,
600,,
881,,
530,,
416,,
447,,
335,,
313,,
219,,
326,,
359,,
317,,
317,,
303,,
756,,
689,,
498,,
595,,
448,,
526,,
337,,
380,,
253,,
253,,
