data,age,gender
964,20,0
354,,
363,,
378,,
396,,
340,,
361,,
362,,
311,,
311,,
360,,
396,,
381,,
374,,
315,,
345,,
340,,
281,,
325,,
317,,
317,,
296,,
304,,
284,,
263,,
265,,
232,,
293,,
299,,
263,,
259,,
259,,
242,,
247,,
254,,
228,,
228,,
256,,
258,,
235,,
256,,
264,,
264,,
231,,
260,,
263,,
289,,
285,,
292,,
261,,
268,,
269,,
274,,
274,,
267,,
229,,
246,,
247,,
214,,
249,,
185,,
232,,
230,,
224,,
224,,
237,,
219,,
205,,
218,,
212,,
189,,
195,,
219,,
190,,
208,,
208,,
190,,
163,,
191,,
182,,
161,,
179,,
194,,
163,,
160,,
162,,
162,,
169,,
165,,
134,,
134,,
133,,
128,,
153,,
190,,
163,,
183,,
183,,
167,,
207,,
142,,
161,,
183,,
205,,
187,,
200,,
217,,
146,,
146,,
267,,
454,,
601,,
574,,
463,,
380,,
252,,
225,,
219,,
178,,
178,,
167,,
131,,
130,,
168,,
197,,
244,,
186,,
210,,
189,,
216,,
216,,
225,,
162,,
193,,
159,,
143,,
156,,
162,,
159,,
156,,
162,,
162,,
293,,
330,,
356,,
241,,
255,,
473,,
964,,
964,,
963,,
964,,
964,,
965,,
963,,
964,,
963,,
964,,
964,,
965,,
965,,
597,,
302,,
302,,
432,,
772,,
963,,
957,,
581,,
296,,
153,,
375,,
602,,
650,,
650,,
309,,
963,,
963,,
961,,
964,,
966,,
964,,
965,,
965,,
964,,
964,,
681,,
234,,
176,,
141,,
178,,
193,,
355,,
251,,
130,,
217,,
217,,
604,,
964,,
964,,
965,,
965,,
965,,
963,,
964,,
964,,
956,,
956,,
695,,
965,,
964,,
960,,
965,,
964,,
964,,
964,,
958,,
853,,
853,,
474,,
297,,
244,,
202,,
235,,
285,,
324,,
423,,
414,,
380,,
380,,
315,,
315,,
297,,
136,,
141,,
135,,
132,,
146,,
196,,
241,,
241,,
316,,
289,,
356,,
402,,
417,,
410,,
474,,
476,,
558,,
577,,
577,,
566,,
642,,
651,,
672,,
693,,
751,,
748,,
720,,
732,,
744,,
744,,
765,,
585,,
349,,
963,,
965,,
964,,
965,,
964,,
964,,
965,,
965,,
966,,
852,,
584,,
559,,
963,,
963,,
962,,
963,,
958,,
964,,
964,,
964,,
963,,
961,,
959,,
960,,
964,,
963,,
935,,
920,,
875,,
875,,
863,,
893,,
818,,
825,,
880,,
846,,
872,,
873,,
859,,
857,,
857,,
830,,
811,,
800,,
771,,
749,,
779,,
797,,
777,,
807,,
784,,
784,,
794,,
819,,
816,,
855,,
838,,
797,,
821,,
824,,
780,,
819,,
819,,
776,,
812,,
840,,
780,,
453,,
427,,
965,,
964,,
962,,
