data,age,gender
199,19,0
199,,
189,,
360,,
901,,
949,,
946,,
946,,
946,,
946,,
946,,
729,,
729,,
468,,
290,,
170,,
154,,
154,,
142,,
184,,
229,,
286,,
290,,
290,,
370,,
343,,
396,,
390,,
413,,
359,,
361,,
347,,
323,,
321,,
321,,
349,,
382,,
342,,
386,,
409,,
366,,
410,,
342,,
343,,
354,,
354,,
346,,
346,,
341,,
377,,
366,,
342,,
384,,
379,,
390,,
414,,
414,,
384,,
356,,
334,,
324,,
296,,
230,,
272,,
226,,
253,,
269,,
269,,
239,,
235,,
261,,
301,,
313,,
272,,
348,,
301,,
275,,
313,,
313,,
297,,
267,,
268,,
300,,
289,,
263,,
283,,
294,,
251,,
285,,
285,,
253,,
252,,
287,,
264,,
241,,
251,,
219,,
204,,
198,,
231,,
231,,
227,,
199,,
215,,
241,,
196,,
229,,
227,,
200,,
244,,
217,,
217,,
243,,
212,,
195,,
167,,
183,,
184,,
177,,
188,,
209,,
202,,
202,,
174,,
181,,
144,,
121,,
103,,
97,,
92,,
83,,
81,,
77,,
77,,
73,,
75,,
73,,
78,,
83,,
85,,
79,,
75,,
73,,
76,,
76,,
74,,
69,,
77,,
84,,
77,,
68,,
73,,
97,,
102,,
95,,
95,,
94,,
95,,
95,,
89,,
85,,
82,,
78,,
72,,
74,,
77,,
77,,
84,,
82,,
78,,
78,,
76,,
70,,
72,,
72,,
76,,
82,,
82,,
84,,
83,,
82,,
86,,
82,,
82,,
85,,
723,,
935,,
933,,
933,,
475,,
932,,
933,,
718,,
472,,
306,,
206,,
154,,
123,,
106,,
106,,
95,,
85,,
78,,
79,,
80,,
84,,
94,,
94,,
97,,
92,,
92,,
87,,
85,,
81,,
81,,
78,,
72,,
70,,
69,,
69,,
70,,
70,,
76,,
73,,
70,,
75,,
90,,
102,,
119,,
130,,
150,,
132,,
132,,
124,,
108,,
97,,
88,,
83,,
81,,
80,,
81,,
90,,
95,,
95,,
95,,
96,,
91,,
85,,
82,,
80,,
80,,
82,,
84,,
85,,
85,,
85,,
85,,
86,,
87,,
86,,
84,,
84,,
84,,
84,,
90,,
90,,
87,,
88,,
91,,
91,,
87,,
88,,
86,,
87,,
89,,
89,,
89,,
89,,
91,,
90,,
89,,
88,,
86,,
87,,
85,,
87,,
87,,
87,,
86,,
84,,
81,,
81,,
81,,
81,,
81,,
81,,
79,,
79,,
79,,
80,,
80,,
79,,
81,,
81,,
78,,
80,,
947,,
947,,
949,,
949,,
947,,
939,,
945,,
946,,
946,,
945,,
946,,
919,,
602,,
393,,
393,,
261,,
184,,
144,,
120,,
106,,
95,,
93,,
85,,
82,,
84,,
84,,
81,,
