data,age,gender
199,19,0
73,,
74,,
77,,
78,,
72,,
71,,
72,,
74,,
79,,
79,,
88,,
91,,
88,,
79,,
76,,
73,,
80,,
79,,
89,,
106,,
106,,
102,,
91,,
82,,
81,,
73,,
70,,
70,,
70,,
71,,
84,,
84,,
100,,
105,,
102,,
103,,
106,,
103,,
99,,
91,,
86,,
90,,
90,,
89,,
87,,
92,,
88,,
81,,
78,,
72,,
72,,
72,,
70,,
70,,
71,,
533,,
942,,
941,,
941,,
941,,
884,,
718,,
480,,
297,,
297,,
254,,
323,,
324,,
457,,
526,,
499,,
407,,
412,,
373,,
325,,
325,,
313,,
334,,
270,,
297,,
292,,
255,,
249,,
258,,
227,,
184,,
184,,
640,,
944,,
943,,
941,,
942,,
941,,
941,,
779,,
398,,
221,,
221,,
371,,
541,,
747,,
780,,
779,,
636,,
585,,
567,,
585,,
463,,
463,,
461,,
601,,
590,,
539,,
552,,
414,,
408,,
461,,
455,,
374,,
374,,
366,,
327,,
277,,
277,,
304,,
236,,
289,,
309,,
269,,
289,,
289,,
207,,
272,,
259,,
278,,
284,,
290,,
296,,
315,,
311,,
334,,
334,,
320,,
282,,
231,,
186,,
154,,
138,,
120,,
112,,
112,,
105,,
105,,
106,,
104,,
105,,
99,,
97,,
91,,
85,,
85,,
88,,
89,,
89,,
96,,
103,,
104,,
101,,
98,,
91,,
89,,
86,,
87,,
85,,
85,,
82,,
84,,
84,,
85,,
84,,
83,,
92,,
100,,
94,,
89,,
89,,
84,,
79,,
79,,
76,,
76,,
80,,
89,,
94,,
98,,
100,,
100,,
97,,
92,,
89,,
90,,
85,,
82,,
82,,
81,,
79,,
77,,
77,,
77,,
74,,
73,,
73,,
73,,
76,,
77,,
79,,
77,,
84,,
84,,
89,,
92,,
92,,
96,,
93,,
92,,
102,,
108,,
108,,
105,,
105,,
97,,
96,,
89,,
84,,
86,,
82,,
952,,
953,,
952,,
953,,
953,,
953,,
935,,
409,,
408,,
319,,
953,,
954,,
954,,
958,,
953,,
953,,
953,,
536,,
792,,
952,,
697,,
615,,
952,,
954,,
954,,
953,,
953,,
952,,
732,,
543,,
953,,
953,,
953,,
947,,
954,,
954,,
951,,
951,,
737,,
814,,
682,,
770,,
955,,
958,,
958,,
959,,
958,,
875,,
875,,
723,,
959,,
958,,
959,,
959,,
959,,
546,,
956,,
957,,
956,,
956,,
957,,
360,,
870,,
959,,
959,,
844,,
958,,
957,,
958,,
958,,
958,,
959,,
957,,
955,,
958,,
957,,
958,,
956,,
958,,
956,,
956,,
956,,
751,,
653,,
676,,
957,,
958,,
958,,
956,,
957,,
957,,
856,,
856,,
589,,
402,,
286,,
212,,
167,,
140,,
124,,
115,,
106,,
