data,age,gender
955,28,1
955,,
954,,
951,,
843,,
663,,
401,,
228,,
141,,
431,,
520,,
203,,
203,,
390,,
657,,
698,,
801,,
535,,
559,,
202,,
129,,
310,,
140,,
140,,
89,,
84,,
128,,
114,,
85,,
215,,
108,,
70,,
93,,
109,,
109,,
161,,
68,,
60,,
100,,
201,,
346,,
258,,
209,,
212,,
229,,
229,,
188,,
242,,
215,,
170,,
455,,
701,,
814,,
621,,
452,,
187,,
187,,
166,,
152,,
349,,
638,,
924,,
818,,
539,,
248,,
178,,
420,,
420,,
392,,
403,,
329,,
229,,
252,,
386,,
520,,
466,,
493,,
506,,
506,,
325,,
209,,
242,,
510,,
954,,
955,,
955,,
955,,
957,,
956,,
956,,
728,,
289,,
322,,
616,,
679,,
867,,
735,,
568,,
612,,
519,,
519,,
540,,
485,,
501,,
410,,
320,,
335,,
334,,
342,,
432,,
462,,
462,,
425,,
356,,
206,,
268,,
262,,
206,,
296,,
245,,
117,,
95,,
95,,
85,,
113,,
81,,
65,,
91,,
207,,
108,,
190,,
107,,
212,,
212,,
187,,
325,,
468,,
580,,
422,,
224,,
169,,
303,,
384,,
246,,
246,,
196,,
188,,
174,,
160,,
141,,
143,,
103,,
124,,
160,,
106,,
106,,
120,,
129,,
186,,
102,,
120,,
149,,
90,,
167,,
330,,
518,,
518,,
512,,
376,,
265,,
185,,
141,,
284,,
267,,
179,,
160,,
571,,
571,,
958,,
957,,
515,,
901,,
955,,
955,,
956,,
955,,
955,,
670,,
670,,
362,,
185,,
174,,
170,,
318,,
482,,
301,,
278,,
236,,
378,,
378,,
444,,
378,,
342,,
335,,
244,,
183,,
248,,
128,,
132,,
119,,
119,,
158,,
154,,
181,,
248,,
144,,
129,,
135,,
157,,
140,,
132,,
132,,
219,,
130,,
165,,
152,,
249,,
136,,
128,,
116,,
288,,
153,,
153,,
105,,
106,,
72,,
114,,
191,,
417,,
757,,
956,,
957,,
956,,
956,,
957,,
723,,
378,,
225,,
145,,
254,,
361,,
563,,
359,,
366,,
366,,
301,,
245,,
342,,
349,,
266,,
194,,
197,,
113,,
80,,
243,,
243,,
93,,
80,,
80,,
151,,
68,,
82,,
77,,
94,,
74,,
82,,
82,,
220,,
115,,
83,,
89,,
181,,
142,,
112,,
122,,
266,,
320,,
320,,
248,,
234,,
136,,
173,,
117,,
164,,
226,,
239,,
175,,
140,,
140,,
726,,
553,,
414,,
356,,
381,,
222,,
202,,
154,,
111,,
243,,
243,,
503,,
507,,
583,,
444,,
381,,
219,,
401,,
664,,
707,,
704,,
704,,
544,,
556,,
451,,
422,,
284,,
227,,
190,,
112,,
136,,
161,,
161,,
190,,
228,,
280,,
230,,
230,,
174,,
268,,
427,,
538,,
540,,
540,,
282,,
261,,
200,,
351,,
205,,
221,,
147,,
404,,
554,,
583,,
583,,
532,,
419,,
516,,
190,,
96,,
106,,
151,,
207,,
199,,
213,,
213,,
165,,
262,,
169,,
263,,
266,,
410,,
453,,
401,,
238,,
137,,
137,,
446,,
763,,
873,,
697,,
495,,
430,,
434,,
758,,
958,,
957,,
957,,
709,,
234,,
665,,
955,,
955,,
937,,
818,,
643,,
386,,
289,,
289,,
355,,
419,,
342,,
328,,
237,,
184,,
279,,
299,,
238,,
285,,
285,,
329,,
321,,
269,,
299,,
221,,
210,,
201,,
301,,
446,,
749,,
749,,
960,,
957,,
958,,
959,,
899,,
510,,
222,,
202,,
287,,
354,,
354,,
338,,
408,,
384,,
354,,
340,,
343,,
352,,
281,,
215,,
227,,
227,,
181,,
140,,
179,,
146,,
134,,
86,,
116,,
103,,
144,,
473,,
473,,
956,,
957,,
961,,
950,,
799,,
413,,
134,,
342,,
455,,
595,,
595,,
597,,
601,,
549,,
493,,
365,,
353,,
246,,
255,,
188,,
218,,
218,,
150,,
85,,
75,,
85,,
176,,
457,,
809,,
957,,
956,,
954,,
954,,
649,,
434,,
221,,
269,,
509,,
452,,
293,,
955,,
955,,
953,,
953,,
950,,
951,,
956,,
957,,
675,,
321,,
120,,
264,,
331,,
322,,
322,,
286,,
204,,
277,,
226,,
267,,
225,,
217,,
196,,
152,,
228,,
228,,
135,,
193,,
204,,
214,,
122,,
155,,
186,,
228,,
491,,
630,,
630,,
674,,
648,,
566,,
415,,
221,,
72,,
93,,
164,,
250,,
321,,
321,,
260,,
201,,
132,,
200,,
97,,
101,,
168,,
183,,
150,,
90,,
90,,
132,,
151,,
