data,age,gender
955,28,1
119,,
73,,
89,,
101,,
144,,
95,,
55,,
66,,
66,,
113,,
202,,
82,,
53,,
74,,
111,,
89,,
81,,
132,,
128,,
128,,
68,,
71,,
92,,
142,,
79,,
73,,
106,,
124,,
96,,
88,,
88,,
92,,
157,,
117,,
75,,
149,,
77,,
75,,
78,,
104,,
60,,
60,,
71,,
166,,
87,,
88,,
274,,
93,,
162,,
456,,
897,,
958,,
958,,
958,,
953,,
742,,
417,,
129,,
186,,
270,,
310,,
467,,
364,,
364,,
304,,
111,,
473,,
957,,
957,,
666,,
342,,
167,,
349,,
488,,
488,,
608,,
555,,
568,,
558,,
524,,
476,,
434,,
360,,
311,,
248,,
248,,
274,,
448,,
231,,
142,,
126,,
378,,
792,,
957,,
768,,
399,,
399,,
213,,
390,,
573,,
621,,
850,,
905,,
955,,
912,,
809,,
667,,
667,,
761,,
463,,
238,,
88,,
286,,
250,,
231,,
205,,
245,,
142,,
142,,
121,,
147,,
211,,
280,,
265,,
300,,
246,,
135,,
73,,
295,,
295,,
124,,
75,,
95,,
239,,
99,,
76,,
47,,
160,,
78,,
59,,
59,,
54,,
84,,
80,,
55,,
67,,
237,,
484,,
634,,
649,,
512,,
512,,
438,,
329,,
203,,
282,,
118,,
225,,
347,,
332,,
332,,
330,,
330,,
295,,
250,,
169,,
336,,
168,,
95,,
85,,
110,,
52,,
70,,
70,,
123,,
123,,
80,,
66,,
92,,
139,,
84,,
89,,
75,,
95,,
95,,
107,,
88,,
324,,
781,,
959,,
654,,
269,,
154,,
463,,
633,,
633,,
708,,
759,,
695,,
626,,
349,,
216,,
143,,
253,,
93,,
73,,
73,,
77,,
223,,
82,,
59,,
70,,
131,,
62,,
70,,
271,,
191,,
191,,
169,,
135,,
158,,
124,,
128,,
230,,
126,,
87,,
97,,
129,,
129,,
104,,
113,,
150,,
133,,
102,,
94,,
106,,
115,,
96,,
68,,
68,,
101,,
78,,
85,,
88,,
126,,
82,,
76,,
59,,
183,,
317,,
317,,
438,,
451,,
286,,
229,,
103,,
109,,
225,,
245,,
355,,
375,,
375,,
438,,
365,,
232,,
221,,
173,,
115,,
101,,
85,,
327,,
100,,
100,,
74,,
165,,
174,,
137,,
72,,
114,,
129,,
146,,
87,,
278,,
278,,
146,,
98,,
93,,
120,,
81,,
71,,
215,,
100,,
76,,
82,,
82,,
131,,
86,,
116,,
197,,
93,,
270,,
350,,
345,,
211,,
101,,
101,,
139,,
104,,
141,,
143,,
323,,
160,,
106,,
264,,
350,,
336,,
336,,
212,,
114,,
188,,
293,,
120,,
369,,
904,,
885,,
622,,
390,,
390,,
318,,
187,,
194,,
269,,
287,,
285,,
277,,
376,,
331,,
347,,
347,,
343,,
395,,
499,,
353,,
308,,
491,,
294,,
193,,
108,,
661,,
661,,
957,,
957,,
955,,
343,,
245,,
697,,
954,,
939,,
686,,
368,,
368,,
332,,
297,,
297,,
249,,
174,,
106,,
122,,
145,,
102,,
74,,
74,,
111,,
217,,
229,,
674,,
957,,
955,,
955,,
955,,
956,,
953,,
953,,
955,,
642,,
441,,
951,,
952,,
948,,
951,,
951,,
951,,
947,,
947,,
497,,
165,,
107,,
208,,
187,,
221,,
289,,
309,,
207,,
297,,
297,,
366,,
160,,
92,,
130,,
350,,
404,,
482,,
519,,
162,,
243,,
243,,
633,,
888,,
921,,
503,,
308,,
566,,
943,,
942,,
869,,
532,,
532,,
431,,
384,,
311,,
93,,
63,,
75,,
236,,
101,,
126,,
196,,
196,,
150,,
273,,
256,,
291,,
273,,
331,,
200,,
224,,
91,,
324,,
324,,
103,,
94,,
124,,
227,,
290,,
266,,
356,,
640,,
943,,
943,,
943,,
944,,
688,,
552,,
312,,
107,,
183,,
324,,
405,,
514,,
532,,
532,,
491,,
383,,
275,,
205,,
127,,
56,,
71,,
116,,
70,,
68,,
68,,
77,,
234,,
99,,
145,,
111,,
400,,
678,,
841,,
655,,
355,,
355,,
145,,
201,,
357,,
428,,
481,,
489,,
542,,
503,,
454,,
403,,
403,,
402,,
417,,
330,,
229,,
158,,
292,,
194,,
224,,
152,,
169,,
169,,
141,,
93,,
156,,
263,,
618,,
916,,
881,,
604,,
271,,
103,,
103,,
282,,
520,,
466,,
320,,
92,,
238,,
160,,
210,,
127,,
264,,
264,,
91,,
81,,
136,,
262,,
234,,
302,,
366,,
228,,
172,,
188,,
188,,
239,,
161,,
124,,
314,,
162,,
290,,
510,,
841,,
920,,
