data,age,gender
128,30,0
120,,
280,,
133,,
110,,
110,,
291,,
148,,
166,,
285,,
133,,
131,,
318,,
229,,
186,,
374,,
374,,
329,,
705,,
496,,
537,,
359,,
338,,
202,,
271,,
603,,
254,,
254,,
211,,
438,,
214,,
181,,
185,,
237,,
170,,
222,,
257,,
430,,
430,,
247,,
306,,
283,,
409,,
326,,
394,,
465,,
440,,
514,,
382,,
382,,
370,,
276,,
238,,
272,,
212,,
212,,
377,,
186,,
164,,
209,,
209,,
227,,
149,,
142,,
284,,
154,,
193,,
261,,
169,,
247,,
248,,
248,,
228,,
284,,
328,,
314,,
385,,
445,,
294,,
301,,
393,,
392,,
392,,
456,,
553,,
396,,
282,,
430,,
348,,
955,,
960,,
956,,
954,,
954,,
956,,
955,,
954,,
954,,
954,,
956,,
956,,
955,,
954,,
950,,
950,,
903,,
900,,
799,,
803,,
754,,
716,,
778,,
712,,
630,,
665,,
665,,
742,,
547,,
625,,
750,,
429,,
457,,
631,,
284,,
288,,
417,,
417,,
226,,
210,,
362,,
180,,
187,,
358,,
134,,
200,,
462,,
223,,
223,,
195,,
409,,
196,,
139,,
342,,
155,,
136,,
412,,
155,,
155,,
155,,
347,,
148,,
170,,
325,,
137,,
160,,
365,,
145,,
119,,
381,,
381,,
173,,
121,,
122,,
196,,
112,,
113,,
209,,
136,,
146,,
269,,
269,,
140,,
125,,
310,,
154,,
120,,
200,,
153,,
142,,
127,,
192,,
192,,
126,,
188,,
244,,
138,,
164,,
267,,
141,,
103,,
285,,
166,,
166,,
118,,
430,,
160,,
114,,
126,,
191,,
165,,
169,,
191,,
236,,
236,,
201,,
316,,
176,,
201,,
295,,
239,,
265,,
459,,
488,,
434,,
434,,
730,,
733,,
415,,
582,,
337,,
248,,
329,,
314,,
221,,
210,,
210,,
245,,
212,,
256,,
266,,
202,,
266,,
273,,
216,,
228,,
249,,
249,,
168,,
248,,
302,,
244,,
241,,
244,,
150,,
149,,
220,,
166,,
166,,
145,,
252,,
165,,
180,,
277,,
178,,
134,,
346,,
167,,
142,,
142,,
193,,
198,,
170,,
136,,
401,,
209,,
168,,
212,,
297,,
197,,
197,,
146,,
211,,
269,,
314,,
256,,
316,,
257,,
239,,
241,,
231,,
231,,
243,,
204,,
256,,
166,,
150,,
308,,
226,,
200,,
328,,
205,,
205,,
182,,
156,,
240,,
133,,
140,,
307,,
199,,
188,,
395,,
201,,
201,,
202,,
189,,
229,,
191,,
208,,
224,,
176,,
138,,
307,,
165,,
165,,
161,,
432,,
205,,
160,,
150,,
207,,
254,,
265,,
339,,
261,,
261,,
263,,
333,,
198,,
239,,
460,,
296,,
214,,
538,,
293,,
300,,
300,,
290,,
295,,
299,,
340,,
451,,
404,,
340,,
482,,
326,,
327,,
327,,
363,,
274,,
190,,
469,,
249,,
219,,
190,,
274,,
204,,
