data,age,gender
120,23,0
256,,
123,,
117,,
107,,
110,,
106,,
123,,
123,,
126,,
148,,
180,,
158,,
120,,
60,,
271,,
108,,
95,,
88,,
88,,
129,,
95,,
98,,
176,,
156,,
148,,
463,,
446,,
466,,
448,,
448,,
444,,
488,,
392,,
352,,
388,,
195,,
267,,
150,,
92,,
303,,
303,,
238,,
219,,
962,,
412,,
130,,
68,,
94,,
121,,
90,,
74,,
74,,
191,,
116,,
90,,
120,,
124,,
94,,
97,,
215,,
99,,
133,,
133,,
170,,
156,,
125,,
102,,
216,,
112,,
67,,
221,,
114,,
116,,
116,,
186,,
173,,
135,,
137,,
268,,
116,,
125,,
277,,
126,,
93,,
93,,
107,,
168,,
99,,
80,,
244,,
111,,
116,,
143,,
288,,
330,,
330,,
275,,
348,,
207,,
198,,
188,,
274,,
180,,
190,,
213,,
169,,
169,,
124,,
222,,
150,,
173,,
193,,
345,,
191,,
210,,
384,,
629,,
629,,
541,,
609,,
657,,
493,,
502,,
449,,
409,,
417,,
362,,
387,,
387,,
327,,
258,,
193,,
155,,
151,,
137,,
120,,
175,,
157,,
170,,
170,,
158,,
98,,
121,,
249,,
193,,
157,,
208,,
134,,
145,,
190,,
190,,
147,,
192,,
201,,
157,,
198,,
178,,
158,,
176,,
201,,
134,,
134,,
148,,
174,,
105,,
102,,
174,,
114,,
93,,
201,,
107,,
103,,
103,,
238,,
107,,
109,,
249,,
103,,
107,,
262,,
109,,
90,,
148,,
148,,
128,,
110,,
99,,
152,,
96,,
106,,
184,,
138,,
73,,
273,,
273,,
157,,
88,,
120,,
102,,
99,,
108,,
140,,
117,,
136,,
223,,
223,,
121,,
110,,
210,,
101,,
94,,
200,,
91,,
97,,
188,,
98,,
98,,
100,,
199,,
106,,
101,,
215,,
94,,
94,,
228,,
115,,
113,,
113,,
111,,
181,,
102,,
98,,
189,,
91,,
99,,
272,,
124,,
107,,
107,,
117,,
162,,
108,,
82,,
246,,
107,,
92,,
115,,
113,,
92,,
92,,
95,,
157,,
92,,
66,,
211,,
95,,
98,,
340,,
155,,
109,,
109,,
148,,
146,,
99,,
130,,
118,,
140,,
129,,
145,,
86,,
99,,
99,,
161,,
114,,
126,,
201,,
113,,
105,,
240,,
162,,
272,,
280,,
280,,
189,,
215,,
193,,
164,,
153,,
126,,
112,,
117,,
129,,
112,,
112,,
90,,
144,,
152,,
102,,
108,,
139,,
96,,
103,,
177,,
112,,
112,,
95,,
201,,
119,,
94,,
301,,
123,,
102,,
133,,
138,,
90,,
90,,
95,,
178,,
96,,
104,,
277,,
130,,
121,,
99,,
162,,
102,,
102,,
99,,
171,,
101,,
72,,
240,,
105,,
77,,
85,,
114,,
102,,
102,,
87,,
224,,
94,,
122,,
262,,
118,,
86,,
105,,
96,,
