data,age,gender
198,20,1
198,,
233,,
265,,
180,,
173,,
348,,
163,,
140,,
148,,
184,,
166,,
166,,
182,,
238,,
149,,
141,,
341,,
218,,
194,,
391,,
216,,
208,,
208,,
206,,
302,,
293,,
300,,
379,,
299,,
284,,
551,,
259,,
278,,
278,,
195,,
231,,
198,,
228,,
263,,
230,,
209,,
466,,
272,,
226,,
226,,
343,,
228,,
162,,
181,,
221,,
193,,
211,,
229,,
176,,
148,,
148,,
335,,
187,,
156,,
502,,
232,,
230,,
221,,
399,,
290,,
198,,
198,,
413,,
361,,
307,,
260,,
267,,
250,,
236,,
263,,
190,,
235,,
235,,
295,,
195,,
186,,
367,,
177,,
206,,
438,,
234,,
201,,
215,,
215,,
242,,
211,,
162,,
270,,
185,,
173,,
406,,
213,,
168,,
204,,
204,,
287,,
177,,
225,,
377,,
193,,
166,,
178,,
266,,
219,,
215,,
215,,
478,,
482,,
619,,
713,,
562,,
539,,
551,,
421,,
421,,
456,,
456,,
440,,
546,,
391,,
585,,
320,,
333,,
440,,
384,,
256,,
528,,
528,,
265,,
265,,
565,,
257,,
239,,
513,,
802,,
754,,
586,,
442,,
442,,
305,,
273,,
413,,
260,,
279,,
352,,
216,,
212,,
296,,
162,,
162,,
164,,
323,,
201,,
184,,
358,,
172,,
195,,
326,,
200,,
165,,
165,,
406,,
160,,
139,,
170,,
270,,
143,,
168,,
315,,
164,,
123,,
123,,
371,,
140,,
117,,
341,,
187,,
134,,
169,,
166,,
128,,
184,,
184,,
159,,
172,,
200,,
141,,
160,,
420,,
195,,
184,,
491,,
178,,
178,,
152,,
462,,
184,,
145,,
164,,
187,,
190,,
277,,
544,,
442,,
442,,
324,,
626,,
283,,
372,,
507,,
470,,
541,,
333,,
459,,
379,,
379,,
244,,
378,,
288,,
202,,
430,,
224,,
248,,
320,,
245,,
166,,
166,,
171,,
264,,
220,,
243,,
401,,
204,,
257,,
337,,
266,,
274,,
274,,
456,,
246,,
204,,
382,,
233,,
229,,
365,,
245,,
166,,
399,,
399,,
302,,
242,,
385,,
269,,
162,,
227,,
269,,
209,,
149,,
326,,
326,,
179,,
144,,
497,,
247,,
173,,
151,,
243,,
176,,
221,,
260,,
260,,
169,,
228,,
589,,
350,,
433,,
709,,
283,,
251,,
400,,
286,,
286,,
262,,
234,,
231,,
219,,
298,,
345,,
311,,
232,,
344,,
283,,
283,,
342,,
570,,
382,,
432,,
598,,
322,,
381,,
572,,
277,,
243,,
243,,
483,,
373,,
318,,
334,,
416,,
286,,
246,,
411,,
282,,
257,,
257,,
458,,
349,,
214,,
308,,
256,,
196,,
175,,
366,,
181,,
142,,
142,,
474,,
211,,
152,,
185,,
227,,
149,,
147,,
258,,
158,,
182,,
182,,
257,,
164,,
196,,
329,,
205,,
156,,
423,,
168,,
189,,
215,,
215,,
248,,
237,,
170,,
349,,
215,,
252,,
287,,
258,,
237,,
288,,
288,,
406,,
256,,
210,,
374,,
213,,
198,,
205,,
263,,
236,,
229,,
229,,
263,,
204,,
222,,
323,,
278,,
187,,
