data,age,gender
198,20,1
177,,
134,,
371,,
371,,
199,,
243,,
489,,
337,,
274,,
288,,
427,,
396,,
352,,
962,,
962,,
510,,
381,,
579,,
397,,
460,,
656,,
307,,
322,,
454,,
713,,
713,,
445,,
712,,
442,,
262,,
205,,
365,,
256,,
168,,
187,,
238,,
238,,
161,,
147,,
250,,
179,,
163,,
278,,
181,,
160,,
356,,
162,,
162,,
183,,
460,,
187,,
172,,
292,,
269,,
300,,
181,,
493,,
298,,
298,,
200,,
298,,
188,,
117,,
327,,
152,,
149,,
339,,
191,,
160,,
160,,
375,,
195,,
148,,
403,,
183,,
144,,
414,,
344,,
270,,
271,,
271,,
272,,
241,,
218,,
289,,
245,,
188,,
308,,
258,,
267,,
344,,
344,,
197,,
173,,
356,,
217,,
147,,
469,,
211,,
180,,
170,,
230,,
230,,
173,,
203,,
336,,
186,,
152,,
456,,
241,,
164,,
195,,
233,,
233,,
155,,
165,,
225,,
161,,
162,,
209,,
147,,
215,,
343,,
336,,
336,,
548,,
537,,
414,,
608,,
690,,
444,,
412,,
672,,
473,,
305,,
305,,
327,,
505,,
512,,
565,,
698,,
277,,
294,,
284,,
424,,
272,,
272,,
273,,
421,,
229,,
216,,
372,,
289,,
165,,
235,,
246,,
183,,
183,,
176,,
267,,
178,,
183,,
303,,
205,,
194,,
311,,
188,,
162,,
162,,
438,,
209,,
258,,
227,,
272,,
223,,
184,,
321,,
217,,
202,,
202,,
255,,
360,,
293,,
198,,
380,,
178,,
169,,
302,,
201,,
197,,
197,,
357,,
300,,
359,,
414,,
253,,
214,,
339,,
344,,
397,,
287,,
287,,
266,,
164,,
237,,
391,,
221,,
241,,
439,,
540,,
326,,
252,,
252,,
298,,
211,,
266,,
317,,
217,,
179,,
412,,
210,,
287,,
228,,
228,,
303,,
246,,
266,,
314,,
217,,
213,,
254,,
152,,
169,,
318,,
318,,
165,,
172,,
396,,
235,,
300,,
266,,
226,,
173,,
175,,
192,,
192,,
149,,
187,,
214,,
143,,
144,,
275,,
185,,
186,,
372,,
216,,
216,,
182,,
190,,
278,,
145,,
175,,
285,,
139,,
143,,
165,,
174,,
174,,
170,,
196,,
300,,
285,,
216,,
348,,
210,,
199,,
393,,
208,,
208,,
183,,
181,,
270,,
194,,
154,,
317,,
133,,
122,,
421,,
192,,
192,,
129,,
180,,
197,,
270,,
318,,
451,,
259,,
248,,
325,,
277,,
277,,
292,,
350,,
222,,
185,,
205,,
324,,
224,,
260,,
416,,
318,,
318,,
311,,
230,,
321,,
238,,
229,,
317,,
373,,
252,,
167,,
321,,
321,,
201,,
276,,
493,,
302,,
357,,
284,,
252,,
270,,
278,,
305,,
305,,
206,,
283,,
266,,
244,,
433,,
452,,
602,,
528,,
510,,
656,,
656,,
961,,
833,,
484,,
834,,
481,,
483,,
797,,
373,,
590,,
869,,
869,,
326,,
345,,
579,,
460,,
400,,
553,,
378,,
363,,
416,,
482,,
482,,
344,,
321,,
500,,
375,,
266,,
420,,
297,,
305,,
454,,
342,,
342,,
297,,
422,,
262,,
245,,
464,,
313,,
244,,
368,,
303,,
